Date,Close,Open,High,Low,Volume
2001-08-01,21.274177,21.007308,21.541046,21.007308,28500
2001-08-02,21.773703,21.814761,21.883188,21.664219,64800
2001-08-03,21.486305,21.691588,21.691588,21.281022,9600
2001-08-06,21.014155,20.95257,21.116797,20.911514,21900
2001-08-07,20.618649,20.692551,20.708973,20.528324,18600
2001-08-08,20.713073,20.62138,20.95257,20.473576,18900
2001-08-09,19.809832,19.70719,19.912474,19.70719,3000
2001-08-10,19.926161,19.871419,19.980902,19.871419,12600
2001-08-13,20.377782,20.391466,20.47358,20.281983,24300
2001-08-14,20.548849,20.583063,20.583063,20.514635,4200
2001-08-15,19.949419,20.186179,20.186179,19.71266,6300
2001-08-16,19.214504,19.15976,19.460844,18.968164,13500
2001-08-17,18.968163,19.15976,19.15976,18.776566,1500
2001-08-20,18.886051,18.886051,19.00922,18.762881,32700
2001-08-21,18.735512,18.968166,18.968166,18.502857,4200
2001-08-22,18.776575,18.664353,19.077658,18.475493,8400
2001-08-23,19.28567,19.189872,19.430737,19.140603,3000
2001-08-24,19.768772,19.507377,20.104068,19.433477,1200
2001-08-27,20.376418,20.117762,20.635075,20.117762,12300
2001-08-28,20.063011,20.076697,20.158809,19.967213,3000
2001-08-29,19.666139,20.063019,20.063019,19.269258,900
2001-08-30,18.612346,18.516547,18.749201,18.475491,3600
2001-08-31,18.814886,18.61234,19.017431,18.61234,6000
2001-09-04,18.676667,18.776571,19.014701,18.338633,3300
2001-09-05,17.9746,18.267471,18.267471,17.681728,22500
2001-09-06,17.298525,17.517492,17.791205,16.805845,792000
2001-09-07,17.083655,16.737411,17.429899,16.737411,9900
2001-09-10,17.049457,16.926286,17.172627,16.926286,3900
2001-09-17,15.763013,15.601524,16.088729,15.437297,24600
2001-09-18,15.359283,15.396234,15.524879,15.193687,1200
2001-09-19,13.637649,14.060532,14.219285,13.056012,40200
2001-09-20,13.658175,13.589746,14.013999,13.302351,51000
2001-09-21,12.823358,12.426477,13.22024,12.426477,11400
2001-09-24,13.665021,13.411837,13.918204,13.411837,28500
2001-09-25,13.849772,14.150854,14.150854,13.54869,12900
2001-09-26,13.507636,13.877145,13.877145,13.138126,9600
2001-09-27,12.527748,12.590701,12.768614,12.286882,3600
2001-09-28,13.056013,13.069698,13.274982,12.837043,14400
2001-10-01,12.802827,12.919154,12.919154,12.686501,5100
2001-10-02,12.693346,12.932843,12.932843,12.453849,12900
2001-10-03,13.035483,12.316992,13.781345,12.289621,12900
2001-10-04,14.211064,13.95925,14.763959,13.658168,22800
2001-10-05,14.137166,14.232964,14.61616,13.658172,23700
2001-10-08,14.725648,14.232967,15.245699,14.205596,49200
2001-10-09,14.568267,14.753022,14.753022,14.383512,22200
2001-10-10,14.773549,14.397195,15.2457,14.301397,28200
2001-10-11,16.233794,15.817753,16.649835,15.817753,62100
2001-10-12,16.12842,16.203691,16.436345,15.820495,26400
2001-10-15,16.027147,16.190005,16.190005,15.864289,7800
2001-10-16,16.237907,16.231064,16.463718,16.012096,6600
2001-10-17,16.354227,16.874277,16.915334,15.793119,15000
2001-10-18,15.266219,15.396232,15.505717,15.026722,13200
2001-10-19,15.121155,14.903555,15.338756,14.903555,6900
2001-10-22,15.649423,15.204643,16.094204,15.204643,23100
2001-10-23,16.240639,16.25843,16.493821,15.987456,4500
2001-10-24,16.533512,16.477402,16.666262,16.400762,16800
2001-10-25,16.607408,16.176314,17.243786,15.971031,10200
2001-10-26,17.236943,17.353271,17.394327,17.079559,22500
2001-10-29,16.559512,16.764795,16.764795,16.354229,7500
2001-10-30,15.544042,15.752062,15.752062,15.336022,16800
2001-10-31,16.19821,15.960081,16.460972,15.935448,8100
2001-11-01,16.599198,16.244742,16.953655,16.244742,3612900
2001-11-02,17.038503,17.230101,17.24105,16.835956,2115300
2001-11-05,17.680358,17.695412,17.761103,17.599613,2100
2001-11-06,17.852803,17.408023,18.297583,17.408023,13500
2001-11-07,18.334534,18.114195,18.587716,18.081351,144000
2001-11-08,18.450854,18.612345,19.028384,17.873325,627300
2001-11-09,18.045763,18.070397,18.22915,17.862376,207900
2001-11-12,18.071764,17.681725,18.489173,17.654355,76800
2001-11-13,19.066699,19.077648,19.269245,18.864153,18900
2001-11-14,19.282932,19.707184,19.707184,18.858681,60900
2001-11-15,19.146077,19.200819,19.365045,18.927108,200400
2001-11-16,19.077652,19.228194,19.26925,18.886054,24600
2001-11-19,18.965426,19.233662,19.250085,18.680767,24300
2001-11-20,18.315372,18.708147,18.749203,17.88154,29100
2001-11-21,17.885643,17.804898,18.10598,17.665305,42300
2001-11-23,18.278415,18.105977,18.450853,18.105977,13200
2001-11-26,18.91342,18.667081,19.159759,18.667081,9300
2001-11-27,19.11323,18.721822,19.622332,18.604128,43500
2001-11-28,18.606874,18.899744,18.899744,18.314003,18600
2001-11-29,18.542551,18.420749,18.842264,18.242838,19200
2001-11-30,18.496017,18.584973,18.647926,18.344108,50400
