date,basket,side,kind,qty,price,value,fee,pnl,reason
2002-06-11,1,BUY,LOC,65.29094420434086,14.430195,942.1610566027584,0.9421610566027585,,first_slice
2002-06-12,1,SELL,LOC,65.29094420434086,15.760298,1029.004737361785,1.029004737361785,85.81467602166481,lot_tp
2002-06-13,1,BUY,LOC,85.3763287603474,15.113203,1290.3097879498687,1.2903097879498686,,dip_slice
2002-06-17,1,SELL,LOC,85.3763287603474,17.292627,1476.38100788206,1.47638100788206,184.59483892430922,lot_tp
2002-06-18,1,BUY,LOC,69.61872545431181,16.6812,1161.3238830484663,1.1613238830484662,,dip_slice
2002-06-19,1,BUY,LOC,72.17496330505672,13.329664,962.0680100687356,0.9620680100687357,,dip_slice
2002-06-20,1,BUY,LOC,80.2739980792581,11.56023,927.985880815782,0.927985880815782,,dip_slice
2002-06-24,1,SELL,LOC,22.206768683862663,12.04663,267.5167258300805,0.26751672583008046,-37.88856828904801,upday_sell
2002-06-27,1,SELL,LOC,19.9860918154764,11.353758,226.9172498386997,0.22691724983869968,-47.93366706510756,upday_sell
2002-07-03,1,SELL,LOC,17.98748263392876,9.178815,165.10377541254482,0.1651037754125448,-82.22292805143942,upday_sell
2002-07-05,1,SELL,LOC,16.188734370535883,11.443315,185.25278685336883,0.18525278685336882,-37.37790565319912,upday_sell
2002-07-11,1,SELL,LOC,14.569860933482298,9.468724,137.95799189752623,0.13795799189752622,-62.38086184211443,upday_sell
2002-07-12,1,SELL,LOC,13.112874840134067,10.023203,131.4330064362563,0.1314330064362563,-48.87923274314875,upday_sell
2002-07-15,1,SELL,LOC,11.801587356120661,10.099123,119.18568230470737,0.11918568230470737,-43.09622893326926,upday_sell
2002-07-16,1,SELL,LOC,10.621428620508595,10.722234,113.88544308339036,0.11388544308339035,-32.17489535979779,upday_sell
2002-07-17,1,SELL,LOC,9.559285758457737,10.867761,103.88803295362241,0.10388803295362242,-27.567662779425447,upday_sell
2002-07-24,1,SELL,LOC,8.603357182611962,8.222573,70.74173247910119,0.07074173247910119,-47.54563618346275,upday_sell
2002-07-29,1,SELL,LOC,7.7430214643507655,6.630785,51.342310580495095,0.0513423105804951,-55.10399596716175,upday_sell
2002-07-30,1,SELL,LOC,6.968719317915689,7.170325,49.967982343233814,0.04996798234323382,-45.83745345247813,upday_sell
2002-08-06,1,SELL,LOC,6.271847386124121,4.375632,27.443296121841065,0.027443296121841067,-58.764068206312615,upday_sell
2002-08-07,1,SELL,LOC,5.6446626475117085,4.652174,26.25995280752513,0.026259952807525133,-51.32823607411106,upday_sell
2002-08-08,1,SELL,LOC,5.080196382760538,5.169758,26.26338589134735,0.02626338589134735,-43.5686135304898,upday_sell
2002-08-14,1,SELL,LOC,4.5721767444844845,4.981542,22.776490484072728,0.02277649048407273,-40.07144843876257,upday_sell
2002-08-15,1,SELL,LOC,4.114959070036036,5.292341,21.777766599673587,0.02177776659967359,-34.78665735604219,upday_sell
2002-08-16,1,SELL,LOC,3.703463163032433,6.278484,23.25213421368852,0.023252134213688522,-27.65949949072966,upday_sell
2002-08-19,1,SELL,LOC,3.33311684672919,7.16409,23.878749070484123,0.023878749070484123,-21.9446730917704,upday_sell
2002-08-21,1,SELL,LOC,2.9998051620562705,7.034213,21.101268468403326,0.021101268468403326,-20.13942187193072,upday_sell
2002-08-22,1,SELL,LOC,2.6998246458506436,7.152366,19.310134002944185,0.019310134002944186,-17.80680629573784,upday_sell
2002-08-26,1,SELL,LOC,2.4298421812655793,5.902078,14.341118081519589,0.01434111808151959,-19.0610901847731,upday_sell
2002-08-29,1,SELL,LOC,2.1868579631390213,4.361541,9.538070667407329,0.009538070667407328,-20.520547836650135,upday_sell
2002-09-04,1,SELL,LOC,1.9681721668251193,3.639496,7.163154728471354,0.007163154728471354,-19.88818081630817,upday_sell
2002-09-06,1,SELL,LOC,1.7713549501426074,3.738267,6.621797755404755,0.006621797755404755,-17.724579193396597,upday_sell
2002-09-10,1,SELL,LOC,1.5942194551283466,3.959141,6.311739607796297,0.006311739607796297,-15.60035176775285,upday_sell
2002-09-11,1,SELL,LOC,1.4347975096155121,4.15214,5.957480131574953,0.005957480131574953,-13.763679020903842,upday_sell
2002-09-24,1,SELL,LOC,1.2913177586539608,1.911202,2.4679690829749674,0.0024679690829749676,-15.278180391220502,upday_sell
2002-09-25,1,SELL,LOC,1.1621859827885648,2.307683,2.6819568353194634,0.0026819568353194634,-13.290038476117104,upday_sell
2002-10-01,1,SELL,LOC,1.0459673845097084,2.138061,2.236342072092212,0.0022363420720922116,-12.138276289121002,upday_sell
2002-10-10,1,SELL,LOC,0.9413706460587377,1.491933,1.4044619320863505,0.0014044619320863505,-11.532086347072745,upday_sell
2002-10-11,1,SELL,LOC,0.8472335814528638,1.894323,1.6049340597185333,0.0016049340597185334,-10.038300309845493,upday_sell
2002-10-14,1,SELL,LOC,0.7625102233075775,1.912923,1.458623343900201,0.001458623343900201,-9.020301771397575,upday_sell
2002-10-15,1,SELL,LOC,0.6862592009768198,2.482121,1.7033783741877848,0.0017033783741877849,-7.728044846944895,upday_sell
2002-10-17,1,SELL,LOC,0.6176332808791378,2.044842,1.262962473339458,0.001262962473339458,-7.225048347616524,upday_sell
2002-10-18,1,SELL,LOC,0.555869952791224,2.151296,1.1958408059599488,0.0011958408059599488,-6.443428107480387,upday_sell
