date,basket,side,kind,qty,price,value,fee,pnl,reason
2006-05-23,0,BUY,MOC,1538.4597859054077,66.379997,102122.95597302161,102.12295597302162,,switch_entry
2006-10-13,0,SELL,MOC,1538.4597859054077,58.57,90107.58966047973,90.10758966047973,-12105.47390220236,switch_exit
2006-10-23,0,BUY,MOC,1532.7669562899596,57.759998,88532.61632977416,88.53261632977416,,switch_entry
2006-11-15,0,SELL,MOC,1532.7669562899596,61.84,94786.3085769711,94.78630857697111,6158.905938619977,switch_exit
2007-10-26,0,BUY,MOC,1276.8923054254178,77.690002,99201.76576228533,99.20176576228533,,switch_entry
2009-05-01,0,SELL,MOC,1276.8923054254178,86.949997,111025.78212606316,111.02578212606316,11712.990581651764,switch_exit
2009-05-13,0,BUY,MOC,1216.4228483613674,91.089996,110803.95239154556,110.80395239154556,,switch_entry
2009-05-21,0,SELL,MOC,1216.4228483613674,93.849998,114161.28188586864,114.16128188586863,3243.1682124372023,switch_exit
2010-06-08,0,BUY,MOC,938.7367065721966,121.0,113587.14149523579,113.58714149523578,,switch_entry
2010-06-16,0,SELL,MOC,938.7367065721966,120.330002,112958.18977930582,112.95818977930581,-741.9099057092707,switch_exit
2010-06-30,0,BUY,MOC,929.3108564412103,121.68,113078.54501176647,113.07854501176648,,switch_entry
2010-07-14,0,SELL,MOC,929.3108564412103,118.300003,109937.47710492775,109.93747710492775,-3251.005383943652,switch_exit
2010-08-11,0,BUY,MOC,932.8763851965824,117.339996,109463.71130746145,109.46371130746145,,switch_entry
2010-10-12,0,SELL,MOC,932.8763851965824,131.960007,123102.3743206757,123.10237432067571,13515.560638893576,switch_exit
2011-06-16,0,BUY,MOC,826.4058522494514,148.970001,123109.68063600663,123.10968063600663,,switch_entry
2012-01-19,0,SELL,MOC,826.4058522494514,161.220001,133233.1523260624,133.23315232606242,9990.238537729718,switch_exit
2012-05-18,0,BUY,MOC,860.354545673401,154.550003,132967.79761488776,132.96779761488776,,switch_entry
2012-08-08,0,SELL,MOC,860.354545673401,156.479996,134628.27586555562,134.62827586555562,1525.8499748022853,switch_exit
2012-09-26,0,BUY,MOC,787.5718477449358,169.809998,133737.57389042387,133.73757389042387,,switch_entry
2013-01-03,0,SELL,MOC,787.5718477449358,161.199997,126956.5794937681,126.9565794937681,-6907.950976149544,switch_exit
2014-10-13,0,BUY,MOC,1074.2882013846565,118.519997,127324.6344052449,127.32463440524491,,switch_entry
2014-10-22,0,SELL,MOC,1074.2882013846565,119.339996,128205.5496560921,128.2055496560921,752.7097011911203,switch_exit
2015-07-09,0,BUY,MOC,1148.9708473666794,111.360001,127949.39471172426,127.94939471172427,,switch_entry
2015-10-26,0,SELL,MOC,1148.9708473666794,111.43,128029.82152206909,128.02982152206908,-47.603011177237505,switch_exit
2015-11-13,0,BUY,MOC,1231.6012918993704,103.559998,127544.6273258962,127.5446273258962,,switch_entry
2015-12-02,0,SELL,MOC,1231.6012918993704,100.690002,124009.93654455019,124.00993654455019,-3658.7007178905587,switch_exit
2016-01-07,0,BUY,MOC,1168.0975973385277,106.150002,123993.56229367992,123.99356229367991,,switch_entry
2016-03-14,0,SELL,MOC,1168.0975973385277,117.870003,137683.66730258506,137.68366730258506,13552.421341602554,switch_exit
2018-10-09,0,BUY,MOC,1242.9120001553274,112.599998,139951.88873166585,139.95188873166586,,switch_entry
2019-02-07,0,SELL,MOC,1242.9120001553274,123.739998,153797.9284133962,153.79792841339622,13692.24175331697,switch_exit
2020-03-10,0,BUY,MOC,987.4121982088965,154.479996,152535.43242966154,152.53543242966154,,switch_entry
2020-04-15,0,SELL,MOC,987.4121982088965,161.850006,159812.6702045831,159.8126702045831,7117.425104716974,switch_exit
2020-04-22,0,BUY,MOC,1005.5772646256207,161.729996,162632.00698559257,162.63200698559257,,switch_entry
2020-04-30,0,SELL,MOC,1005.5772646256207,158.800003,159685.67263928038,159.6856726392804,-3106.0200189514926,switch_exit
2022-01-28,0,BUY,MOC,953.9819138446837,167.100006,159410.38352733816,159.41038352733815,,switch_entry
2022-02-07,0,SELL,MOC,953.9819138446837,170.110001,162281.86431810108,162.2818643181011,2709.198926444804,switch_exit
2022-02-24,0,BUY,MOC,911.7339029493781,177.139999,161504.54265671893,161.50454265671894,,switch_entry
2022-03-25,0,SELL,MOC,911.7339029493781,182.380005,166282.0337785771,166.2820337785771,4611.209088079602,switch_exit
2022-04-04,0,BUY,MOC,925.300462072832,180.369995,166896.4397175744,166.8964397175744,,switch_entry
2023-01-13,0,SELL,MOC,925.300462072832,178.759995,165406.70597363714,165.40670597363714,-1655.140449910883,switch_exit
2023-10-26,0,BUY,MOC,925.1349773994077,184.009995,170234.08256559013,170.23408256559014,,switch_entry
2023-11-06,0,SELL,MOC,925.1349773994077,183.350006,169623.50365699126,169.62350365699126,-780.2024122558452,switch_exit
2024-08-06,0,BUY,MOC,783.8606630829652,220.699997,172998.04599082842,172.99804599082842,,switch_entry
2024-08-14,0,SELL,MOC,783.8606630829652,226.199997,177309.27963778473,177.30927963778473,4133.924367318524,switch_exit
2024-09-09,0,BUY,MOC,771.3352289865745,231.600006,178641.24366130203,178.64124366130204,,switch_entry
