date,basket,side,kind,qty,price,value,fee,pnl,reason
2004-04-29,0,BUY,MOC,2532.349449423174,39.592731,100262.63054900983,100.26263054900983,,switch_entry
2004-12-07,0,SELL,MOC,2532.349449423174,43.112961,109177.08305135278,109.17708305135278,8805.275419291582,switch_exit
2004-12-10,0,BUY,MOC,2508.1973203658217,43.603748,109366.80389150657,109.36680389150658,,switch_entry
2005-02-14,0,SELL,MOC,2508.1973203658217,46.026661,115443.94778558606,115.44394778558606,5961.699946293914,switch_exit
2005-04-14,0,BUY,MOC,2582.698387167203,44.759243,115599.62470692491,115.59962470692491,,switch_entry
2005-05-18,0,SELL,MOC,2582.698387167203,46.753391,120749.90753029761,120.74990753029762,5029.532915842413,switch_exit
2006-05-23,0,BUY,MOC,2805.659489273764,44.237698,124115.917177327,124.115917177327,,switch_entry
2006-10-13,0,SELL,MOC,2805.659489273764,46.50993,130491.0264499585,130.4910264499585,6244.6182461815315,switch_exit
2006-10-23,0,BUY,MOC,2792.8035764293304,46.531277,129952.71682142385,129.95271682142385,,switch_entry
2006-11-15,0,SELL,MOC,2792.8035764293304,48.130295,134418.4600105987,134.41846001059872,4331.324729164258,switch_exit
2007-01-23,0,BUY,MOC,2847.5820104122054,47.271507,134609.49293827463,134.60949293827463,,switch_entry
2007-02-05,0,SELL,MOC,2847.5820104122054,47.301456,134694.77517190448,134.69477517190447,-49.412541542063636,switch_exit
2007-10-26,0,BUY,MOC,2736.7891594699176,50.55743,138365.0263546592,138.3650263546592,,switch_entry
2009-05-05,0,SELL,MOC,2736.7891594699176,58.133881,159100.17531871423,159.10017531871424,20576.048788736298,switch_exit
2009-05-13,0,BUY,MOC,2723.8755854117317,58.360878,158967.77072739266,158.96777072739266,,switch_entry
2009-05-21,0,SELL,MOC,2723.8755854117317,56.502995,153907.12858314114,153.90712858314114,-5214.549272834668,switch_exit
2010-06-08,0,BUY,MOC,2500.9921444231454,61.171185,152988.65315005495,152.98865315005494,,switch_entry
2010-06-16,0,SELL,MOC,2500.9921444231454,60.553547,151443.94536395773,151.44394536395774,-1696.151731461179,switch_exit
2010-06-30,0,BUY,MOC,2390.5732289429297,63.479473,151752.32874120554,151.75232874120553,,switch_entry
2010-07-14,0,SELL,MOC,2390.5732289429297,62.152882,148581.01581084888,148.5810158108489,-3319.8939461674972,switch_exit
2010-08-11,0,BUY,MOC,2332.0829795749446,63.584423,148284.15064439364,148.28415064439363,,switch_entry
2010-10-12,0,SELL,MOC,2332.0829795749446,65.231209,152124.59224599597,152.12459224599598,3688.317009356322,switch_exit
2011-06-17,0,BUY,MOC,2399.357494384407,63.039528,151254.36394925567,151.25436394925566,,switch_entry
2012-01-19,0,SELL,MOC,2399.357494384407,78.572441,188523.37516542664,188.52337516542664,37080.48784100554,switch_exit
2012-05-18,0,BUY,MOC,2266.037284118531,83.278854,188712.98814266364,188.71298814266365,,switch_entry
2012-08-08,0,SELL,MOC,2266.037284118531,84.454742,191377.5941926112,191.3775941926112,2473.228455754961,switch_exit
2012-09-26,0,BUY,MOC,2258.858395460588,84.553871,190995.22137704154,190.99522137704153,,switch_entry
2013-01-03,0,SELL,MOC,2258.858395460588,80.253487,181281.26287493715,181.28126287493714,-9895.23976497931,switch_exit
2014-10-13,0,BUY,MOC,2088.637522681959,86.620613,180919.06254951272,180.91906254951272,,switch_entry
2014-10-22,0,SELL,MOC,2088.637522681959,86.54174,180754.3254421862,180.7543254421862,-345.4914327686836,switch_exit
2015-07-09,0,BUY,MOC,2053.18265690367,86.21537,177015.90244253294,177.01590244253293,,switch_entry
2015-10-26,0,SELL,MOC,2053.18265690367,91.25972,187372.874377885,187.37287437788498,10169.59906097416,switch_exit
2015-11-13,0,BUY,MOC,2157.0358811894753,88.258049,190375.7784967789,190.3757784967789,,switch_entry
2015-12-02,0,SELL,MOC,2157.0358811894753,90.802666,195864.6086696636,195.8646086696636,5292.96556421506,switch_exit
2016-01-07,0,BUY,MOC,2149.307577433855,90.948563,195476.43561262032,195.47643561262032,,switch_entry
2016-03-14,0,SELL,MOC,2149.307577433855,94.973671,204127.63073700995,204.12763073700995,8447.067493652625,switch_exit
2018-10-09,0,BUY,MOC,2299.1322554728513,90.247292,207490.46000627702,207.49046000627703,,switch_entry
2019-02-07,0,SELL,MOC,2299.1322554728513,97.524727,224222.2455518841,224.2222455518841,16507.563300055175,switch_exit
2020-03-10,0,BUY,MOC,1617.3149905188934,133.264572,215530.79000068436,215.53079000068436,,switch_entry
2020-04-15,0,SELL,MOC,1617.3149905188934,138.113449,223372.9514599667,223.37295145996669,7618.78850782234,switch_exit
2020-04-22,0,BUY,MOC,1667.6834239749994,139.230347,232192.14180618728,232.1921418061873,,switch_entry
2020-04-30,0,SELL,MOC,1667.6834239749994,136.930969,228357.5072301345,228.3575072301345,-4062.9920832829043,switch_exit
2022-01-28,0,BUY,MOC,1912.3898519941226,120.574173,230584.82485778374,230.58482485778373,,switch_entry
2022-02-07,0,SELL,MOC,1912.3898519941226,117.342438,224404.4876394495,224.4044876394495,-6404.741705973676,switch_exit
2022-02-24,0,BUY,MOC,1942.4674330468536,115.376823,224115.72120591116,224.11572120591117,,switch_entry
2022-03-25,0,SELL,MOC,1942.4674330468536,108.679123,211105.65707959328,211.10565707959327,-13221.169783397472,switch_exit
2022-04-04,0,BUY,MOC,1883.7802799600852,111.214394,209503.4822649112,209.5034822649112,,switch_entry
2023-01-13,0,SELL,MOC,1883.7802799600852,92.044075,173390.8133721671,173.3908133721671,-36286.0597061163,switch_exit
2023-10-26,0,BUY,MOC,2401.3605000011125,74.858414,179762.03847233029,179.7620384723303,,switch_entry
2023-11-06,0,SELL,MOC,2401.3605000011125,76.932846,184743.4975370686,184.74349753706858,4796.715567201243,switch_exit
2024-08-06,0,BUY,MOC,2105.606828160101,88.188286,185689.85716533585,185.68985716533587,,switch_entry
2024-08-14,0,SELL,MOC,2105.606828160101,89.375214,188189.06086667025,188.18906086667025,2311.0146404677307,switch_exit
2024-09-09,0,BUY,MOC,2100.405541434424,91.589645,192375.39789601168,192.3753978960117,,switch_entry
2024-09-17,0,SELL,MOC,2100.405541434424,92.368225,194010.73164246167,194.01073164246168,1441.3230148075331,switch_exit
2024-11-01,0,BUY,MOC,2292.9055690809396,83.759018,192051.51883295065,192.05151883295065,,switch_entry
2024-11-11,0,SELL,MOC,2292.9055690809396,84.865463,194588.49273533243,194.58849273533244,2342.385409646446,switch_exit
2024-11-14,0,BUY,MOC,2363.654276667109,83.279549,196844.06215275807,196.84406215275806,,switch_entry
2025-01-22,0,SELL,MOC,2363.654276667109,81.283386,192125.8229408834,192.1258229408834,-4910.365034815553,switch_exit
2025-01-28,0,BUY,MOC,2341.9469204480724,81.915001,191840.58433045077,191.84058433045078,,switch_entry
2025-06-05,0,SELL,MOC,2341.9469204480724,81.731133,191409.97523408182,191.40997523408183,-622.0190716030372,switch_exit
