strategy,period,cagr,simple_annual,pnl_yr_cap,mdd,mdd_cap,mdd_recover_days,max_underwater_days,worst_year,worst_month,ulcer,pct_days_dd_gt20,sharpe,calmar,pct_positive_years,avg_exposure,n_trades,fills_per_day
baseline,full,0.07048865111831071,0.17945659040065529,0.17945659040065529,-0.8862581608203197,-1.020029921667302,622.0,766,-0.46197195472020536,-0.46931683283521874,0.09338178634119959,0.03980257920713262,0.3430011677141204,0.07953512219629828,0.8846153846153846,,10546.0,1.6790320012736826
baseline,IS ~2017,0.07377889035227847,0.13502639834079405,0.13502639834079405,-0.8862581608203197,-1.020029921667302,622.0,766,-0.46197195472020536,-0.46931683283521874,0.11505803253970252,0.06054734802615645,0.34813882944429914,0.08324762875411923,0.8235294117647058,,10546.0,1.6790320012736826
baseline,OOS 2018~,0.0637828263077862,0.0815182026466667,0.2632275147637854,-0.05691747199109698,-0.20407899506896615,41.0,123,0.03273126601129572,-0.037754789953364565,0.007154750476001812,0.0,1.1112835669252534,1.1206194526306983,1.0,,10546.0,1.6790320012736826
v5,full,0.06849626911405537,0.16947560546218593,0.16947560546218593,-0.2165951640459578,-0.2695699824094382,263.0,845,-0.1460694110851386,-0.13563052693216882,0.06860116308872392,0.000318420633657061,0.6411178066518674,0.31624099003208417,0.8076923076923077,,9275.0,1.4766756885846204
v5,IS ~2017,0.06420970620627986,0.10825643415636699,0.108256434156367,-0.2165951640459578,-0.2695699824094382,263.0,845,-0.1460694110851386,-0.13563052693216882,0.08420701191919815,0.0004843787842092516,0.5486939948979466,0.2964503223749523,0.7058823529411765,,9275.0,1.4766756885846204
v5,OOS 2018~,0.07623605089668173,0.10230039199071825,0.28540011955718003,-0.07938524241857225,-0.25272305088951585,106.0,153,0.004984485686444273,-0.05606537313653914,0.011429795163502543,0.0,0.9941721676704384,0.960330265097814,1.0,,9275.0,1.4766756885846204
v5(compound),full,0.07709063744784372,0.21589702735452954,0.21589702735452954,-0.3343028488790595,-1.3432187271488565,532.0,987,-0.1935701196302715,-0.20625114032834502,0.14055524906321445,0.11765642413628404,0.4982645027466979,0.23060119800454573,0.5769230769230769,,7743.0,1.2327654832033115
v5(compound),IS ~2017,0.05259994532578771,0.08038623308243954,0.08038623308243953,-0.3343028488790595,-0.7317526112397041,532.0,987,-0.1935701196302715,-0.20625114032834502,0.14650439314984476,0.10922741583918624,0.40015131925969677,0.15734219885400008,0.5294117647058824,,7743.0,1.2327654832033115
v5(compound),OOS 2018~,0.12394722699764982,0.20085470090560079,0.47211572219610115,-0.3241843076100249,-1.3432187271488565,410.0,933,-0.11284717615224438,-0.1772781548708987,0.1283710799258202,0.13382899628252787,0.6429291313539826,0.38233567784764955,0.6666666666666666,,7743.0,1.2327654832033115
defensive,full,0.10194075506022937,0.3948708444076935,0.3948708444076935,-0.19457894312628277,-0.7738201209324205,184.0,894,-0.06256555266175468,-0.13880126166879692,0.06127403929921401,0.0,0.8966388952219617,0.5239043517369157,0.76,0.08841423412302199,13993.0,2.2860643685672275
defensive,IS ~2017,0.08644610148430365,0.16961641667711921,0.16961641667711921,-0.19368727577059064,-0.4197702330773741,389.0,894,-0.06256555266175468,-0.13880126166879692,0.06485654873970934,0.0,0.8315952711741814,0.4463179170669588,0.75,0.0904002294384548,13993.0,2.2860643685672275
defensive,OOS 2018~,0.12632739467711684,0.20875585657465048,0.7856319684104908,-0.19457894312628277,-0.7738201209324205,184.0,600,-0.06105252055808297,-0.11545311078631337,0.05425331589948456,0.0,0.9783149598311132,0.649234663563414,0.7777777777777778,0.08484941787417895,13993.0,2.2860643685672275
defensive(fixed),full,0.05300182627904837,0.1032821100320205,0.1032821100320205,-0.11205846973683842,-0.20632771038963973,374.0,896,-0.03808072703344778,-0.08008927967691626,0.03567040436002759,0.0,0.8539367345900127,0.47298367007437725,0.76,0.04689076811598786,13962.0,2.280999836628002
defensive(fixed),IS ~2017,0.05709164365578645,0.08833025281729204,0.08833025281729204,-0.11205846973683842,-0.2036425112339267,374.0,896,-0.03808072703344778,-0.08008927967691626,0.04161665010709068,0.0,0.8324281846840136,0.5094808432585438,0.75,0.05563021433451686,13962.0,2.280999836628002
defensive(fixed),OOS 2018~,0.0442131419236258,0.05254207911486955,0.12661263679888185,-0.08367140685938124,-0.20632771038963973,161.0,575,-0.024789535142031416,-0.048217119972198796,0.021153344962974885,0.0,0.9227049844539784,0.528413989714918,0.7777777777777778,0.031203661684463865,13962.0,2.280999836628002
balanced,full,0.16149187994437209,1.5274603276020624,1.5274603276020624,-0.27796048226045,-2.939882350738821,401.0,987,-0.10408414698109503,-0.2191330712297509,0.10034249236674085,0.04100637150792354,0.8782687506838057,0.5809886305818595,0.72,0.15547280881410944,16718.0,2.731253063224963
balanced,IS ~2017,0.12620227805977025,0.3453966262424635,0.3453966262424635,-0.27796048226045,-0.9184154148336208,401.0,987,-0.10408414698109503,-0.2191330712297509,0.11211129307248976,0.06079877893665734,0.7482810218696496,0.45402956935985683,0.6875,0.15843212763216516,16718.0,2.731253063224963
balanced,OOS 2018~,0.22204936449601265,0.5435801243343302,3.6171745461797373,-0.24182769657274716,-2.939882350738821,155.0,571,-0.09553559205723683,-0.18332978085242557,0.07470332805648425,0.005479452054794521,1.0650619380785558,0.9182131229919532,0.7777777777777778,0.15016089910005598,16718.0,2.731253063224963
balanced(fixed),full,0.06874430107976814,0.16605405498821055,0.16605405498821055,-0.1704762172700155,-0.2976862773380038,521.0,903,-0.05520843109739071,-0.11032224743044694,0.050930278739807044,0.0,0.7783363871355531,0.4032486301058919,0.76,0.06956152838089726,16718.0,2.731253063224963
balanced(fixed),IS ~2017,0.07487656145652766,0.13365885957784654,0.13365885957784654,-0.1704762172700155,-0.2976862773380038,521.0,903,-0.05520843109739071,-0.11032224743044694,0.06127415948753153,0.0,0.7429157295562239,0.43921998420419817,0.75,0.08507787094419116,16718.0,2.731253063224963
balanced(fixed),OOS 2018~,0.056338285755157536,0.07024484587509736,0.21962925805121924,-0.0815796669328106,-0.2630365220626867,136.0,552,-0.026054079166864197,-0.05962204409676486,0.022596241865466566,0.0,0.9697575675206271,0.690592250168881,0.7777777777777778,0.04171004773418112,16718.0,2.731253063224963
aggressive,full,0.19847284596035086,3.3211178315128973,3.3211178315128973,-0.41218234719201674,-9.069347227595777,447.0,987,-0.3033906368602076,-0.27478905947179477,0.16804549050526524,0.2876980885476229,0.8165889121148341,0.48151709386013936,0.68,0.21137290208792564,15550.0,2.540434569514785
aggressive,IS ~2017,0.12638245506329415,0.3464201621278715,0.3464201621278715,-0.41218234719201674,-1.3745271204171563,447.0,987,-0.3033906368602076,-0.27478905947179477,0.19446955975855945,0.41439837191554313,0.6199362343526066,0.3066178256402097,0.625,0.20768813845185286,15550.0,2.540434569514785
aggressive,OOS 2018~,0.33029273854230357,1.263959947192183,8.609111356633006,-0.36803103370209633,-9.069347227595777,183.0,436,-0.14928328520053935,-0.21979525176230408,0.10509510058131902,0.06027397260273973,1.0842451880682775,0.8974589322531422,0.7777777777777778,0.2179869686876527,15550.0,2.540434569514785
aggressive(fixed),full,0.08028657016743357,0.22791808956496928,0.22791808956496928,-0.20362771016411751,-0.43934796984015284,288.0,992,-0.10181942888394946,-0.12059175911652431,0.06841882819642729,0.00016337199803953602,0.7416917729422677,0.3942811619436526,0.76,0.08798987357904614,16447.0,2.686979251756249
aggressive(fixed),IS ~2017,0.08824055821111498,0.1757132681614779,0.1757132681614779,-0.20362771016411751,-0.42454294113475205,288.0,992,-0.10181942888394946,-0.12059175911652431,0.08257190415117231,0.0002543881963876876,0.7132805656256156,0.43334258456275854,0.75,0.10875153857157922,16447.0,2.686979251756249
aggressive(fixed),OOS 2018~,0.06420796890699987,0.08260309373198807,0.314399802715249,-0.11225127768857379,-0.43934796984015284,161.0,575,-0.038168122008348515,-0.08654333739090825,0.02907404016956679,0.0,0.91918684903289,0.5720021208590277,0.7777777777777778,0.05072315892806551,16447.0,2.686979251756249
SOXL 보유,full,0.007820907319504355,0.008600282328208697,0.008600282328208695,-0.9988756170166092,-1.6364347922617923,6362.0,9028,-0.9521700751839496,-0.7034130643214422,0.8995856352619735,0.9918802738417449,0.509785409751676,0.00782971091322005,0.5769230769230769,,,
SOXL 보유,IS ~2017,-0.1406420101102115,-0.055877610691161046,-0.05587761069116105,-0.9988756170166092,-0.9988756170166092,,5993,-0.9521700751839496,-0.7034130643214422,0.9601985765029062,0.998062484863163,0.31958090176608267,-0.14080032359812114,0.5294117647058824,,,
SOXL 보유,OOS 2018~,0.3550936924111241,1.4590586264834982,0.13134514073613424,-0.9046051582487771,-1.6364347922617923,1230.0,1520,-0.8566309614983038,-0.5373307775094656,0.4852204550878678,0.7151486988847584,0.8272883075859755,0.39253998186186456,0.6666666666666666,,,
