,baseline,v5,v5(compound),defensive,defensive(fixed),balanced,balanced(fixed),aggressive,aggressive(fixed),SOXL 보유
2001-08-02,100000000.0,100000000.0,100000000.0,,,,,,,100000000.0
2001-08-03,99992507.54146704,99992507.54146704,99992507.54146704,,,,,,,96214441.40948023
2001-08-06,99577872.2531865,99577872.2531865,99577872.82945493,,,,,,,91050258.04042473
2001-08-07,98660927.90394129,98660927.90394129,98660986.84597537,,,,,,,86820671.21889178
2001-08-08,97756339.48964226,97756339.48964226,97757595.29190907,,,,,,,83860019.12491974
2001-08-09,94634609.81711088,94634609.81711088,94646951.09384784,,,,,,,76965178.40713705
2001-08-10,94940574.60407276,94946605.63845593,94956692.0172421,,,,,,,77441262.25607882
2001-08-13,97504503.32648237,97946434.59623052,97934968.32873364,,,,,,,83018287.55275255
2001-08-14,97677438.11334564,98208089.97567227,98196243.26762356,,,,,,,84019153.92849115
2001-08-15,96273802.21530254,96804454.07762918,96792784.52536318,,,,,,,74165512.55761342
2001-08-16,95164498.59257393,95695150.45490056,95688928.9918347,,,,,,,71323271.15190622
2001-08-17,91440114.1635968,91970766.02592343,92004251.60406831,,,,,,,63799705.57065664
2001-08-20,93028246.39795792,93558898.26028456,93563148.83299595,,,,,,,65892271.73691603
2001-08-21,90421169.9541226,90951821.81644924,90993086.73736238,,,,,,,60904048.24705141
2001-08-22,94846641.18788004,95377293.05020668,95321638.03541382,,,,,,,66580091.97670085
2001-08-23,95360707.6693972,95891359.53172384,95828624.87216258,,,,,,,67583007.92498223
2001-08-24,97997161.9623712,98527813.82469782,98446798.9358574,,,,,,,76323955.1327525
2001-08-27,98746594.25729989,99277246.1196265,99196204.72003949,,,,,,,81431816.02081273
2001-08-28,98739101.8080907,99269753.67041732,99188772.48642544,,,,,,,75708604.63072571
2001-08-29,97940918.3326397,98471570.19496632,98397004.38990037,,,,,,,67769418.53854482
2001-08-30,96374333.50269775,96904985.36502437,96843111.36934818,,,,,,,62282335.53815642
2001-08-31,96810722.1316249,97347457.27032024,97281135.0623038,,,,,,,63209692.22189116
2001-09-04,95325016.59092404,95367449.68774316,95321195.9415482,,,,,,,58141204.55141616
2001-09-05,92327847.24146399,91123319.5590911,91136399.16932078,,,,,,,52153559.435375944
2001-09-06,86961954.17575122,84246567.95939435,84399497.00279072,,,,,,,44898732.440818116
2001-09-07,87944591.92248735,85393058.89148614,85509325.94001624,,,,,,,45881066.3958172
2001-09-10,87839137.93159899,85393058.89148614,85509325.94001624,,,,,,,45748310.59574968
2001-09-17,75084705.27510504,85393058.89148614,85509325.94001624,,,,,,,33171006.303146567
2001-09-18,75853737.451115,85393058.89148614,85509325.94001624,,,,,,,33735581.062821865
2001-09-19,67915017.79862545,85393058.89148614,85509325.94001624,,,,,,,25224411.603462506
2001-09-20,60394384.38923567,85393058.89148614,85509325.94001624,,,,,,,20344605.00272028
2001-09-21,54029655.8395085,85393058.89148614,85509325.94001624,,,,,,,17393389.28483095
2001-09-24,68893718.13530658,85393058.89148614,85509325.94001624,,,,,,,22583208.426644024
2001-09-25,66310900.03940923,85393058.89148614,85509325.94001624,,,,,,,20784523.66066549
2001-09-26,62463225.70318862,85393058.89148614,85509325.94001624,,,,,,,19020998.259380136
2001-09-27,57587922.77095718,85393058.89148614,85509325.94001624,,,,,,,17300794.489019856
2001-09-28,62078609.59042199,85393058.89148614,85509325.94001624,,,,,,,18747168.921275463
2001-10-01,58402720.82217817,85393058.89148614,85509325.94001624,,,,,,,16870491.37885514
2001-10-02,55674011.97692351,85393058.89148614,85509325.94001624,,,,,,,15942351.648441238
2001-10-03,70488786.55848622,85393058.89148614,85509325.94001624,,,,,,,20514823.803595208
