id,opened,closed,status,budget,pnl,ret,n_buys,n_sells,hold_days,reason
1,2011-01-03,2011-03-31,closed,25000.0,2016.5576218827923,0.08066230487531169,20,40,61,time_soft
2,2011-01-06,2011-04-05,closed,25000.0,2617.5127449884862,0.10470050979953945,23,40,61,time_soft
3,2011-01-11,2011-04-08,closed,25000.0,3137.988181854931,0.12551952727419724,24,46,61,time_soft
4,2011-01-14,2011-04-13,closed,24999.99999999997,1122.858842826598,0.04491435371306397,26,45,61,time_soft
5,2011-03-31,2011-08-09,closed,26884.18558625666,-10544.79795586126,-0.3922305149259131,35,58,90,breaker
6,2011-04-05,2011-06-13,closed,27503.036810635534,-3648.5426291481663,-0.13265962789015576,19,31,47,regime_bear
7,2011-04-08,2011-06-13,closed,27729.701688550234,-3250.117416674565,-0.11720708189286287,17,27,44,regime_bear
8,2011-04-13,2011-06-13,closed,26597.485450260247,-3647.560385716968,-0.13713929433435512,15,22,41,regime_bear
9,2012-02-15,2012-05-17,closed,21950.974751037927,-4991.539725783588,-0.22739490079125388,23,41,64,regime_bear
10,2012-02-21,2012-05-18,closed,21894.59951676849,-5869.315680680851,-0.26807138793224783,21,35,62,breaker
11,2012-02-24,2012-05-17,closed,21847.851429174465,-5116.7888202904005,-0.2342010076770163,20,32,58,regime_bear
12,2012-02-29,2012-05-17,closed,22026.5754746681,-5216.5767177758535,-0.23683103729743343,19,29,55,regime_bear
13,2012-09-06,2012-09-25,closed,16652.419514905243,-2351.4095513351062,-0.14120527946286768,7,7,13,regime_bear
14,2012-09-11,2012-09-25,closed,16630.280345861287,-2364.339453337924,-0.14217075143452576,5,2,10,regime_bear
15,2012-09-14,2012-09-25,closed,16710.662089344693,-2375.7673862105735,-0.14217075143452554,5,2,7,regime_bear
16,2012-09-19,2012-12-14,closed,16505.747962119465,-496.57785337921746,-0.030085146975396625,23,47,59,regime_bear
17,2012-12-11,2013-02-25,closed,14832.799050116651,3017.815842288984,0.20345558731649174,20,31,50,basket_tp
