date,close,ref_close,vol,bull,halted,exposure_cap,size_mult,cash,invested,equity,n_active,exposure
2011-01-03,0.775145,15.796691,0.01614938127874639,True,False,1.0,1.0,100000.0,0.0,100000.0,0,0.0
2011-01-04,0.777724,15.836175,0.01609667282905757,True,False,1.0,1.0,100000.0,0.0,100000.0,1,0.0
2011-01-05,0.785307,15.886958,0.01618732106451381,True,False,1.0,1.0,100000.0,0.0,100000.0,1,0.0
2011-01-06,0.828833,16.171862,0.019229796799962773,True,False,1.0,1.0,100000.0,0.0,100000.0,1,0.0
2011-01-07,0.834293,16.216995,0.01922345009968646,True,False,1.0,1.0,100000.0,0.0,100000.0,2,0.0
2011-01-10,0.860531,16.391886,0.02020757565409567,True,False,1.0,1.0,100000.0,0.0,100000.0,2,0.0
2011-01-11,0.870086,16.4342,0.019480274277800805,True,False,1.0,1.0,100000.0,0.0,100000.0,2,0.0
2011-01-12,0.91892,16.755775,0.020817273012683435,True,False,1.0,1.0,100000.0,0.0,100000.0,3,0.0
2011-01-13,0.918618,16.767063,0.018587692654864676,True,False,1.0,1.0,81237.00991674827,18744.2458374143,99981.25575416257,3,0.18747759963630892
2011-01-14,0.993691,17.212742,0.023873485621973656,True,False,1.0,1.0,101492.8315989226,0.0,101492.8315989226,3,0.0
2011-01-18,0.982012,17.164797,0.02454390564008679,True,False,1.0,1.0,76651.39346750872,24816.621509903962,101468.01497741268,4,0.24457580564110054
2011-01-19,0.913613,16.750128,0.030713639214868513,True,False,1.0,1.0,53226.01915910709,46490.069047233956,99716.08820634105,4,0.4662243564050841
2011-01-20,0.880399,16.578058,0.03232117588946883,True,False,1.0,1.0,28924.24883592156,69077.43580305338,98001.68463897494,4,0.70485967723438
2011-01-21,0.865232,16.459587,0.03276174849812735,True,False,1.0,1.0,4130.44281279091,92656.4470522026,96786.8898649935,4,0.9573243564438076
2011-01-24,0.927717,16.840397,0.03547850515819671,True,False,1.0,1.0,66143.26651817211,37272.97698305765,103416.24350122976,4,0.3604170459219438
2011-01-25,0.908305,16.721924,0.036136881006833745,True,False,1.0,1.0,41422.948274561444,61188.681774369594,102611.63004893104,4,0.5963133198955262
2011-01-26,0.93348,16.857327,0.03598260892837157,True,False,1.0,1.0,47705.12136092294,56596.15393118466,104301.2752921076,4,0.542621878521434
2011-01-27,0.985045,17.187361,0.03718275769604598,True,False,1.0,1.0,95662.78700674154,11716.827771375843,107379.61477811738,4,0.10911594156476324
2011-01-28,0.905271,16.716282,0.04315354642572563,True,False,1.0,1.0,72448.92618596074,33958.60907059951,106407.53525656025,4,0.31913725835977286
2011-01-31,0.915585,16.781164,0.04306482824120496,True,False,1.0,1.0,75880.04251386905,30910.957909083976,106791.00042295302,4,0.28945283578821274
2011-02-01,0.981861,17.198643,0.045082256361262785,True,False,1.0,1.0,101806.37432343488,7196.210086095643,109002.58440953052,4,0.06601871070376612
2011-02-02,0.998543,17.288914,0.045049500563705526,True,False,1.0,1.0,102537.48997858282,6586.627523855395,109124.11750243821,4,0.060359045045273584
2011-02-03,0.999605,17.303017,0.04511906929812056,True,False,1.0,1.0,103196.19388819688,5934.269455982491,109130.46334417937,4,0.05437775369162312
2011-02-04,1.058753,17.666904,0.0452987480356503,True,False,1.0,1.0,109475.3168054897,0.0,109475.3168054897,4,0.0
2011-02-07,1.047834,17.596378,0.045567839649183275,True,False,1.0,1.0,109475.3168054897,0.0,109475.3168054897,4,0.0
2011-02-08,1.045407,17.596378,0.04542304892455806,True,False,1.0,1.0,109475.3168054897,0.0,109475.3168054897,4,0.0
2011-02-09,1.025539,17.472263,0.04587780226119633,True,False,1.0,1.0,84874.35890839022,24576.381515583897,109450.74042397412,4,0.22454285298010354
2011-02-10,1.034336,17.494827,0.04456387690207773,True,False,1.0,1.0,87350.5997841786,22308.476358454125,109659.07614263272,4,0.20343483770953588
2011-02-11,1.057996,17.635876,0.044689838040661276,True,False,1.0,1.0,89630.19524199748,20536.896016386483,110167.09125838397,4,0.1864158868297576
2011-02-14,1.08211,17.779734,0.041623458162105095,True,False,1.0,1.0,110614.166228413,0.0,110614.166228413,4,0.0
2011-02-15,1.05117,17.599203,0.042147115967496235,True,False,1.0,1.0,86047.9267345766,24541.69779604034,110589.62453061694,4,0.2219168199567033
2011-02-16,1.084385,17.782553,0.038573242085960024,True,False,1.0,1.0,88577.11195824116,22785.45246544639,111362.56442368755,4,0.20460603240741979
2011-02-17,1.132158,18.050541,0.03774067864471161,True,False,1.0,1.0,112342.59705816646,0.0,112342.59705816646,4,0.0
2011-02-18,1.119114,18.00823,0.03752041318476394,True,False,1.0,1.0,87370.83794091277,24946.812304948722,112317.65024586149,4,0.22210945697617926
2011-02-22,0.985804,17.303017,0.0465088855184709,True,False,1.0,1.0,65117.7754296373,44205.95428325169,109323.72971288899,4,0.4043582706092026
2011-02-23,0.932874,16.970152,0.048038209393687276,True,False,1.0,1.0,41934.171230447384,64992.882451193625,106927.053681641,4,0.6078244954237683
2011-02-24,0.978979,17.235312,0.04885411149396921,True,False,1.0,1.0,73028.6368489511,37079.40439439504,110108.04124334613,4,0.33675473630892294
2011-02-25,1.052991,17.681013,0.05008362889561789,True,False,1.0,1.0,97049.53379664062,15837.710458079431,112887.24425472005,4,0.14029672318285175
2011-02-28,1.021141,17.511755,0.04643457706737865,True,False,1.0,1.0,74968.12835980044,37418.010594884494,112386.13895468492,4,0.33294150811579853
2011-03-01,0.960173,17.170437,0.04879661122181039,True,False,1.0,1.0,51896.70854283702,58232.31126080494,110129.01980364196,4,0.528764456131836
2011-03-02,1.001122,17.387642,0.047125415376801004,True,False,1.0,1.0,57962.21447417706,54644.19757963993,112606.41205381698,4,0.4852671937857705
2011-03-03,1.059208,17.723314,0.048632545174777504,True,False,1.0,1.0,86598.1022212985,29150.150833599135,115748.25305489764,4,0.25184095711382926
2011-03-04,1.025842,17.576641,0.0492582318162803,True,False,1.0,1.0,63895.070722692835,50912.24614017068,114807.31686286352,4,0.44345820049940704
2011-03-07,0.940912,17.094275,0.051094370597920886,True,False,1.0,1.0,42664.502989282795,67906.55281651847,110571.05580580127,4,0.6141440209794546
2011-03-08,0.945917,17.111198,0.05114241268301672,True,False,1.0,1.0,49484.453075775695,61440.99177020639,110925.44484598209,4,0.5538944816089407
2011-03-09,0.861592,16.580883,0.054802160619194386,True,False,1.0,1.0,29167.75270024643,76260.15869980096,105427.9114000474,4,0.7233393670337538
2011-03-10,0.796378,16.160578,0.05692140848796895,True,False,1.0,1.0,9910.62785174359,89725.90526374245,99636.53311548603,4,0.9005321889285686
2011-03-11,0.817611,16.343931,0.05740618871368289,True,False,1.0,1.0,19113.233428676293,82906.35654894327,102019.58997761956,4,0.8126513404644222
2011-03-14,0.814274,16.307259,0.05687267950900462,True,False,1.0,1.0,19113.233428676293,82567.98229541216,101681.21572408846,4,0.8120278825093912
2011-03-15,0.784699,16.092867,0.0564662981793555,True,False,1.0,1.0,409.9404258021077,98253.66394485664,98663.60437065875,4,0.9958450694314588
2011-03-16,0.734045,15.754377,0.057541013344732515,True,False,1.0,1.0,409.9404258021077,91911.17963754547,92321.12006334758,4,0.9955596246501253
2011-03-17,0.760889,15.943367,0.05776638533686406,True,False,1.0,1.0,9927.65001549608,85745.13143868442,95672.7814541805,4,0.8962332874136139
2011-03-18,0.768472,16.011068,0.05638711758036296,True,False,1.0,1.0,18578.956568002654,77939.6986712304,96518.65523923306,4,0.8075091647106719
2011-03-21,0.808208,16.298794,0.05850250675453857,True,False,1.0,1.0,26767.738526967212,73772.81044112213,100540.54896808934,4,0.7337617627743106
2011-03-22,0.789249,16.143654,0.05247995206572373,True,False,1.0,1.0,7691.404714409432,91099.51921098316,98790.92392539259,4,0.9221446221090307
2011-03-23,0.810634,16.298794,0.05205465228396419,True,False,1.0,1.0,17038.83743696214,84211.10560858298,101249.94304554512,4,0.8317150911453097
2011-03-24,0.870389,16.696541,0.05356291701405033,True,False,1.0,1.0,70954.7325742813,36448.770287524385,107403.50286180568,4,0.339362956666529
2011-03-25,0.863109,16.662359,0.050254044335021245,True,False,1.0,1.0,70954.7325742813,36143.90999207812,107098.64256635943,4,0.33748242859084776
2011-03-28,0.867204,16.665165,0.050107779370072686,True,False,1.0,1.0,74582.64042571715,32683.85451743998,107266.49494315713,4,0.30469770206213853
2011-03-29,0.891015,16.831858,0.049045835503332434,True,False,1.0,1.0,77937.40848815966,30223.135697680256,108160.54418583991,4,0.27942847297209683
2011-03-30,0.893896,16.851635,0.047907992482032556,True,False,1.0,1.0,80966.46229393242,27288.77302497964,108255.23531891206,4,0.25207809067699033
2011-03-31,0.871147,16.69343,0.04578166860969322,True,False,1.0,1.0,70213.01968809347,37323.72265693314,107536.7423450266,3,0.34707879226229227
2011-04-01,0.840663,16.509794,0.045881016415935394,True,False,1.0,1.0,45822.82176800449,60383.48773044179,106206.30949844628,4,0.5685489686592033
2011-04-04,0.818975,16.362888,0.04244471329496572,True,False,1.0,1.0,21177.756722844584,83446.11774668159,104623.87446952617,4,0.7975819875700261
2011-04-05,0.872361,16.730154,0.04520411508289862,True,False,1.0,1.0,72402.46321068566,37609.68403185645,110012.14724254211,3,0.34186846611528227
2011-04-06,0.91513,16.987238,0.041385930167921074,True,False,1.0,1.0,106334.03803363202,5488.023182140872,111822.06121577289,4,0.049078179408186116
