id,opened,closed,status,budget,pnl,ret,n_buys,n_sells,hold_days,reason
1,2011-01-03,2011-03-31,closed,25000.0,1602.1833185366427,0.0640873327414657,21,41,61,time_soft
2,2011-01-06,2011-04-05,closed,25000.0,2002.6708475338,0.080106833901352,24,41,61,time_soft
3,2011-01-11,2011-04-08,closed,25000.0,2347.340015382578,0.09389360061530311,25,47,61,time_soft
4,2011-01-14,2011-04-13,closed,25000.000000000015,1031.473770504405,0.04125895082017617,27,46,61,time_soft
5,2011-03-31,2011-07-05,closed,26519.468057958147,74.55645868181341,0.0028113859040788712,29,53,65,time_soft
6,2011-04-05,2011-06-16,closed,26930.49688334032,-2766.718474790151,-0.10273551530724603,23,35,50,regime_bear
7,2011-04-08,2011-06-16,closed,27080.84626635372,-2443.6557286298084,-0.09023557478947399,21,31,47,regime_bear
8,2011-04-13,2011-06-16,closed,26336.485993931114,-2757.30757657959,-0.10469534839290916,19,26,44,regime_bear
9,2011-07-14,2011-11-04,closed,24772.63565765991,129.36372503910962,0.005222041240456756,27,55,80,time_soft
10,2011-11-04,2012-02-02,closed,24804.976588919682,1801.440571687217,0.07262415931857463,20,45,60,time_soft
11,2012-01-18,2012-04-16,closed,25156.994606845634,1667.8994016691618,0.06629962870108891,21,46,61,time_soft
12,2012-01-23,2012-04-19,closed,25155.978974909714,1547.1064506323496,0.06150054633832441,21,45,61,time_soft
13,2012-01-26,2012-04-26,closed,24101.9561850037,1789.974578692008,0.07426677589787234,24,46,63,time_soft
14,2012-02-02,2012-05-01,closed,25544.36546959909,1651.3148278433969,0.06464497346033758,24,47,61,time_soft
15,2012-04-16,2012-05-18,closed,26691.358235319363,-6456.966392030263,-0.24191224497096128,11,10,24,regime_bear
16,2012-04-19,2012-05-18,closed,26650.44673475466,-5569.29871299528,-0.2089758107406281,10,8,21,regime_bear
17,2012-04-26,2012-05-18,closed,27140.156918686494,-6215.338008071279,-0.22900891939176315,7,4,16,regime_bear
18,2012-05-01,2012-09-07,closed,27195.68029744248,38.132165296163976,0.001402140519343801,39,73,90,time_soft
19,2012-08-07,2013-01-11,closed,21986.53099226625,27.848474429386556,0.0012666152036072559,46,83,107,time_soft
20,2012-08-10,2012-09-26,closed,21991.364153653474,-1860.516789153976,-0.08460215456187989,18,21,32,regime_bear
21,2012-08-15,2012-09-26,closed,18262.463629744,-1823.9709118121732,-0.09987540283674975,16,18,29,regime_bear
22,2012-09-07,2012-09-26,closed,23158.739547227404,-2537.394320066892,-0.10956530319331098,7,5,13,regime_bear
23,2013-01-02,2013-04-02,closed,20695.465443945024,2378.9191064315164,0.11494880909419357,19,32,61,time_soft
24,2013-01-07,2013-04-05,closed,20668.351964957845,1953.3894110145602,0.09451113539804402,19,31,61,time_soft
25,2013-01-10,2013-04-10,closed,19901.940816200236,2726.2313482651716,0.13698319040553128,20,33,61,time_soft
26,2013-01-15,2013-04-15,closed,20975.414245665965,1717.1765156690885,0.08186615508792153,20,33,61,time_soft
27,2013-04-02,2013-06-27,closed,22872.3974248655,2758.5276795421064,0.12060509566623744,21,39,61,time_soft
28,2013-04-05,2013-07-02,closed,22777.158231015448,2536.3021827961347,0.11135288068300264,19,40,61,time_soft
