id,opened,closed,status,budget,pnl,ret,n_buys,n_sells,hold_days,reason
1,1999-10-18,2000-01-13,closed,25002.57142857143,3444.7434021437275,0.1377755648847895,12,16,61,time_soft
2,1999-10-21,2000-01-18,closed,25113.222299552024,3446.807175988327,0.13725069347432217,12,18,60,time_soft
3,1999-10-26,2000-01-21,closed,25114.622301340933,3510.796096213664,0.13979091758135712,12,18,60,time_soft
4,1999-10-29,2000-01-27,closed,24870.8605515182,3032.308169830506,0.12192212503259779,13,19,61,time_soft
5,2000-01-13,2000-04-11,closed,28437.04201983773,1166.4072521120129,0.041017179328930384,21,36,61,time_soft
6,2000-01-19,2000-04-17,closed,28560.212626649776,-1817.6589296587795,-0.06364304612924018,25,36,62,regime_bear
7,2000-01-24,2000-04-17,closed,28567.024596433494,-1930.922785265887,-0.06759271616642067,24,33,59,regime_bear
8,2000-01-27,2000-04-17,closed,28452.42449954845,-2238.2860220988814,-0.07866767284223541,22,29,56,regime_bear
9,2000-04-11,2000-07-10,closed,29721.93783771775,2890.080145765594,0.09723727172654345,22,48,61,time_soft
10,2000-05-15,2000-05-19,closed,27705.22248473409,-608.1759427495766,-0.02195167149748351,2,1,4,regime_bear
11,2000-06-16,2000-07-28,closed,27819.43288749528,-1578.6698819968055,-0.056747018833241965,13,17,29,regime_bear
12,2000-06-21,2000-09-20,closed,27962.847375699963,342.2631543700322,0.012239924989450927,24,51,63,time_soft
13,2000-06-26,2000-07-28,closed,24366.737317163905,-1602.658714501348,-0.06577239675713321,11,10,23,regime_bear
14,2000-07-10,2000-07-28,closed,28756.3827594057,-2815.3681881960515,-0.09790411442743767,7,5,14,regime_bear
15,2000-08-24,2000-09-11,closed,26961.989794989826,-503.9807825155343,-0.01869226961168815,4,6,11,regime_bear
16,2000-08-29,2000-09-11,closed,27004.559203109413,-640.852298752201,-0.023731263077917994,3,3,8,regime_bear
17,2000-09-01,2000-09-11,closed,25332.45353964319,-601.1711193584072,-0.023731263077917984,3,3,5,regime_bear
18,2000-10-06,2001-01-04,closed,26526.044557639238,1101.5060407241876,0.041525453911181225,7,27,61,time_soft
19,2001-01-04,2001-06-28,closed,26968.93987163379,-2936.272355002584,-0.10887607629289818,31,66,121,time_hard
20,2001-06-28,2001-12-21,closed,26558.70565508295,-3328.9971869371716,-0.1253448579223231,44,85,119,regime_bear
21,2001-12-04,2001-12-21,closed,26088.214001226017,-352.8727038236699,-0.013526134974478767,5,7,13,regime_bear
