combo,cagr,mdd,rec,uw,worst_year,calmar,ulcer,is_calmar,oos_cagr,oos_mdd,y2022,gold_bear_1315,max_corr
basket 100,0.17763336952899822,-0.27796048226045245,401,896,-0.10408414698109547,0.6390597975814185,0.09775294459076607,0.4675876707047707,0.24298458359073694,-0.23075867153066343,-0.09421641539774817,0.16765783318510574,
basket 70 + GLD 30,0.16303383420470907,-0.18925107672600083,373,826,-0.06011223894347262,0.8614684630870064,0.0647722121681002,0.6498878041192787,0.2178796631039932,-0.14839103074909699,-0.06421918471867194,0.07978407930590148,0.05131796061624783
basket 70 + TLT 30,0.13797555903345526,-0.17573662122835243,213,762,-0.15149951838824283,0.7851269591337461,0.06161986871062329,0.7505741890531081,0.16662352071208808,-0.17573662122835243,-0.15245621897264494,0.13428890993962161,-0.14440483745584695
basket 70 + IEF 30,0.1370403833707341,-0.16766285834798855,347,771,-0.10326081503556495,0.8173568357417793,0.06086836514725422,0.6489108168677047,0.17469831381950973,-0.14643012439745007,-0.1087976094929245,0.12584220667343704,-0.14645515058019828
basket 70 + SHY 30,0.1328882535806637,-0.19869884180839037,389,812,-0.07210833420195362,0.6687922907412351,0.06727318293724624,0.5002625943621162,0.17835012359315572,-0.16089310287162517,-0.07741940557273441,0.1210231426319841,-0.11374845308571653
basket 70 + bearTLT 30,0.13637395925761164,-0.17311737669997984,205,778,-0.1457337392548358,0.7877543078414007,0.06404433355096624,0.6404413724298151,0.1710911988689119,-0.17311737669997984,-0.15337178455477418,0.12803667665527851,-0.03797204878324271
basket 60 + GLD 20 + TLT 20,0.14130653953774308,-0.15553124446180844,373,489,-0.1135526507476321,0.9085411746476554,0.053306651282991904,0.7443092924249773,0.17529754481736703,-0.15044181454815164,-0.11301230696890174,0.08580492556071695,0.15849250429364994
basket 60 + GLD 25 + IEF 15,0.14474920661100943,-0.16561943800163414,373,526,-0.07420208583049603,0.8739868239957511,0.05420357953598084,0.6828328601231669,0.18760495959802226,-0.1197609517777043,-0.07648880056354768,0.07268249871524346,0.20994561245240914
basket 50 + GLD 25 + TLT 25,0.13118727613916747,-0.16380565900219624,161,510,-0.12129942282940598,0.8008714530272032,0.04865480356556431,0.7525505429477579,0.1577054544844536,-0.16380565900219624,-0.11779072608614505,0.06391873062926456,0.15849250429364983
basket 60 + GLD 30 + TLT 10,0.14948353689670868,-0.17358592001798945,374,529,-0.0830902242660424,0.8611501260080141,0.055818189458532355,0.6795557961986082,0.19211577266663893,-0.1260801788361947,-0.08352781811487853,0.06769508864930396,0.15849250429364978
