combo,period,cagr,mdd,rec,worst_year,calmar
basket,2005~2026,0.17763336952899822,-0.27796048226045245,401.0,-0.10408414698109547,0.6390597975814185
basket,IS 2005~2017,0.1299708944481397,-0.27796048226045245,401.0,-0.10408414698109547,0.4675876707047707
basket,OOS 2018~,0.24298458359073694,-0.23075867153066343,150.0,-0.08256556242053836,1.0529813765132936
basket,gold bear 2012~2015,0.09551381731206732,-0.24891051130463537,368.0,-0.10508488483501344,0.38372753650074
basket,2022,-0.09527102179414693,-0.10832805710706339,,-0.09421641539774817,-0.8794676498258261
gld,2005~2026,0.11037025920763033,-0.45555012634595726,1686.0,-0.28329835740529885,0.24227906617637973
gld,IS 2005~2017,0.08683578987686791,-0.45555012634595726,,-0.28329835740529885,0.19061742024613648
gld,OOS 2018~,0.14311090576566587,-0.26404517964160346,,-0.04148908924933192,0.5419940101156728
gld,gold bear 2012~2015,-0.10204976787892872,-0.42111629847867926,,-0.28329835740529885,-0.24233155602761694
gld,2022,0.007874294237773638,-0.21032844264864614,,0.00778231440881072,0.03743808558944001
70/30,2005~2026,0.16303383420470907,-0.18925107672600083,373.0,-0.06011223894347262,0.8614684630870064
70/30,IS 2005~2017,0.1229919666806698,-0.18925107672600083,373.0,-0.053061550422702,0.6498878041192787
70/30,OOS 2018~,0.2178796631039932,-0.14839103074909699,192.0,-0.06011223894347262,1.4682805423219225
70/30,gold bear 2012~2015,0.04527104247007263,-0.18538150828210975,468.0,-0.06107978768029876,0.2442047369750606
70/30,2022,-0.06495012887249507,-0.10344212093622074,,-0.06421918471867194,-0.6278886036428173
80/20,2005~2026,0.16835719328046883,-0.21708030704809012,457.0,-0.07006908260883338,0.7755525849849311
80/20,IS 2005~2017,0.1257829507163628,-0.21708030704809012,457.0,-0.07006908260883338,0.5794304993704377
80/20,OOS 2018~,0.22667641318019238,-0.16879703961085402,128.0,-0.06759668010249431,1.3428932977899015
80/20,gold bear 2012~2015,0.06270568975820145,-0.20583138222098785,402.0,-0.07567601581659633,0.3046459149308846
80/20,2022,-0.0751150749929993,-0.10497733734077286,,-0.07427434479966488,-0.7155361042275631
60/40,2005~2026,0.15722642162210376,-0.19046208454524205,384.0,-0.052627797784452035,0.8254998468461919
60/40,IS 2005~2017,0.11969873776080076,-0.19046208454524205,384.0,-0.05108008471355452,0.6284649149283448
60/40,OOS 2018~,0.20864203426648986,-0.1316749123193276,150.0,-0.052627797784452035,1.5845238139252198
60/40,gold bear 2012~2015,0.027087631774279197,-0.16997550104334136,511.0,-0.05108008471355452,0.15936197633194346
60/40,2022,-0.054726550782771,-0.10459419688809934,,-0.054107308778292174,-0.5232274104204891
