구성,파킹,CAGR,MDD,회복일,최악연도,Calmar,OOS_CAGR,OOS_MDD,저금리_2010_21_CAGR,고금리_2023_CAGR
바스켓 단독,파킹 없음,0.1650837177789921,-0.277960482260452,401,-0.10408414698109647,0.593910747443253,0.2220493644960111,-0.24182769657274916,0.17434102643905813,0.34581296264198125
바스켓 70 + GLD 30,파킹 없음,0.15441895507058034,-0.1910028639986513,388,-0.06919125968916118,0.8084640818352897,0.20339931179842163,-0.155280305260438,0.1390737264784323,0.3262278281284454
바스켓 단독,RP 2% (현금 100%),0.18452451332833641,-0.2648364547214829,374,-0.08867139315797812,0.6967489182046064,0.24262542000485765,-0.22685069819336656,0.19346722689137685,0.36839788136299934
바스켓 70 + GLD 30,RP 2% (현금 100%),0.16802088939783388,-0.19004842815681144,379,-0.0569703088812239,0.8840951278965468,0.21775973608320798,-0.14590300213041008,0.1524539610207878,0.3419130882869612
바스켓 단독,RP 3% (현금 100%),0.19436226630239095,-0.25815617413265923,359,-0.08086165936069045,0.7528863756809226,0.2530367306498633,-0.22458494709317434,0.20314408704376619,0.3798061344313106
바스켓 70 + GLD 30,RP 3% (현금 100%),0.17490354637625405,-0.18956986430038836,379,-0.050732212326638715,0.9226337056353304,0.22502549628867574,-0.1411749072550944,0.15922336518283808,0.3498351370522894
바스켓 단독,T-bill 실적 × 80% (기본),0.17763336952899822,-0.27796048226045245,401,-0.10408414698109547,0.6390597975814185,0.24298458359073694,-0.23075867153066343,0.1774050856540812,0.3856492298077365
바스켓 70 + GLD 30,T-bill 실적 × 80% (기본),0.16303383420470907,-0.18925107672600083,373,-0.06011223894347262,0.8614684630870064,0.2178796631039932,-0.14839103074909699,0.14116956321229734,0.3539229598657354
바스켓 단독,T-bill 실적 × 100%,0.18078972436643004,-0.27796048226045134,401,-0.10408414698109492,0.6504152061336134,0.2482700859777811,-0.22796595925723906,0.1781726091426521,0.3957798138487736
바스켓 70 + GLD 30,T-bill 실적 × 100%,0.16520587456866775,-0.1888106832717351,373,-0.057822122478329185,0.8749816043560656,0.22154026055236842,-0.14665589065849294,0.14169527853290353,0.3609652005070043
