date,basket,trend,portfolio
2002-05-22,60002.76190476191,40001.84126984127,100000.0
2002-05-23,60005.52393665911,40003.68262443941,100004.60317460318
2002-05-24,60008.28609569747,40005.524063798315,100009.20656109852
2002-05-28,60011.04838188283,40007.365587921886,100013.81015949577
2002-05-29,60013.81079522104,40009.20719681403,100018.41396980471
2002-05-30,60016.57333571796,40011.04889047865,100023.01799203508
2002-05-31,60019.336003379445,40012.89066891964,100027.6222261966
2002-06-03,60022.098798211344,40014.73253214091,100032.22667229909
2002-06-04,60024.86172021952,40016.57448014636,100036.83133035226
2002-06-05,60027.62476940981,40018.41651293989,100041.43620036588
2002-06-06,60030.38794578809,40020.25863052541,100046.0412823497
2002-06-07,60033.1512493602,40022.10083290681,100050.64657631349
2002-06-10,60035.914680131995,40023.94312008801,100055.252082267
2002-06-11,60038.08686664209,40025.78549207291,100059.26645597335
2002-06-12,60092.3440705703,40027.6279488654,100115.36353444759
2002-06-13,60094.30033017443,40029.4704904694,100119.16216079833
2002-06-14,60092.17486645485,40031.31311688881,100118.87933651704
2002-06-17,60210.564408499195,40033.15582812752,100239.10605555431
2002-06-18,60212.607071291764,40034.99862418945,100242.99133556259
2002-06-19,60074.73857689326,40036.841505078504,100106.97198326142
2002-06-20,59926.32557002993,40038.68447079858,99960.40868868252
2002-06-21,59803.50233872625,40040.527521353586,99839.43407660647
2002-06-24,59996.358990392204,40042.37065674743,100034.12490170766
2002-06-25,59762.17671794321,40044.21387698401,99801.79654397522
2002-06-26,59750.13161790985,40046.057182067234,99791.59521860989
2002-06-27,59921.22453341041,40047.90057200101,99964.52356385055
2002-06-28,59864.29234834653,40049.744046789245,99909.43738928769
2002-07-01,59709.319389718024,40051.587606435845,99756.31503879494
2002-07-02,59602.28802958715,40053.43125094471,99651.13216492427
2002-07-03,59697.196950182435,40055.27498031976,99747.88036140619
2002-07-05,59919.764288123064,40057.118794564885,99972.28118403026
2002-07-08,59809.96927305203,40058.962693684,99864.33503702797
2002-07-09,59717.34840616518,40060.80667768101,99773.56233256421
2002-07-10,59646.86006851608,40062.65074655982,99704.921223464
2002-07-11,59757.90966456715,40064.494900324346,99817.80977682238
2002-07-12,59804.17778515237,40066.33913897849,99865.9199214678
2002-07-15,59812.20588436784,40068.183462526154,99875.79188980698
2002-07-16,59854.576127089465,40070.02787097126,99920.0045057898
2002-07-17,59865.59074791778,40071.8723643177,99932.86302806431
2002-07-18,59830.422432888874,40073.716942569394,99899.54082516629
2002-07-19,59788.78222503692,40075.56160573024,99859.74711224929
2002-07-22,59759.010727878296,40077.40635380415,99831.82164862241
2002-07-23,59692.36766227571,40079.25118679504,99767.0263986492
2002-07-24,59742.649705495445,40081.09610470681,99819.15096039613
2002-07-25,59637.19452151339,40082.941107543375,99715.54554838865
2002-07-26,59621.10039813949,40084.78619530864,99701.2971686578
2002-07-29,59676.86321657755,40086.63136800652,99758.90250811941
2002-07-30,59702.129335926234,40088.47662564092,99786.01263717593
2002-07-31,59664.90007291611,40090.32196821575,99750.6303454493
2002-08-01,59629.65678193442,40092.16739573492,99717.23401927798
2002-08-02,59608.70012540163,40094.01290820234,99698.12375489147
2002-08-05,59582.916772130404,40095.85850562192,99674.1871008858
2002-08-06,59610.62157720193,40097.70418799758,99703.73622813507
2002-08-07,59622.71005306459,40099.54995533322,99717.66982994534
2002-08-08,59641.210325068336,40101.39580763275,99738.0150177241
2002-08-09,59641.6991320308,40103.241744900086,99740.34965448649
2002-08-12,59634.367115627574,40105.087767139135,99734.8639128406
2002-08-13,59623.09724767549,40106.93387435381,99725.44058587539
2002-08-14,59646.98990656915,40108.780066548024,99751.17825221355
2002-08-15,59657.39133767161,40110.62634372569,99763.42539673623
2002-08-16,59682.0326219766,40112.47270589072,99789.91182398977
2002-08-19,59702.47222596867,40114.31915304703,99812.1968493195
2002-08-20,59688.706669447885,40116.16568519852,99800.27837357845
2002-08-21,59705.60707770374,40118.0123023491,99819.02453606631
2002-08-22,59710.25317422744,40119.8590045027,99825.51703588251
2002-08-23,59694.46360411444,40121.705791663226,99811.57489471114
2002-08-26,59697.503771059026,40123.55266383459,99816.46170887849
2002-08-27,59689.86476055635,40125.399621020704,99810.66992216799
2002-08-28,59682.201404316875,40127.24666322548,99804.85387585606
2002-08-29,59685.51739215516,40129.09379045283,99810.01675326543
2002-08-30,59686.493646779425,40130.94100270668,99812.84009018043
2002-09-03,59681.777918132626,40132.78829999093,99809.97179085072
2002-09-04,59685.22179780269,40134.6356823095,99815.26280928453
2002-09-05,59683.044255847366,40136.4831496663,99814.93274987923
2002-09-06,59691.75920162947,40138.33070206526,99825.49476187243
2002-09-09,59694.18464641931,40140.178339510276,99829.76764741889
2002-09-10,59699.36068166446,40142.02606200527,99836.7910818581
2002-09-11,59703.765331602095,40143.87386955416,99843.04325154633
2002-09-12,59700.36443801021,40145.72176216086,99841.4903220452
2002-09-13,59701.97485233513,40147.569739829276,99844.94855485005
2002-09-16,59701.43415756175,40149.41780256333,99846.25586263306
2002-09-17,59702.81405826005,40151.26595036694,99849.4837625491
2002-09-18,59704.47417738173,40153.11418324402,99852.99195305974
2002-09-19,59705.81897567465,40154.96250119848,99856.18492232918
2002-09-20,59707.77380497403,40156.810904234255,99859.98797960296
2002-09-23,59708.231664576735,40158.65939235524,99862.29422116633
2002-09-24,59711.126182434724,40160.50796556537,99867.03709391173
2002-09-25,59716.63747631803,40162.356623868545,99874.39670732236
2002-09-26,59718.49895289286,40164.20536726869,99878.10675651729
2002-09-27,59720.27982030905,40166.05419576972,99881.73628536097
2002-09-30,59721.871514712344,40167.903109375555,99885.17673500019
2002-10-01,59726.56516933312,40169.75210809011,99891.71908717963
2002-10-02,59728.62881558997,40171.60119191731,99895.63163716218
2002-10-03,59730.36169454332,40173.45036086107,99899.21352017896
2002-10-04,59731.486262295366,40175.2996149253,99902.18720511133
2002-10-07,59733.06027653611,40177.14895411392,99905.61040096503
2002-10-08,59735.56442324904,40178.99837843086,99909.96377160163
2002-10-09,59737.776393123604,40180.84788788002,99914.025063977
2002-10-10,59742.15871426242,40182.69748246534,99920.25669284837
2002-10-11,59746.9530863777,40184.54716219072,99926.90043886579
2002-10-14,59749.787209080336,40186.396927060094,99931.5841108402
2002-10-15,59754.880070521416,40188.24677707737,99938.52650272814
2002-10-16,59754.607742203814,40190.09671224648,99940.10403696299
2002-10-17,59758.759327246196,40191.94673257133,99946.10536607858
2002-10-18,59761.86419261003,40193.796838055845,99951.06010885147
2002-10-21,59765.8061495406,40195.64702870395,99956.85198981974
2002-10-22,59767.16417150152,40197.49730451956,99960.06013991951
2002-10-23,59771.18186528838,40199.34766550659,99965.92792458905
2002-10-24,59773.41150282451,40201.19811166897,99970.00782048283
2002-10-25,59776.96698472816,40203.04864301062,99975.41358489136
2002-10-28,59779.83840026258,40204.89925953546,99980.13539959725
2002-10-29,59782.061732692455,40206.749961247406,99984.2092462128
2002-10-30,59785.60359035732,40208.600748150384,99989.60164255924
2002-10-31,59788.30648518996,40210.451620248314,99994.15519988161
2002-11-01,59791.77865168289,40212.30257754512,99999.47807864995
2002-11-04,59795.354702669414,40214.153620044715,100004.90492232898
2002-11-05,59797.81048785317,40216.00474775104,100009.21163697346
2002-11-06,59800.9844684761,40217.855960668,100014.23659920556
