date,basket_soxl,gld,portfolio
2005-09-02,111077.35670699933,30002.85714285714,100000.0
2005-09-06,112857.4206490625,29972.884258598544,101091.8110389935
2005-09-07,112868.1689748386,30013.508451082944,101139.20486583459
2005-09-08,112878.91832426477,30196.30851564776,101328.76167058182
2005-09-09,112889.66869743851,30358.80122330153,101498.01369742476
2005-09-12,112895.29765539095,30392.652911579047,101535.40948318843
2005-09-13,113031.22556841218,30169.228654529823,101397.66711062191
2005-09-14,112949.11671857696,30440.046223033798,101616.71459465596
2005-09-15,112272.91890926912,30751.487306974865,101501.99194538612
2005-09-16,112672.28774491508,31022.307583668062,102024.46525600369
2005-09-19,111117.49920312692,31313.437925461545,101335.7534349391
2005-09-20,110076.63812151912,31299.896979331614,100666.27202858133
2005-09-21,107212.33173026855,31861.846920770986,99423.10707064431
2005-09-22,106028.1555630882,31387.91380622346,98202.961397609
2005-09-23,108422.08880896117,31333.74866760913,99657.43767004769
2005-09-26,109145.80702052932,31530.09306354041,100309.84439427068
2005-09-27,106870.89173654738,31313.437925461545,98659.57773655001
2005-09-28,106700.43812601996,31685.813266987294,98924.49920990354
2005-09-29,110562.37736811893,31888.926781888928,101561.35445641857
2005-09-30,113224.4517083638,31618.10989043226,102968.17983144545
2005-10-03,114071.06793611665,31428.53461347133,103312.15291201528
2005-10-04,113364.68779088497,31448.848063808142,102887.30970303377
2005-10-05,111646.11776683555,31387.91380622346,101743.3531202861
2005-10-06,109591.38979930343,31963.402662650846,101023.91518523383
2005-10-07,110688.61566585292,32064.961112719924,101816.92631901464
2005-10-10,105235.83583178832,32071.73023169028,98387.39958703432
2005-10-11,101430.24702438802,32085.27117782021,96002.68973166225
2005-10-12,100874.99111093843,31719.66495526481,95287.20079863956
2005-10-13,105196.13398547244,31834.764351463826,98125.43650891379
2005-10-14,104934.67364003557,31685.813266987294,97811.729535838
2005-10-17,105264.19057317801,31997.254350928364,98330.79971400481
2005-10-18,104053.25872383374,31821.223405333894,97391.66663896751
2005-10-19,104912.73845810934,31374.372183046227,97486.49474611967
2005-10-20,105266.24820070672,31130.635152707495,97465.55974235281
2005-10-21,106987.17240027794,31496.24069821559,98915.64218074929
2005-10-24,108346.35677654084,31408.223871323746,99684.18010256965
2005-10-25,107085.80882260292,31861.846920770986,99343.37341655708
2005-10-26,106997.95479576993,31773.83009387914,99200.00011524756
2005-10-27,104169.89873854669,31943.091920503255,97587.02908820719
2005-10-28,104014.94301403867,31970.174489810423,97516.45730643123
2005-10-31,107719.38918127758,31414.996375530627,99295.84234661511
2005-11-01,106505.79594755755,30961.37332608338,98077.4664208835
2005-11-02,112148.4388374738,31232.192925729276,101904.20551061581
2005-11-03,113152.44072116766,31117.093529530266,102421.83047372097
2005-11-04,113346.52952478989,30812.421564559547,102239.50062610005
2005-11-07,113390.0207638291,30988.455218343242,102442.92532317278
2005-11-08,113367.91525124368,31083.241841252744,102523.77221471192
2005-11-09,113926.74145390291,31523.323267522755,103315.97922496648
2005-11-10,114005.24271852334,31469.15880595573,103311.29074686332
2005-11-11,113988.02072780787,31685.813266987294,103517.071424876
2005-11-14,114072.0624779144,31563.94475181793,103448.17690711957
2005-11-15,113934.9669425449,31591.027321125093,103388.86046375605
2005-11-16,113906.70663581465,32349.319627353827,104129.27115499489
2005-11-17,114733.9072118047,32823.25341894866,105124.45454114601
2005-11-18,115916.1324547104,32809.71179577143,105855.942442412
2005-11-21,115906.52338526383,33168.54889935647,106208.68982092355
2005-11-22,116679.62712978096,33391.97315640569,106919.29616787804
2005-11-23,116690.73947522188,33276.87646839591,106811.21334545148
2005-11-25,116701.85287898143,33459.67653296073,107000.99957412534
2005-11-28,116692.78372937567,33676.33437922882,107211.92148777712
