date,basket_soxl,gld,tlt,portfolio
2005-09-02,95209.16289171368,20001.904761904763,22840.69141173762,100000.0
2005-09-06,96734.93198491068,19981.922839065697,22679.897507197322,100800.75060605946
2005-09-07,96744.1448355759,20009.0056340553,22466.25130910212,100646.5616109067
2005-09-08,96753.35856365548,20130.87234376518,22490.24769942199,100795.23509289375
2005-09-09,96762.57316923297,20239.200815534357,22562.26102114742,100972.41725611995
2005-09-12,96767.39799033506,20261.76860771937,22406.274066090828,100861.43656598913
2005-09-13,96883.90763006754,20112.819103019887,22523.874562764235,100888.89917449663
2005-09-14,96813.52861592306,20293.3641486892,22437.451284109535,100949.39993852968
2005-09-15,96233.93049365921,20500.991537983246,22252.644888738825,100629.92770961387
2005-09-16,96576.24663849859,20681.538389112047,22106.231581373293,100897.97815481109
2005-09-19,95243.57074553732,20875.62528364103,22154.233832901595,100294.23784190258
2005-09-20,94351.40410415921,20866.597986221077,22211.835777064472,99773.41362260298
2005-09-21,91896.28434023014,21241.231280513995,22418.258054917937,98781.56535547644
2005-09-22,90881.2761969327,20925.275870815643,22396.671058645257,97807.08835812246
2005-09-23,92933.21897910953,20889.165778406088,22228.626241830858,98916.95337017003
2005-09-26,93553.54887473938,21020.062042360278,22127.82946916781,99350.50306091006
2005-09-27,91603.62148846913,20875.62528364103,22159.035573396595,98004.57750672956
2005-09-28,91457.51839373136,21123.875511324866,22307.849277465197,98291.03695204243
2005-09-29,94767.75202981617,21259.284521259287,22207.039719102606,100424.24209027739
2005-09-30,97049.53003574033,21078.739926954844,22130.23933675943,101614.42293234187
2005-10-03,97775.20108809992,20952.35640898089,21957.22325054498,101793.86502296747
2005-10-04,97169.73239218703,20965.898709205434,22029.50554550524,101489.13740376962
2005-10-05,95696.67237157325,20925.275870815643,22125.905458158817,100604.61928818174
2005-10-06,93935.47697083143,21308.9351084339,22041.55251574121,99804.48972783846
2005-10-07,94875.95628501671,21376.640741813288,22130.718090175647,100542.94700520948
2005-10-10,90202.14499867563,21381.153487793523,22116.255569814923,97589.39961019234
2005-10-11,86940.21173518964,21390.180785213477,22070.460982407694,95502.68448372872
2005-10-12,86464.27809508999,21146.443303509877,21856.016388407705,94771.26673388209
2005-10-13,90168.11484469059,21223.17623430922,21776.487916617618,97112.48105860634
2005-10-14,89944.00597717328,21123.875511324866,21742.753085145905,96842.4190623074
2005-10-17,90226.44906272396,21331.50290061891,21737.924352618535,97223.7917116388
2005-10-18,89188.50747757172,21214.148936889265,21762.01876663491,96473.44481280523
2005-10-19,89925.2043926651,20916.248122030822,21771.657763456966,96648.27265772276
2005-10-20,90228.21274346283,20753.756768471667,21829.492217933755,96727.39164567817
2005-10-21,91703.2906288096,20997.4937988104,22031.91351891915,98077.93314161469
2005-10-24,92868.30580846351,20938.815914215833,21860.828546880108,98603.63627074727
2005-10-25,91787.83613365958,21241.231280513995,21672.88397258826,98060.55014015068
2005-10-26,91712.53268208844,21182.55339591943,21513.82987027465,97815.1496713201
2005-10-27,89288.48463303996,21295.394613668843,21590.94610675098,96467.89110730977
2005-10-28,89155.66544060451,21313.44965987362,21593.34318864306,96404.3418726434
2005-10-31,92330.90501252358,20943.330917020423,21634.30762288964,98071.13688909514
2005-11-01,91290.68224076356,20640.915550722257,21609.384506125116,97091.38739460238
2005-11-02,96127.2332892632,20821.461950486188,21507.71877943758,100230.84811402592
2005-11-03,96987.80633242935,20744.729019686845,21362.48743896312,100569.27930770972
2005-11-04,97154.16816410553,20541.614376373036,21328.612911885288,100441.36224988442
2005-11-07,97191.44636899626,20658.970145562165,21401.24752389962,100645.80031165262
2005-11-08,97172.4987867802,20722.16122750183,21609.384506125116,100879.29580650301
2005-11-09,97651.49267477382,21015.54884501517,21386.70781579721,101279.53089292851
2005-11-10,97718.77947301991,20979.43920397049,21648.112390040544,101514.72200413559
2005-11-11,97704.01776669236,21123.875511324866,21660.211923707968,101660.43657342532
2005-11-14,97776.05355249795,21042.62983454529,21498.04900222773,101482.60021246012
2005-11-15,97658.5430936098,21060.684880750065,21638.440718652986,101549.53068505367
2005-11-16,97634.3199735553,21566.213084902556,21865.944247330546,102238.95451359753
2005-11-17,98343.34903868963,21882.168945965775,21919.20331554869,103048.33958848969
2005-11-18,99356.68496118026,21873.141197180958,21817.555583549394,103588.90250180301
2005-11-21,99348.44861594035,22112.36593290432,21882.893823024577,103880.12612009364
2005-11-22,100011.1089683836,22261.3154376038,21911.93582921962,104472.0943846693
2005-11-23,100020.6338359044,22184.58431226394,21827.22157240382,104327.19469174572
2005-11-25,100030.15961055543,22306.451021973822,21907.09289035943,104524.99059885736
2005-11-28,100022.38605375052,22450.88958615255,22016.013317676494,104759.89059871489
2005-11-29,99773.74155721618,22477.9701243178,21807.86212911817,104448.01144904946
2005-11-30,100849.79897129195,22162.014263254576,21783.657852794615,104789.01385733545
2005-12-01,102150.62921374958,22644.974675222056,21749.617585167154,106061.89368090831
2005-12-02,102155.70673935002,22712.680308601444,21756.904486817748,106139.17331135298
2005-12-05,101976.16364324112,22920.30769789549,21659.681080404727,106148.50265094895
2005-12-06,102562.09383031908,22969.95783370523,21880.876050218936,106761.08125376918
2005-12-07,101837.50235437666,23164.04517959909,21798.235917995655,106426.15656875749
2005-12-08,100425.42749013906,23425.837707507464,21939.249398254236,105921.52233331454
2005-12-09,102395.79690805351,23651.520143006284,21766.657607846842,107237.76663911558
2005-12-12,103056.76278834016,23723.738071001037,21725.313864513824,107690.31090176626
2005-12-13,103136.69111914642,23312.996489758054,21805.517610657545,107400.20741050591
2005-12-14,102952.64614033978,22726.22035200163,22029.175011494834,106893.34476218229
2005-12-15,102650.86716102593,22676.572021651373,21975.69195676248,106606.69124874854
2005-12-16,102033.1540878182,22608.86638827199,22048.62490176614,106213.5768601308
2005-12-19,98672.55505747448,22667.54427286655,22070.498865961894,104173.58190019097
2005-12-20,99033.50361133157,22134.93372508933,22043.771071384115,103845.08509829004
2005-12-21,99510.03561863382,22283.88322978881,22004.86939666379,104260.26333064736
2005-12-22,101552.8804697557,22631.434180457,22179.90325568388,106048.42947349987
2005-12-23,101907.89776420032,22622.406883037045,22316.025022006237,106382.32423205298
2005-12-27,100787.76540894782,22857.11661595582,22498.35146521005,106070.76433194015
2005-12-28,100884.99037609725,23231.750361613605,22435.635714774442,106451.71693686665
2005-12-29,99671.45045034369,23231.750361613605,22484.429259041124,105729.6795593831
2005-12-30,98425.18565723194,23281.400948788218,22433.175651473506,104949.06079830615
2006-01-03,104510.70533529951,23976.501496029974,22403.898767242415,109441.67956139497
2006-01-04,105535.58225292056,24057.74717280955,22457.571239745772,110220.83242078568
2006-01-05,106465.24563969183,23624.437348016687,22430.73879184951,110399.83758272478
2006-01-06,106480.72534842293,24247.321321358304,22389.24114657755,110932.48685682709
2006-01-09,106496.20730785454,24644.521053741617,22403.898767242415,111314.20963818305
2006-01-10,106511.6915183139,24400.7853774975,22223.244882956584,110935.34068711725
2006-01-11,106527.17798012831,24612.92596413665,22186.61953629932,111102.23918730281
2006-01-12,106524.26009853088,24567.78992840176,22335.536473053122,111199.014655676
2006-01-13,106138.829231701,25023.66799674451,22464.909284194542,111484.48259453663
2006-01-17,104639.49911641041,24942.421868600064,22565.005211104868,110545.6634723713
2006-01-18,103341.04587085752,24405.298574842607,22557.67284918923,109223.83779709385
2006-01-19,108439.85336626763,25091.37317875903,22491.7417320908,113042.75475582258
2006-01-20,105584.45963603292,24915.341330434818,22550.336698918178,111112.08070445378
2006-01-23,106060.62521350798,25172.618855538603,22543.01191371338,111641.81712899619
2006-01-24,107109.78469505551,25154.564260698695,22433.175651473506,112193.99060132886
2006-01-25,107205.00512041192,25339.62340644286,22189.07296997827,112193.35652603193
2006-01-26,109019.84191981373,25222.269442713216,22093.882963336997,113159.5656065906
2006-01-27,109451.16962904323,25109.428224963805,22093.882963336997,113333.78168560471
2006-01-30,109439.85106851187,25583.36088814646,22071.90434582276,113733.25937579545
2006-01-31,108877.4634798278,25592.388636931282,22132.912968597175,113438.68336272106
2006-02-01,109737.36166400118,25592.388636931282,22057.228730469655,113918.0053643175
2006-02-02,108567.00312381561,25718.77034944575,22098.883118947124,113322.16188969811
2006-02-03,107291.85080007806,25502.115211366883,22255.636268887436,112457.6960580952
2006-02-06,108774.36229122759,25601.415934351237,22299.738408510726,113536.95289695366
2006-02-07,109036.60119356195,24644.521053741617,22194.41976010934,112743.47527791809
2006-02-08,110803.29564519034,24748.33677953056,22142.978155404002,113919.21790718162
2006-02-09,110777.6636569685,25357.678452647637,22243.40319569145,114546.14713611973
2006-02-10,110538.63129802093,24730.28173332578,22120.91429989281,113712.97157567006
2006-02-13,109488.83345222613,24247.321321358304,22123.383834082302,112608.23091757932
2006-02-14,110535.04057128305,24594.87272339136,22044.975768407716,113517.54103737202
2006-02-15,110803.56542338012,24265.3745621036,22098.883118947124,113442.70833061234
2006-02-16,111705.01218579742,24608.41276679155,22103.765835539227,114333.2680245027
2006-02-17,110897.93865641412,24807.012858665643,22280.156399344145,114161.02033146808
2006-02-21,109035.86533610345,24879.231238025262,22243.40319569145,113000.44396760751
2006-02-22,110353.04625864282,24978.53196100962,22395.271261317524,114074.75954743347
2006-02-23,108919.55237886745,24662.576099946396,22338.948360653365,112820.09844516487
2006-02-24,109281.23679361015,25113.94097094404,22304.641013968787,113426.33014449017
2006-02-27,109984.8218462724,24924.368627854772,22267.90722563762,113671.17938668723
2006-02-28,108974.53670511514,25308.028316837896,22378.138897474477,113473.8650791989
2006-03-01,116593.81324851545,25321.56836023808,22242.93864860806,118234.15209471039
2006-03-02,116636.75150863532,25610.443683136058,22088.08062346666,118377.1696344234
2006-03-03,116477.80972895386,25402.81448838253,21960.24730525909,117968.6828266622
2006-03-06,115844.38647780406,24928.881825199875,21768.474597815213,116956.72051830978
2006-03-07,112651.0917716672,24802.500112685408,21783.218877110306,114813.60147547406
2006-03-08,112012.9453103081,24360.162539107718,21775.855734806883,113999.64713242649
2006-03-09,109086.03794724225,24482.03150564195,21783.218877110306,112243.86372857096
2006-03-10,108226.63144845956,24296.971908532916,21702.099296043776,111451.29714446701
2006-03-13,107148.13701012828,24513.626595246915,21684.89305927003,110940.53942955569
2006-03-14,114252.68270847364,24766.390020275852,21829.940190962185,115849.41004646441
2006-03-15,116354.23036596735,24879.231238025262,21711.93339316997,117185.23632220237
2006-03-16,111878.0932100252,24978.53196100962,21908.59023783923,114595.0704602179
2006-03-17,111944.09320182531,24879.231238025262,21842.22061860092,114485.66933482102
2006-03-20,112271.59539013816,24901.799030210273,21876.649192658944,114747.75512522367
2006-03-21,112301.69203114149,24748.33677953056,21763.568677546165,114522.84823213573
2006-03-22,112330.24163510349,24712.226687121005,21810.277205698494,114552.26089853767
2006-03-23,113549.58370166126,24689.658894935994,21741.434263915275,115247.59882953705
2006-03-24,115015.53370403257,25145.536511913873,21901.218571736114,116745.97826558223
2006-03-27,114909.12763245864,25452.46462419227,21820.10419965828,116878.7246465306
2006-03-28,113385.15350954753,25303.51511949279,21616.064797364066,115578.53262072049
2006-03-29,117085.08079207537,25759.39318783554,21512.80559367794,118260.02395720132
2006-03-30,117454.63911343021,26449.980537732194,21362.853962350015,118978.76528291742
2006-03-31,117280.4327626174,26224.29810223337,21355.479928524757,118656.94527189476
2006-04-03,117887.71591044964,26391.304458597115,21362.38231210021,119202.49273390698
2006-04-04,118147.4909736338,26328.113828022313,21340.20291174871,119290.9657681252
2006-04-05,119582.15055801773,26477.06333272179,21369.801332646082,120370.79972425147
2006-04-06,119794.39346915793,26756.909101375462,21206.917676547164,120606.48319166756
2006-04-07,119646.88697090397,26445.467791751962,20999.66622240112,120037.41011537341
2006-04-10,118878.75062901282,26901.345408729838,21039.120049923928,119993.9007945129
2006-04-11,117755.68967507256,26635.040134841227,21113.169139143243,119104.59248420055
2006-04-12,119192.8821712798,26824.61428338998,20984.82960194266,120074.89674091374
2006-04-13,119851.34864278727,26856.209824359816,20836.78019858006,120386.12530940771
2006-04-17,118683.05388391513,27573.87996924607,20913.287930467035,120357.30093780189
2006-04-18,123001.47547655337,27916.916368474536,20950.287377222034,123463.98576566763
2006-04-19,123378.74285169475,28774.510526099803,20821.97672623153,124358.47602048775
2006-04-20,123396.68172922684,27515.202084651504,20804.701825515796,123218.43465958141
2006-04-21,123394.6580605074,28526.260298415968,20925.613344826386,124241.81171255207
2006-04-24,123269.3226373485,27826.645199734492,21009.50363433831,123609.36669570654
2006-04-25,123462.13917824365,28336.686149867215,20760.276255048513,123959.37050978927
2006-04-26,123217.06042424127,28729.37494172978,20725.74302767201,124124.30167245898
2006-04-27,124464.80212560228,28417.931826646793,20752.88422653501,124667.17597176442
2006-04-28,123527.97712208284,29379.33764777716,20767.690066605683,124948.4517128137
2006-05-01,122156.29473367082,29410.936799665964,20611.623556085262,123953.35483772567
2006-05-02,123857.30810210708,30038.33351898782,20666.118101714794,125658.24177253169
2006-05-03,125475.0798663366,29997.708875138545,20621.5116372762,126614.88046388156
2006-05-04,126447.34116040502,30458.102849015624,20586.85197353755,127619.55137625581
2006-05-05,126465.72620238962,30688.29667640007,20710.70988627613,127954.738233339
2006-05-08,126478.16423001146,30494.20978187108,20723.096387866633,127799.30233417307
2006-05-09,126325.33964742837,31451.104211115835,20710.70988627613,128552.64756350934
2006-05-10,124775.53416902864,31767.05826671957,20747.882176747175,127880.76450908234
2006-05-11,121490.70363725524,32060.44633559778,20646.287008179333,125948.68136489541
2006-05-12,120286.97734408734,32101.07097944705,20475.353570357096,125055.2644168338
2006-05-15,118506.39811454654,30426.507759410662,20557.121907289322,122482.87543715363
2006-05-16,117289.55355240371,30968.14425051322,20710.70988627613,122336.40458181051
2006-05-17,112487.03950687153,30760.516861219177,20581.887807303912,118956.17813170991
2006-05-18,107668.57431092986,30449.07374613619,20861.82643689574,115854.61028787181
2006-05-19,109220.82261711951,29600.50914275523,20916.33566240252,116133.65318309555
