id,opened,closed,status,budget,pnl,ret,n_buys,n_sells,hold_days,reason
1,1999-10-18,2000-01-13,closed,25000.0,2625.29901049193,0.1050119604196772,12,10,61,time_soft
2,1999-10-21,2000-01-18,closed,25077.69817796914,3571.3939054379553,0.14241314653732612,12,12,60,time_soft
3,1999-10-26,2000-01-21,closed,25073.332041065994,3308.1649852052137,0.13193958345013673,12,12,60,time_soft
4,1999-10-29,2000-01-27,closed,24848.969780964864,2929.3570890173637,0.11788646027737329,13,12,61,time_soft
5,2000-01-13,2000-04-11,closed,27577.493014155865,1119.5812016836026,0.04059764247275515,21,17,61,time_soft
6,2000-01-19,2000-04-17,closed,28137.349886700667,-2035.6323869813177,-0.07234627266526884,25,17,62,regime_bear
7,2000-01-24,2000-04-17,closed,28136.412140855402,-2328.279704866545,-0.08274970146196334,24,16,59,regime_bear
8,2000-01-27,2000-04-17,closed,28034.531868676335,-2872.669668022678,-0.10246897224748673,22,14,56,regime_bear
9,2000-04-11,2000-04-17,closed,28962.420092700588,-258.1516856821583,-0.008913332686145949,3,1,4,regime_bear
10,2000-05-16,2000-05-22,closed,26514.76568657085,-519.4131278659802,-0.019589580160953548,3,1,4,regime_bear
11,2000-06-19,2000-07-31,closed,26384.91240460435,-756.8584361821643,-0.028685273787381883,14,8,29,regime_bear
12,2000-06-22,2000-07-31,closed,26384.621666152212,-937.0171765435732,-0.035513762084587154,13,7,26,regime_bear
13,2000-06-27,2000-07-31,closed,26365.0634230971,-1290.0309511925,-0.04892955994417859,11,5,23,regime_bear
14,2000-06-30,2000-07-31,closed,26405.052124563743,-1465.194208102137,-0.05548916174034421,10,4,20,regime_bear
15,2000-08-25,2000-09-12,closed,25272.63721159926,-1365.5699252666311,-0.05403353491893921,4,1,11,regime_bear
16,2000-08-30,2000-09-12,closed,25272.63721159926,-1365.5699252666311,-0.05403353491893921,4,1,8,regime_bear
17,2000-09-05,2000-09-12,closed,25271.603154764263,-750.0584008518244,-0.02967988996417988,3,1,5,regime_bear
18,2000-09-08,2000-09-12,closed,25023.72072598136,-107.0500839918448,-0.004277944321872886,1,1,2,regime_bear
19,2001-12-05,2002-01-23,closed,24375.575127755023,-910.5438817550862,-0.03735476504586363,13,6,32,regime_bear
20,2001-12-10,2002-01-23,closed,24348.023720133027,-685.5717423672501,-0.0281571822932126,11,5,29,regime_bear
21,2001-12-13,2002-01-23,closed,24262.29388296296,-891.4547808484066,-0.036742394810178616,10,4,26,regime_bear
22,2001-12-18,2002-01-23,closed,24467.296499750722,-898.9870679315447,-0.03674239481017871,10,4,23,regime_bear
23,2003-01-14,2003-01-21,closed,23528.935759529457,-830.5570615713851,-0.035299389231193815,3,1,4,regime_bear
24,2003-03-17,2003-06-12,closed,23321.29649413661,3701.4056113559636,0.15871354374687371,17,17,61,time_soft
25,2003-03-20,2003-06-16,closed,23328.430752499484,3720.254576479944,0.15947298881564692,17,17,60,time_soft
26,2003-03-25,2003-06-20,closed,23360.9891919477,3608.2223015873924,0.15445503064703744,18,18,61,time_soft
27,2003-03-28,2003-06-25,closed,23252.836607790086,2906.647320626695,0.1250018382554204,17,16,61,time_soft
28,2003-06-12,2003-09-08,closed,26685.752793825286,4050.3036084160963,0.1517777534592646,16,16,60,time_soft
29,2003-06-17,2003-09-12,closed,26939.347516374193,3897.6104359225997,0.14468095166572115,17,16,61,time_soft
30,2003-06-20,2003-09-17,closed,26914.840603144807,3854.5364111792887,0.1432123068463914,17,17,61,time_soft
31,2003-06-25,2003-09-19,closed,26681.77487325213,3563.969820065231,0.13357319132611487,16,16,60,time_soft
32,2003-09-08,2003-12-03,closed,30400.375076180375,5296.753611780326,0.17423316648255746,22,20,61,time_soft
33,2003-09-12,2003-12-09,closed,30447.371175810422,3566.2719738254273,0.11712906028021,22,18,61,time_soft
34,2003-09-17,2003-12-12,closed,30789.37885012444,4956.185862625151,0.1609706349306595,23,18,61,time_soft
35,2003-09-22,2003-12-17,closed,30812.45506651287,3599.2626990375957,0.11681194151092791,22,17,61,time_soft
