id,opened,closed,status,budget,pnl,ret,n_buys,n_sells,hold_days,reason
1,1999-10-18,1999-11-22,closed,25000.0,5535.577430773819,0.22142309723095277,3,3,25,basket_tp
2,1999-10-21,1999-11-23,closed,25178.729535101298,4454.795572944382,0.17692694012753968,3,4,23,basket_tp
3,1999-10-26,1999-11-23,closed,25178.182637094502,4580.114683911095,0.1819080729505594,3,4,20,basket_tp
4,1999-10-29,1999-12-06,closed,24643.087827804207,6635.704256064741,0.2692724346247646,5,5,25,basket_tp
5,1999-11-22,1999-12-14,closed,29501.72045015838,4587.037488310019,0.1554837283493205,3,4,15,basket_tp
6,1999-11-26,1999-12-21,closed,29663.0029678381,8076.65811795721,0.2722805282632466,3,4,17,basket_tp
7,1999-12-01,2000-01-11,closed,28785.90580731613,3740.414132639779,0.1299390805235362,5,5,28,basket_tp
8,1999-12-06,2000-01-11,closed,31986.092768064853,4156.243483822878,0.12993908052353623,5,5,25,basket_tp
9,1999-12-14,2000-01-21,closed,32119.366464254803,7419.382506263892,0.23099404885587702,6,7,26,basket_tp
10,1999-12-21,2000-01-21,closed,35193.78724683571,8129.555410718902,0.2309940488558768,6,7,21,basket_tp
11,2000-01-11,2000-02-18,closed,36051.65734353728,5692.350455428096,0.15789427934437314,7,7,27,basket_tp
12,2000-01-14,2000-02-24,closed,37906.22187595028,9463.506237336762,0.2496557496103539,8,6,27,basket_tp
13,2000-01-21,2000-02-24,closed,39631.24851316074,9894.16905554737,0.24965574961035397,8,6,23,basket_tp
14,2000-01-26,2000-03-01,closed,39441.79244358344,10588.538368921969,0.2684598673873037,7,7,24,basket_tp
15,2000-02-18,2000-03-27,closed,43703.91066883861,8639.172650394277,0.1976750482549862,8,8,25,basket_tp
16,2000-02-24,2000-04-04,closed,47664.83254700375,-14664.269678784618,-0.307653859149169,11,7,28,basket_sl
17,2000-02-29,2000-04-04,closed,48397.99016248352,-14071.100782709313,-0.2907372958147496,10,6,25,basket_sl
18,2000-03-03,2000-04-04,closed,50147.56446140722,-17841.638057663877,-0.35578274337519467,10,5,22,basket_sl
19,2000-03-27,2000-04-14,closed,54928.49321369109,-22617.580913240676,-0.41176408799801517,9,3,14,basket_sl
20,2000-05-12,2000-05-19,closed,33099.65760465914,-1049.8298297381548,-0.03171724137685278,2,1,5,regime_bear
21,2000-05-17,2000-07-13,closed,33099.237786037986,9532.99859035968,0.2880126319519333,11,9,39,basket_tp
22,2000-06-16,2000-07-17,closed,33132.44416605982,7763.965570227245,0.23433120512674066,7,8,20,basket_tp
23,2000-06-21,2000-07-17,closed,33568.29092041319,7866.098065425452,0.23433120512674077,7,8,17,basket_tp
24,2000-06-26,2000-07-28,closed,31548.82771638743,-8380.637682222066,-0.26564022465623677,11,6,23,regime_bear
25,2000-07-13,2000-07-28,closed,39441.25658816709,-9428.283830746483,-0.23904623347054046,6,1,11,regime_bear
26,2000-07-18,2000-07-28,closed,40230.917850930964,-7391.543202562807,-0.18372792860334314,5,1,8,regime_bear
27,2000-07-21,2000-09-27,closed,39858.5610745169,-11314.725140337132,-0.28387189189253165,8,4,47,basket_sl
28,2000-08-24,2000-09-11,closed,33070.799025995766,-3060.1010181533916,-0.0925318138139921,4,2,11,regime_bear
29,2000-08-29,2000-09-11,closed,33203.59559934963,-3063.841081653422,-0.0922743765049781,3,1,8,regime_bear
30,2000-09-01,2000-09-11,closed,25178.442399517167,-2323.3250737819494,-0.09227437650497802,3,1,5,regime_bear
31,2000-10-24,2001-02-16,closed,27887.351446363387,-338.77944592536556,-0.012148139868246385,3,3,79,time_soft
32,2001-02-16,2001-06-08,closed,27802.65658488205,-461.2764591755008,-0.016591092932692054,5,2,77,time_soft
33,2001-06-08,2001-08-20,closed,27687.337470088172,-7081.105975611664,-0.2557525071979813,17,5,50,basket_sl
34,2001-09-21,2001-12-18,closed,25917.060976185257,3001.6546476175663,0.11581770982349177,8,6,61,time_soft
35,2001-12-04,2001-12-21,closed,26444.74149426658,-1225.224351183367,-0.046331492839474527,5,1,13,regime_bear
36,2001-12-07,2001-12-21,closed,26660.6533115251,-586.6059011240316,-0.022002682915142534,4,1,10,regime_bear
37,2001-12-12,2001-12-21,closed,24645.788122764105,-148.496122828322,-0.006025212993337528,3,1,7,regime_bear
38,2001-12-18,2002-01-30,closed,26980.14343683587,-4250.698927125233,-0.1575491597024563,8,3,28,regime_bear
39,2002-01-24,2002-02-22,closed,25495.720959616294,-6474.680918019018,-0.25395167009689695,11,2,20,basket_sl
40,2002-03-21,2002-05-06,closed,23496.048083019665,-8119.204769228288,-0.34555618632292245,13,3,31,basket_sl
41,2002-06-03,2002-07-22,closed,21466.246890712602,-6784.26600541531,-0.3160434164367378,10,2,34,basket_sl
42,2002-08-16,2002-10-22,closed,19770.18038935878,3910.639693473031,0.1978049575904688,10,10,46,basket_tp
43,2002-10-22,2003-01-15,closed,20747.84031272703,3158.8296304170008,0.15224859950745467,19,15,58,basket_tp
44,2003-01-09,2003-01-17,closed,21525.57558336907,-1819.8213400518403,-0.08454228473490191,3,1,6,regime_bear
45,2003-01-14,2003-04-01,closed,21857.44152639473,-1623.2124829193292,-0.07426360861856413,13,8,53,regime_bear
46,2003-03-17,2003-04-01,closed,21315.217777626163,-876.5563396234016,-0.0411234991248127,4,1,11,regime_bear
47,2003-03-20,2003-04-23,closed,21471.513892405637,4907.5581313724315,0.22856134672032646,6,7,23,basket_tp
48,2003-03-25,2003-04-01,closed,19686.196344846794,-467.4012975350576,-0.02374259046021392,3,1,5,regime_bear
49,2003-04-29,2003-06-02,closed,21567.689388141993,4873.474765585307,0.22596183939225145,6,5,23,basket_tp
50,2003-05-02,2003-06-02,closed,21686.961062054503,4104.804397461998,0.18927522328816002,5,4,20,basket_tp
51,2003-05-07,2003-06-05,closed,21724.099590055856,5336.724707871284,0.24565918995851754,4,5,20,basket_tp
52,2003-05-12,2003-06-05,closed,21292.007512315628,4861.2706703864205,0.22831434131209027,4,5,17,basket_tp
53,2003-06-02,2003-07-08,closed,25420.52232794997,7323.114206267917,0.2880788251237514,6,6,25,basket_tp
54,2003-06-05,2003-07-08,closed,26361.75802346825,7594.264279597357,0.28807882512375127,6,6,22,basket_tp
55,2003-06-10,2003-07-08,closed,26508.619275901394,6632.8010117693675,0.25021299460131263,5,5,19,basket_tp
56,2003-06-13,2003-07-10,closed,26473.16202099451,4254.4578817810425,0.1607083384450656,4,5,18,basket_tp
57,2003-07-08,2003-08-29,closed,33066.043789042094,7294.713165072817,0.22061040055509287,7,7,38,basket_tp
58,2003-07-11,2003-09-03,closed,32874.74982081016,9105.521225892964,0.276976137477069,6,7,37,basket_tp
59,2003-07-16,2003-09-02,closed,32903.327737380285,8754.021106086188,0.26605275843090664,6,6,33,basket_tp
60,2003-07-21,2003-08-29,closed,32238.614893512917,7866.268270249815,0.2440014341879394,6,6,29,basket_tp
61,2003-08-29,2003-11-04,closed,39939.58709481408,8720.033876773967,0.21833059656007842,7,7,46,basket_tp
62,2003-09-04,2003-11-04,closed,41068.04831014762,8966.411487112653,0.21833059656007847,7,7,43,basket_tp
63,2003-09-09,2003-10-14,closed,41209.55930795612,10270.425524481687,0.24922434738337101,7,6,25,basket_tp
64,2003-09-12,2003-10-14,closed,41230.50334669468,9698.589471488782,0.23522850036382803,7,6,22,basket_tp
65,2003-10-14,2004-01-06,closed,49788.45816696152,14242.279778003107,0.2860558511421018,8,7,57,basket_tp
