id,opened,closed,status,budget,pnl,ret,n_buys,n_sells,hold_days,reason
1,1999-10-18,2000-01-13,closed,25000.0,2886.38732646998,0.11545549305879921,12,10,61,time_soft
2,1999-10-21,2000-01-18,closed,25077.331925022205,3919.0869279096255,0.15628005960231972,12,12,60,time_soft
3,1999-10-26,2000-01-21,closed,25073.12341474084,3650.301077563575,0.1455862126621812,12,12,60,time_soft
4,1999-10-29,2000-01-27,closed,24849.544660236978,3270.676573243279,0.13161917523892722,13,12,61,time_soft
5,2000-01-13,2000-04-11,closed,27840.63164529057,1103.4128261758106,0.03963318218616855,21,17,61,time_soft
6,2000-01-19,2000-04-17,closed,28459.53548712253,-1626.667390011563,-0.05715720099323487,25,17,62,regime_bear
7,2000-01-24,2000-04-17,closed,28458.837595403624,-1902.99967965407,-0.06686849641256686,24,16,59,regime_bear
8,2000-01-27,2000-04-17,closed,28359.341273247075,-2325.0554590006645,-0.08198552415581024,22,14,56,regime_bear
9,2000-04-11,2000-04-17,closed,29308.876076549583,-290.5273391275715,-0.009912605941243385,3,1,4,regime_bear
10,2000-05-16,2000-05-22,closed,27171.15371589208,-511.3453854182378,-0.01881942116867706,3,1,4,regime_bear
11,2000-06-19,2000-07-31,closed,27043.317369537523,-734.4838479713833,-0.027159532165929094,14,8,29,regime_bear
12,2000-06-22,2000-07-31,closed,27043.09175187466,-907.5724895312546,-0.03356023408338067,13,7,26,regime_bear
13,2000-06-27,2000-07-31,closed,27022.96733163755,-1270.0474628104228,-0.04699881575638422,11,5,23,regime_bear
14,2000-06-30,2000-07-31,closed,27063.893025100348,-1451.035149729002,-0.05361516720389201,10,4,20,regime_bear
15,2000-08-25,2000-09-12,closed,25952.53263202699,-1627.833376082838,-0.06272348826850115,4,1,11,regime_bear
16,2000-08-30,2000-09-12,closed,25952.53263202699,-1627.833376082838,-0.06272348826850115,4,1,8,regime_bear
17,2000-09-05,2000-09-12,closed,25951.49275401575,-837.7019911018862,-0.03227953008492198,3,1,5,regime_bear
18,2000-09-08,2000-09-12,closed,25626.525931495635,-105.8419717143122,-0.004130172462597819,1,1,2,regime_bear
19,2001-12-05,2002-01-23,closed,24902.729953281523,-1461.9856929524788,-0.058707848324068085,13,5,32,regime_bear
20,2001-12-10,2002-01-23,closed,24875.12666578185,-698.6114415715131,-0.02808473906315906,11,5,29,regime_bear
21,2001-12-13,2002-01-23,closed,24788.280620144884,-906.4013809574864,-0.03656572211873679,10,4,26,regime_bear
22,2001-12-18,2002-01-23,closed,24992.828323306116,-913.8808154313017,-0.03656572211873663,10,4,23,regime_bear
23,2003-01-14,2003-01-21,closed,23907.510120553332,-826.3255595388681,-0.03456343029333173,3,1,4,regime_bear
24,2003-03-17,2003-06-12,closed,23700.928730668613,4155.235884607231,0.17531953839557451,17,17,61,time_soft
25,2003-03-20,2003-06-16,closed,23708.352838541083,4217.521214262028,0.17789178535448003,17,17,60,time_soft
26,2003-03-25,2003-06-20,closed,23738.504499017763,4241.140784390036,0.1786608244241133,18,18,61,time_soft
27,2003-03-28,2003-06-25,closed,23630.5265087708,3341.050787529726,0.1413870650021128,17,16,61,time_soft
28,2003-06-12,2003-09-08,closed,27561.722942931432,4763.931440511187,0.1728459229626267,16,16,60,time_soft
29,2003-06-17,2003-09-12,closed,27850.993321647424,4594.484377391588,0.1649666252233986,17,16,61,time_soft
30,2003-06-20,2003-09-17,closed,27820.378181826083,4554.758472116322,0.16372022128339578,17,17,61,time_soft
31,2003-06-25,2003-09-19,closed,27525.569147058515,4216.119183364381,0.15317100841182538,16,16,60,time_soft
32,2003-09-08,2003-12-02,closed,31896.167497857095,6906.516678344442,0.2165312393348965,21,20,60,basket_tp
33,2003-09-12,2003-12-02,closed,31954.285119408905,6429.036909017683,0.20119482833032343,19,18,56,basket_tp
34,2003-09-17,2003-12-02,closed,32414.53735715918,6517.943924806722,0.20108088704117036,19,18,53,basket_tp
35,2003-09-22,2003-12-17,closed,32445.941668216245,4185.907911733316,0.12901175606297147,22,17,61,time_soft
36,2003-12-02,2004-03-02,closed,38636.27111470844,1317.09183304614,0.03408951731226299,19,12,61,time_soft
37,2003-12-05,2004-03-05,closed,38292.676395719915,904.1539212341086,0.023611666938359224,18,10,61,time_soft
38,2003-12-10,2004-03-24,closed,37813.46334629576,-9078.375688468892,-0.24008315782474388,17,9,71,basket_sl
