id,opened,closed,status,budget,pnl,ret,n_buys,n_sells,hold_days,reason
1,2002-05-22,2002-11-12,closed,25001.150793650795,-1309.6758832343762,-0.05238462397366832,5,47,121,time_hard
2,2002-11-12,2003-02-14,closed,24811.1744505853,670.4531597341538,0.027022225855106094,5,11,64,time_soft
3,2003-02-14,2003-05-14,closed,25037.369245949172,4838.498919611442,0.1932510908826521,20,38,61,time_soft
4,2003-03-21,2003-03-25,closed,25694.678261006287,196.21602820982716,0.007636446201686851,1,1,2,regime_bear
5,2003-04-22,2003-07-07,closed,25884.803654091756,6411.662630352885,0.2476998750322511,20,40,52,basket_tp
6,2003-04-25,2003-07-07,closed,25651.284905851127,5759.100474173768,0.22451508746293256,18,34,49,basket_tp
7,2003-04-30,2003-07-07,closed,23909.383818421353,5386.059712441016,0.22526969968549518,18,34,46,basket_tp
8,2003-05-14,2003-07-23,closed,27384.168364356152,6024.404713668164,0.21999589812300688,17,33,48,basket_tp
9,2003-07-07,2003-10-01,closed,31948.93530838836,4020.5109070174467,0.12584178058546572,20,33,61,time_soft
10,2003-07-10,2003-10-06,closed,31949.093689044566,5670.8275779421,0.17749572595502586,20,41,61,time_soft
11,2003-07-15,2003-10-09,closed,31718.92743282301,5981.957612309217,0.18859268255455064,20,44,61,time_soft
12,2003-07-23,2003-10-16,closed,32916.968256287015,5807.774157375989,0.17643709202370805,17,42,60,time_soft
13,2003-10-01,2003-12-29,closed,35563.14670137551,4826.080340872527,0.13570453653601647,19,32,61,time_soft
14,2003-10-06,2004-01-02,closed,37452.718671761206,5130.049758368637,0.13697402859666416,19,34,61,time_soft
15,2003-10-09,2004-01-07,closed,37684.67086384999,6102.851099457495,0.16194518777957048,18,36,61,time_soft
16,2003-10-16,2004-01-14,closed,37863.927559385986,6175.470258510964,0.16309639956988942,19,40,61,time_soft
17,2003-12-29,2004-03-22,closed,42568.47668696701,-9979.122065531723,-0.2344251625190756,23,32,57,breaker
18,2004-01-02,2004-03-22,closed,42625.39330678521,-10905.708978364153,-0.255850049285719,22,30,54,breaker
19,2004-01-07,2004-03-22,closed,43473.43749714351,-11122.681126263786,-0.25585004928571886,22,30,51,breaker
20,2004-01-14,2004-03-22,closed,43378.87490100757,-12337.05106887698,-0.2844022833010458,19,27,46,breaker
21,2004-04-22,2004-10-14,closed,32257.17457802192,-1969.9187077487936,-0.06106916472129511,48,95,121,time_hard
22,2004-05-28,2004-06-02,closed,32372.478392559013,-340.0225878520799,-0.010503446283255096,1,1,2,regime_bear
23,2004-10-14,2005-01-11,closed,31817.3955005472,47.452232051911324,0.001491392721038252,23,33,61,time_soft
24,2004-12-01,2004-12-03,closed,32539.532156024135,411.4429356874737,0.012644402313919013,1,1,2,regime_bear
25,2004-12-31,2005-01-04,closed,32872.45119404701,-723.1552767507987,-0.021998824258099667,1,1,2,regime_bear
26,2005-02-01,2005-03-17,closed,31876.803799977595,-586.4794900057977,-0.0183983153921539,12,12,31,regime_bear
27,2005-02-08,2005-02-10,closed,32081.980132866913,103.91686081553628,0.0032391037082239492,1,1,2,regime_bear
28,2005-03-10,2005-03-17,closed,32788.75087535703,-657.0893448502546,-0.020040084703077294,3,2,5,regime_bear
29,2005-03-15,2005-06-09,closed,31944.487084037137,2915.424221198436,0.09126533205960574,21,46,60,time_soft
30,2005-05-13,2005-08-10,closed,31978.737466366696,4886.076204517536,0.15279140427780852,21,33,61,time_soft
31,2005-05-18,2005-08-15,closed,32027.3558574015,5647.326606692437,0.17632821865896692,23,34,61,time_soft
32,2005-05-23,2005-08-18,closed,31257.971025386563,4892.547332209233,0.15652159022847925,24,38,61,time_soft
33,2005-06-09,2005-09-06,closed,34025.27460852491,6226.191792771184,0.1829872606292275,24,41,61,time_soft
34,2005-08-10,2005-11-04,closed,37089.93070952264,2066.382353757566,0.05571275853656511,21,37,61,time_soft
35,2005-08-15,2005-11-09,closed,37751.47926098474,1977.6928693568643,0.05238716225355341,20,39,61,time_soft
36,2005-08-18,2005-11-14,closed,37275.459870006554,1600.356204700395,0.0429332383901214,19,40,61,time_soft
37,2005-09-06,2005-12-01,closed,39869.1391259058,932.051935732987,0.023377779309194237,18,41,61,time_soft
38,2005-11-04,2006-02-03,closed,38925.04962489242,5416.934758558321,0.1391632075169973,21,38,61,time_soft
39,2005-11-09,2006-02-08,closed,39236.527904194016,8393.588180885092,0.21392280686456705,22,41,61,time_soft
