id,opened,closed,status,budget,pnl,ret,n_buys,n_sells,hold_days,reason
1,2002-05-22,2002-11-12,closed,25001.150793650795,-1309.6713938724831,-0.05238444440745835,5,47,121,time_hard
2,2002-11-12,2003-02-14,closed,24811.175579244005,670.4557035769061,0.027022327153969333,5,11,64,time_soft
3,2003-02-14,2003-05-12,closed,25037.371013108972,5176.362420145399,0.20674544533590122,20,38,59,basket_tp
4,2003-03-21,2003-03-25,closed,25694.680084190208,196.21631599158385,0.007636456859889633,1,1,2,regime_bear
5,2003-04-22,2003-07-07,closed,25966.735304647696,6431.958391281961,0.24769992514733752,20,40,52,basket_tp
6,2003-04-25,2003-07-07,closed,25732.84777655882,5777.4129681383165,0.2245151029650599,18,34,49,basket_tp
7,2003-04-30,2003-07-07,closed,23745.582612674072,5349.16067743778,0.2252697170960419,18,34,46,basket_tp
8,2003-05-12,2003-07-23,closed,27472.345776999104,6073.408468276492,0.22107353036308175,18,36,50,basket_tp
9,2003-07-07,2003-10-01,closed,32044.947550687146,4032.5965057581343,0.12584188191850115,20,33,61,time_soft
10,2003-07-10,2003-10-06,closed,32045.10618790557,5687.872072727705,0.1774958097930852,20,41,61,time_soft
11,2003-07-15,2003-10-09,closed,31777.716499910443,5993.047351639502,0.18859276284551132,20,44,61,time_soft
12,2003-07-23,2003-10-16,closed,33015.778127421145,5825.198714394556,0.17643681429869001,17,42,60,time_soft
13,2003-10-01,2003-12-29,closed,35669.17477059855,4840.468161683811,0.13570451777521134,19,32,61,time_soft
14,2003-10-06,2004-01-02,closed,37563.70852513767,5145.251478467671,0.13697400178218463,19,34,61,time_soft
15,2003-10-09,2004-01-07,closed,37796.255622929166,6120.921608425206,0.16194518498049149,18,36,61,time_soft
16,2003-10-16,2004-01-14,closed,37976.04628346963,6193.756601881064,0.16309640439260545,19,40,61,time_soft
17,2003-12-29,2004-03-22,closed,42694.55101440089,-10008.68418774845,-0.23442532946118855,23,32,57,breaker
18,2004-01-02,2004-03-22,closed,42751.636186411895,-10938.01599500626,-0.2558502310253749,22,30,54,breaker
19,2004-01-07,2004-03-22,closed,43602.191773749546,-11155.630838526524,-0.2558502310253749,22,30,51,breaker
20,2004-01-14,2004-03-22,closed,43507.349326406606,-12373.592574919885,-0.28440235423420257,19,27,46,breaker
21,2004-04-22,2004-04-29,closed,32352.703279072462,-2943.190886112288,-0.09097202359643648,3,1,5,regime_bear
22,2004-04-27,2004-09-22,closed,32279.70489310562,-24.476833881621843,-0.0007582731615012276,39,80,102,time_soft
23,2004-05-28,2004-06-02,closed,31970.26629953496,-335.7979277595452,-0.010503444813796553,1,1,2,regime_bear
24,2004-09-22,2004-12-17,closed,31646.52894063499,3337.8234471385704,0.10547202359538128,23,41,61,time_soft
25,2004-12-02,2004-12-09,closed,32638.896374436485,-876.6091142312307,-0.026857804999736775,2,1,5,regime_bear
26,2004-12-07,2004-12-09,closed,32690.64723870568,-260.3147099739837,-0.00796297204130518,1,1,2,regime_bear
27,2005-01-06,2005-03-21,closed,32293.103176117464,-571.5768363263956,-0.017699656586397935,20,28,50,regime_bear
28,2005-02-08,2005-02-11,closed,32769.265312090196,661.3889525532783,0.02018320967083932,1,2,3,regime_bear
29,2005-03-11,2005-03-21,closed,33193.73886812806,-522.3126986684713,-0.01573527769027505,3,2,6,regime_bear
30,2005-03-16,2005-06-13,closed,32552.65444149477,3805.4064975619913,0.11690003665910731,21,43,61,time_soft
31,2005-05-13,2005-08-10,closed,32867.41799885341,5021.86112398076,0.1527914703904015,21,33,61,time_soft
32,2005-05-18,2005-08-15,closed,32904.69468930057,5802.0311757082445,0.1763283698722437,23,34,61,time_soft
33,2005-05-23,2005-08-18,closed,31478.649875953066,4927.092064504231,0.15652170864761572,24,38,61,time_soft
34,2005-06-13,2005-09-08,closed,34898.17256775917,6377.450427899019,0.18274453814211622,23,44,61,time_soft
35,2005-08-10,2005-11-04,closed,38021.633969854156,2118.2904483734847,0.05571276736957157,21,37,61,time_soft
36,2005-08-15,2005-10-31,closed,38696.99584534286,-1248.2954246315364,-0.03225819982565306,19,30,54,regime_bear
37,2005-08-18,2005-10-31,closed,38356.14351685821,-1676.3252938018327,-0.04370421893601106,18,28,51,regime_bear
38,2005-09-08,2005-10-31,closed,40918.747288225015,-5480.899128209137,-0.13394591700480402,13,20,37,regime_bear
39,2005-11-28,2006-02-27,closed,37666.07250082148,4999.016903645852,0.13271935648551692,23,44,61,time_soft
40,2005-12-01,2006-03-02,closed,37751.53236986657,7358.8798889163645,0.1949293029172573,22,48,61,time_soft
41,2005-12-06,2006-03-02,closed,37856.07839435207,8453.12046954122,0.2232962532855062,22,47,58,basket_tp
42,2005-12-09,2006-03-02,closed,37496.55218698413,7749.3265387372185,0.2066677090761208,21,43,55,basket_tp
43,2006-02-27,2006-05-19,closed,42382.75790376768,-762.6214238939119,-0.01799367152145891,21,38,58,regime_bear
44,2006-03-02,2006-05-19,closed,45299.29116945689,-2035.7959414920879,-0.0449410109724791,20,37,55,regime_bear
45,2006-03-07,2006-08-28,closed,44302.314668265106,-8404.00564316111,-0.18969676203354488,40,77,121,time_hard
46,2006-03-10,2006-05-19,closed,42953.77169862902,-1.0976207482663085,-2.5553535926190667e-05,17,27,49,regime_bear
