id,opened,closed,status,budget,pnl,ret,n_buys,n_sells,hold_days,reason
1,2002-05-22,2002-11-12,closed,25001.150793650795,-873.1172554895837,-0.034923082649112196,5,47,121,time_hard
2,2002-11-12,2003-02-14,closed,24921.045813832065,448.9480856845446,0.018014817236737413,5,11,64,time_soft
3,2003-02-14,2003-05-14,closed,25092.182374464322,3232.7277443277917,0.12883406058843477,20,38,61,time_soft
4,2003-03-21,2003-03-25,closed,25536.82990049189,130.00708513115674,0.005090964134457916,1,1,2,regime_bear
5,2003-04-22,2003-07-18,closed,25668.38496798728,4530.010291508317,0.1764820925491802,22,43,61,time_soft
6,2003-04-25,2003-07-23,closed,25513.884651741973,4569.971322923757,0.17911703314891878,21,40,61,time_soft
7,2003-04-30,2003-07-28,closed,24362.537301938544,4602.041525088315,0.18889828543113724,22,42,61,time_soft
8,2003-05-14,2003-08-11,closed,26672.285813313087,4012.7431803303025,0.1504461675469674,23,39,61,time_soft
9,2003-07-18,2003-10-14,closed,30004.732693854065,3813.0683049595136,0.12708222878921208,18,41,61,time_soft
10,2003-07-23,2003-10-16,closed,30424.861556114334,3578.7160654564796,0.1176247280158053,17,42,60,time_soft
11,2003-07-28,2003-10-21,closed,30627.55226333796,3713.648352543364,0.12125188198564289,17,42,60,time_soft
12,2003-08-11,2003-11-04,closed,30537.758048317453,4096.423520103088,0.13414290314376204,15,36,60,time_soft
13,2003-10-14,2004-01-09,closed,33693.65157761319,3742.717831792171,0.11108080176975878,18,39,60,time_soft
14,2003-10-17,2004-01-15,closed,33704.34329078515,3564.001418599122,0.10574309037415747,19,38,61,time_soft
15,2003-10-22,2004-01-20,closed,34010.36096334985,3699.295447332697,0.1087696614369698,18,39,60,time_soft
16,2003-11-04,2004-02-03,closed,35541.85268513524,844.8320744311491,0.02377006291471365,23,40,61,time_soft
17,2004-01-09,2004-04-21,closed,37256.83297416234,-3327.427042014578,-0.08931051773300626,32,46,70,regime_bear
18,2004-01-15,2004-04-21,closed,37532.746383219535,-4227.692889748509,-0.11264011555622964,30,43,66,regime_bear
19,2004-01-21,2004-04-21,closed,37927.83806707314,-3138.6212513201317,-0.08275244283024161,29,43,63,regime_bear
20,2004-02-03,2004-06-02,closed,36426.31933460165,-3773.8040578519467,-0.10360102603798294,33,58,83,regime_bear
