id,opened,closed,status,budget,pnl,ret,n_buys,n_sells,hold_days,reason
1,2002-05-22,2002-11-12,closed,25001.150793650795,-873.1142625816555,-0.03492296293830557,5,47,121,time_hard
2,2002-11-12,2003-02-14,closed,24921.046566271205,448.94978222205657,0.018014884769312896,5,11,64,time_soft
3,2003-02-14,2003-05-14,closed,25092.183552732844,3451.928442813028,0.13756987053592118,21,39,61,time_soft
4,2003-03-21,2003-03-25,closed,25536.831106074485,130.00727271988387,0.005090971239926431,1,1,2,regime_bear
5,2003-04-22,2003-07-18,closed,25723.12563074979,4539.66550253053,0.17648187734634196,22,43,61,time_soft
6,2003-04-25,2003-07-23,closed,25568.462491648468,4579.741521182925,0.17911681324908857,21,40,61,time_soft
7,2003-04-30,2003-07-28,closed,24253.014383785092,4581.34756785729,0.18889806831270653,22,42,61,time_soft
8,2003-05-14,2003-08-11,closed,26727.245894532207,4021.0051418260346,0.15044592165213108,23,39,61,time_soft
9,2003-07-18,2003-10-14,closed,30061.512563015553,3820.2852805619673,0.12708227081234877,18,41,61,time_soft
10,2003-07-23,2003-10-16,closed,30481.785424906237,3585.406076337795,0.11762454286579324,17,42,60,time_soft
11,2003-07-28,2003-10-21,closed,30676.97484030464,3719.6416307218738,0.12125190472936918,17,42,60,time_soft
12,2003-08-11,2003-11-04,closed,30594.54603962638,4104.041990573505,0.1341429281303245,15,36,60,time_soft
13,2003-10-14,2004-01-09,closed,33756.13518792956,3749.658566401722,0.11108080192019482,18,39,60,time_soft
14,2003-10-17,2004-01-15,closed,33766.84615782618,3570.611686407375,0.10574312062543072,19,38,61,time_soft
15,2003-10-22,2004-01-20,closed,34073.407647530796,3706.1535358441674,0.10876967675737423,18,39,60,time_soft
16,2003-11-04,2004-02-03,closed,35607.741152397546,846.3969562906718,0.023770026654265378,23,40,61,time_soft
17,2004-01-09,2004-04-29,closed,37325.90159933606,-7632.662256186071,-0.20448701649906934,35,51,76,regime_bear
18,2004-01-15,2004-04-29,closed,37602.32722490988,-8567.823287708396,-0.22785353779998466,33,48,72,regime_bear
19,2004-01-21,2004-04-29,closed,37998.150853332765,-7491.89533332252,-0.19716473473249072,32,48,69,regime_bear
20,2004-02-03,2004-06-02,closed,36493.84678554439,-3810.236772980905,-0.10440764974357762,33,58,83,regime_bear
21,2004-05-28,2004-10-28,closed,30692.392447861996,314.60197067420467,0.010250161215311828,42,88,105,time_soft
22,2004-10-28,2005-01-28,closed,30755.861657471294,-94.59563970269846,-0.0030756946677746237,28,45,63,time_soft
23,2004-12-02,2004-12-09,closed,31149.8856870204,-557.745037030725,-0.017905203333157895,2,1,5,regime_bear
24,2004-12-07,2004-12-09,closed,31184.598634089263,-165.54805802838516,-0.005308648027536813,1,1,2,regime_bear
25,2005-01-28,2005-03-21,closed,30651.47711301363,-1062.9638643491714,-0.034679042071283125,14,13,35,regime_bear
26,2005-02-08,2005-02-11,closed,30793.71128443454,414.3439542646881,0.01345547311389286,1,2,3,regime_bear
27,2005-03-11,2005-03-21,closed,31082.36134259011,-326.0597246634197,-0.010490185126850113,3,2,6,regime_bear
28,2005-03-16,2005-06-13,closed,30669.941922967046,2390.211556751695,0.07793335777273826,21,43,61,time_soft
29,2005-05-13,2005-08-10,closed,30879.52520150189,3145.418706996623,0.1018609802602677,21,33,61,time_soft
30,2005-05-18,2005-08-15,closed,30905.86365971872,3633.053705741344,0.11755224658149575,23,34,61,time_soft
31,2005-05-23,2005-08-18,closed,30039.579909195905,3134.564249629296,0.1043478057650774,24,38,61,time_soft
32,2005-06-13,2005-09-08,closed,32176.5564166558,3920.0599609103406,0.12182969209474416,23,44,61,time_soft
33,2005-08-10,2005-11-04,closed,34171.52613022947,1864.8111963793597,0.054572078205476306,23,39,61,time_soft
34,2005-08-15,2005-10-31,closed,34594.624047706486,-66.62610992266286,-0.0019259093502731665,21,32,54,regime_bear
35,2005-08-18,2005-10-31,closed,34479.734032639055,-304.31092977329877,-0.008825791100512355,20,30,51,regime_bear
36,2005-09-08,2005-10-31,closed,35946.06125901303,-2346.7231210474747,-0.06528456912533255,16,23,37,regime_bear
37,2005-11-28,2006-02-27,closed,34786.058989797864,3390.0220174256883,0.09745346601119494,23,44,61,time_soft
