id,opened,closed,status,budget,pnl,ret,n_buys,n_sells,hold_days,reason
1,2002-05-22,2002-11-12,closed,25001.150793650795,-239.73448996620652,-0.009588938203080183,4,47,121,time_hard
2,2002-11-12,2003-02-18,closed,25080.348099652634,36.76641238149452,0.0014659450592714755,3,10,65,time_soft
3,2003-02-18,2003-05-15,closed,25149.557766088863,2196.426254930581,0.08733458756448577,15,28,61,time_soft
4,2003-03-21,2003-03-25,closed,25427.921815262445,97.08947848147567,0.00381822310084343,1,1,2,regime_bear
5,2003-04-22,2003-07-18,closed,25531.68845507185,2692.987371913943,0.10547627418581411,18,39,61,time_soft
6,2003-04-25,2003-07-23,closed,25474.91921479285,2736.095857092944,0.10740351457146681,17,36,61,time_soft
7,2003-04-30,2003-07-28,closed,24675.737586625663,2834.4217828802266,0.11486675009935643,18,38,61,time_soft
8,2003-05-15,2003-08-12,closed,26343.19169826575,2668.69701591886,0.10130499927594377,17,36,61,time_soft
9,2003-07-18,2003-10-14,closed,28097.38288742972,2200.8163803326765,0.07832816277409535,14,37,61,time_soft
10,2003-07-23,2003-10-16,closed,28413.74655967362,2020.2443459404456,0.07110094903175104,13,38,60,time_soft
11,2003-07-28,2003-10-21,closed,28599.690465281135,2112.7313126362205,0.0738725237324156,13,38,60,time_soft
12,2003-08-12,2003-11-05,closed,28933.5913539133,3001.1679344344334,0.10372607733773506,14,35,60,time_soft
13,2003-10-14,2004-01-09,closed,30485.53886319325,2498.0222019799967,0.08194121852954965,15,36,60,time_soft
14,2003-10-17,2004-01-15,closed,30493.48014472938,2264.3454376260115,0.07425670756105517,15,35,61,time_soft
15,2003-10-22,2004-01-20,closed,30709.121097471132,2171.6261607576353,0.07071599847696282,14,35,60,time_soft
16,2003-11-05,2004-02-04,closed,31774.558050969983,-767.5646043395352,-0.024156578452114892,18,37,61,time_soft
17,2004-01-09,2004-04-07,closed,32885.467542453145,787.4020049343508,0.023943767985596144,21,40,61,time_soft
18,2004-01-15,2004-04-14,closed,32958.11706597796,254.7362153004742,0.007729088855122539,21,40,61,time_soft
19,2004-01-21,2004-04-21,closed,33092.79022249578,-211.51267237152092,-0.006391503132538491,24,41,63,regime_bear
20,2004-02-04,2004-04-21,closed,31110.17199967848,-318.52828234974686,-0.010238718138653775,19,32,53,regime_bear
21,2004-04-07,2004-04-21,closed,33438.190078017215,-776.6313934518013,-0.023225880098168675,5,2,9,regime_bear
22,2004-04-14,2004-10-06,closed,33206.227151883,-1456.7138377781275,-0.043868694601022225,37,88,121,time_hard
