id,opened,closed,status,budget,pnl,ret,n_buys,n_sells,hold_days,reason
1,2002-05-22,2002-11-12,closed,25001.150793650795,-527.0920259079511,-0.021082710562339776,5,47,121,time_hard
2,2002-11-12,2003-02-14,closed,25008.05945126839,408.5600680964344,0.01633713598980238,5,11,64,time_soft
3,2003-02-14,2003-05-14,closed,25169.33228080133,2762.563691142448,0.10975911717966699,20,38,61,time_soft
4,2003-04-17,2003-07-15,closed,25629.59889677994,2821.201766948611,0.1100759234785786,19,40,60,time_soft
5,2003-04-23,2003-07-21,closed,25631.69814028693,2510.2766917772424,0.09793641755758993,18,40,61,time_soft
6,2003-04-28,2003-07-23,closed,24380.30804633435,2600.0692191108183,0.10664628249033736,16,35,60,time_soft
7,2003-05-14,2003-08-11,closed,26615.0243114297,2151.526788562154,0.08083880605880907,18,34,61,time_soft
8,2003-07-15,2003-10-09,closed,28251.0302437229,2427.635833128049,0.08593087799576604,19,42,61,time_soft
9,2003-07-21,2003-10-15,closed,28015.763743006402,2113.8878564270126,0.07545351523585375,16,40,61,time_soft
10,2003-07-24,2003-10-20,closed,28485.001864105507,1686.7183446553888,0.059214261340135445,14,38,61,time_soft
11,2003-08-11,2003-11-04,closed,28429.939524124573,2596.1071981896503,0.09131595921921296,13,34,60,time_soft
12,2003-10-09,2004-01-07,closed,30261.344424828265,1505.2517207361627,0.04974173320274435,16,34,61,time_soft
13,2003-10-15,2004-01-12,closed,30271.09887943532,1277.1398426275173,0.04219007204575393,15,36,60,time_soft
14,2003-10-20,2004-01-16,closed,30387.12156103068,1366.0385872493366,0.04495452405736198,15,35,61,time_soft
15,2003-11-04,2004-04-29,closed,31910.734652961346,-5563.322907703676,-0.17434017010910133,36,72,121,time_hard
16,2004-01-07,2004-04-30,closed,31374.352451368773,-5145.50982202488,-0.16400369792493985,25,43,79,regime_bear
17,2004-01-12,2004-04-30,closed,31388.046447314035,-5316.634545702568,-0.16938405372334117,22,41,76,regime_bear
18,2004-01-16,2004-07-13,closed,32045.054214519674,-3331.230964358757,-0.10395460535215353,33,69,121,time_hard
19,2004-07-13,2004-10-06,closed,27064.883513546138,1200.587446193377,0.04435960145893389,22,47,60,time_soft
20,2004-10-06,2005-01-03,closed,27426.899075406713,1764.4897107980105,0.0643342765781423,23,43,61,time_soft
21,2004-12-03,2004-12-10,closed,27872.074828251254,-872.7074408692986,-0.03131117601566994,3,1,5,regime_bear
22,2004-12-08,2004-12-10,closed,27770.0279180763,-130.66391853474244,-0.004705213798135564,1,1,2,regime_bear
23,2005-01-07,2005-04-08,closed,27692.414353487547,658.9951439664314,0.02379695520782349,25,37,62,time_soft
24,2005-02-14,2005-04-13,closed,27994.65084535938,-1101.7070896561008,-0.03935420004849707,14,18,40,regime_bear
25,2005-02-17,2005-04-13,closed,27915.53602613747,-1339.8911115690491,-0.04799804346635156,13,17,37,regime_bear
