id,opened,closed,status,budget,pnl,ret,n_buys,n_sells,hold_days,reason
1,2002-05-22,2002-11-12,closed,25000.0,-3299.723116631714,-0.13198892466526857,5,3,121,time_hard
2,2002-11-12,2003-02-18,closed,24175.069220842073,596.5384642761609,0.02467577068039444,5,5,65,time_soft
3,2003-02-18,2003-05-15,closed,24324.203836911114,4577.308567990969,0.1881791732498585,21,21,61,time_soft
4,2003-03-21,2003-03-25,closed,24832.202437049862,189.62988708198858,0.0076364505952584835,1,1,2,regime_bear
5,2003-04-22,2003-07-07,closed,25125.785421167602,5896.900499767075,0.2346951707547077,20,20,52,basket_tp
6,2003-04-25,2003-07-07,closed,24897.085296942063,5292.815380837694,0.2125877514460608,18,18,49,basket_tp
7,2003-04-30,2003-07-07,closed,23139.370679705702,4939.149963773409,0.21345221666314684,18,18,46,basket_tp
8,2003-05-15,2003-08-01,closed,26461.08783265299,5507.54092780332,0.20813735862389654,17,17,54,basket_tp
9,2003-07-07,2003-10-01,closed,30547.48159773107,2906.376976453251,0.09514293239378277,20,17,61,time_soft
10,2003-07-10,2003-10-06,closed,30545.182220077637,5319.652968490923,0.1741568581965854,20,19,61,time_soft
11,2003-07-15,2003-10-09,closed,30638.867996633926,6065.799123950713,0.19797725962385812,20,20,61,time_soft
12,2003-08-01,2003-10-28,closed,31858.425288523777,7381.205131539289,0.23168769531738873,18,17,61,time_soft
13,2003-10-01,2003-12-29,closed,33353.73715638226,5096.820044752924,0.15281106344563383,19,16,61,time_soft
14,2003-10-06,2004-01-02,closed,35289.924169809296,5499.914093897813,0.1558494166049531,19,17,61,time_soft
15,2003-10-09,2004-01-06,closed,35707.17846962545,7620.761369306487,0.21342379028320982,18,17,60,basket_tp
16,2003-10-28,2004-01-27,closed,38235.926059550184,6295.497913573341,0.16464876262623995,20,19,61,basket_tp
17,2003-12-29,2004-04-06,closed,40961.32662601843,-2488.734773868928,-0.0607581584598409,13,9,68,time_soft
18,2004-01-02,2004-04-29,closed,41055.65889609677,-16032.93378447904,-0.39051702531568233,12,8,81,regime_bear
19,2004-01-07,2004-04-29,closed,42559.49888247399,-16620.20890250986,-0.3905170253156826,12,8,78,regime_bear
20,2004-01-27,2004-04-29,closed,42550.36840091251,-14282.252530580046,-0.33565520270028393,13,9,65,regime_bear
21,2004-04-06,2004-06-02,closed,40035.84533297346,-4819.551329171705,-0.12038090588791266,7,3,39,regime_bear
22,2004-05-28,2004-11-16,closed,29496.38987595339,-177.75110623394448,-0.006026198696907452,42,37,118,time_soft
23,2004-11-16,2005-02-14,closed,28866.18894250501,2771.9929251522535,0.09602905775589023,17,15,61,time_soft
24,2004-12-02,2004-12-09,closed,29158.269917158217,-783.1274896043226,-0.02685781741609746,2,1,5,regime_bear
25,2004-12-07,2004-12-09,closed,29202.16405082555,-232.53641768409585,-0.00796298580061987,1,1,2,regime_bear
26,2005-02-08,2005-02-11,closed,28955.674422260927,638.9323915893191,0.022065878427549666,1,1,3,regime_bear
27,2005-03-11,2005-03-21,closed,29465.0042948683,-505.0331805023278,-0.01714010204947724,3,1,6,regime_bear
28,2005-03-16,2005-06-13,closed,29409.927145030826,5616.547658727527,0.19097455192698473,21,21,61,time_soft
29,2005-05-13,2005-08-02,closed,30137.745130550953,6158.323210198539,0.20433921594073676,17,17,55,basket_tp
30,2005-05-18,2005-08-02,closed,30262.93838359559,6183.9051013667495,0.20433921594073673,17,17,52,basket_tp
31,2005-05-23,2005-08-02,closed,27544.37333979347,5628.395651832329,0.20433921594073673,17,17,49,basket_tp
32,2005-06-13,2005-09-07,closed,32181.35320375942,6702.94773600735,0.20828669613633005,23,22,60,basket_tp
33,2005-08-02,2005-10-31,closed,36281.19868068463,-3874.791639632725,-0.10679888704161213,18,14,63,regime_bear
34,2005-08-05,2005-11-04,closed,35872.499832542686,1873.788190716497,0.05223466999689384,17,14,64,time_soft
35,2005-08-10,2005-10-31,closed,35837.7532989189,-3353.1884848615123,-0.09356581192166046,15,11,57,regime_bear
36,2005-09-07,2005-10-31,closed,38863.610393284,-7251.966555524557,-0.18660043372547205,5,2,38,regime_bear
37,2005-11-28,2006-02-27,closed,33759.736216950274,4224.607299632653,0.12513744990434905,19,15,61,time_soft
38,2005-12-01,2006-03-02,closed,33826.87155546802,7522.343739952907,0.22237775454990136,18,17,61,basket_tp
39,2005-12-06,2006-03-02,closed,33912.84944631741,7578.744867054801,0.22347708879643483,19,18,58,basket_tp
40,2005-12-09,2006-03-02,closed,33539.48764906539,7015.9971302909,0.20918617492615177,18,17,55,basket_tp
41,2006-02-27,2006-05-04,closed,37691.994385881975,7543.63660085641,0.20013896117107502,16,16,47,basket_tp
42,2006-03-02,2006-05-19,closed,40607.83072408398,579.3427518646668,0.014266774204243963,20,16,55,regime_bear
43,2006-03-07,2006-08-28,closed,39704.02646986226,-7691.615366351751,-0.1937238121728069,19,15,121,time_hard
44,2006-03-10,2006-05-19,closed,38491.645614769004,-44.55225407051694,-0.0011574525681859265,17,13,49,regime_bear
45,2006-05-04,2006-05-19,closed,47218.26412579628,-8850.358479987171,-0.18743506657526707,4,1,11,regime_bear
46,2006-08-28,2006-11-22,closed,38229.27278926097,6792.9453444967385,0.17768963019367068,22,22,61,time_soft
47,2006-09-15,2006-09-20,closed,38433.53443043869,203.6013414500344,0.005297492007104756,1,1,3,regime_bear
48,2006-10-17,2006-10-19,closed,39030.016336996916,-159.650433321911,-0.004090452638898254,1,1,2,regime_bear
49,2006-11-15,2007-02-15,closed,39755.223728435405,3802.3890692771097,0.09564501750137064,19,16,61,time_soft
50,2006-11-20,2006-12-26,closed,39936.46283380827,-531.9282227986944,-0.013319362433580116,8,5,24,regime_bear
51,2006-11-24,2006-12-26,closed,40225.37899340084,-931.0911543770544,-0.023146858467879304,7,4,21,regime_bear
52,2006-11-29,2006-12-26,closed,39836.92185402423,-1285.5062896833238,-0.03226921734550294,6,3,18,regime_bear
53,2007-01-25,2007-01-26,closed,38937.20759352,0.0,0.0,0,0,1,regime_bear
54,2007-02-26,2007-05-23,closed,40201.962703021694,7069.197245583372,0.17584209253176664,20,19,61,time_soft
55,2007-03-01,2007-05-29,closed,40163.19735101597,6002.057968462612,0.14944173682205067,20,17,61,time_soft
56,2007-03-06,2007-06-01,closed,40549.699431334964,6984.879346224389,0.17225477486096463,19,17,61,time_soft
57,2007-03-09,2007-06-06,closed,39892.991326714124,5025.403790220043,0.12597209743092916,19,17,61,time_soft
58,2007-05-23,2007-07-20,closed,46107.99305181608,8924.235076459874,0.19355071617259145,16,16,40,basket_tp
59,2007-05-29,2007-08-23,closed,46000.83198423385,1887.6115027103551,0.0410342904962525,20,16,61,time_soft
60,2007-06-01,2007-08-17,closed,47208.01516690015,-681.4232843531954,-0.01443448282974995,19,15,54,regime_bear
61,2007-06-06,2007-08-17,closed,46305.806627783844,-1639.2758363940784,-0.03540108586318201,17,13,51,regime_bear
62,2007-07-20,2007-08-17,closed,54804.46403102262,-7848.335987646188,-0.14320614436086007,5,2,20,regime_bear
63,2007-09-14,2008-03-10,closed,46633.05015833847,-24961.523514340686,-0.5352753772182176,24,17,121,time_hard
64,2007-09-19,2007-10-26,closed,46883.70551870953,-769.9535724179045,-0.016422626238675714,8,6,27,regime_bear
65,2007-09-24,2007-10-26,closed,46880.87804210447,-828.0805997803891,-0.01766350448975543,8,6,24,regime_bear
66,2007-09-27,2007-10-26,closed,46134.566914201394,-1456.9181602095268,-0.03157975153249028,7,5,21,regime_bear
67,2008-03-10,2008-06-05,closed,39628.93119665133,5366.785220175555,0.1354259390328713,22,21,61,time_soft
68,2008-05-19,2008-05-21,closed,40688.76838093973,-452.1052887521025,-0.01111130434127092,1,1,2,regime_bear
69,2008-06-18,2008-12-09,closed,40857.601179507205,-35407.04526593692,-0.8665962818124501,25,15,121,time_hard
70,2008-12-09,2009-03-09,closed,32005.839863022975,0.0,0.0,0,0,60,time_soft
71,2009-03-09,2009-05-12,closed,32005.839863022975,-1902.3473291090195,-0.05943750694406372,5,3,45,regime_bear
72,2009-04-30,2009-05-12,closed,32083.293180181845,-2192.747535130455,-0.06834546325453075,3,1,8,regime_bear
73,2009-05-05,2009-05-12,closed,32080.986463739097,-928.3286909997294,-0.02893703695954027,2,1,5,regime_bear
74,2009-05-08,2009-08-04,closed,31254.550833781923,5283.866543851172,0.16905910988616832,18,18,60,time_soft
75,2009-06-09,2009-09-03,closed,31275.481440993033,6146.892014774565,0.1965402843237381,20,19,61,time_soft
76,2009-06-12,2009-09-04,closed,31165.97845052995,6491.4696814912295,0.20828704902671996,19,19,59,basket_tp
77,2009-06-17,2009-09-14,closed,29303.92517154776,5335.246827759021,0.18206594497242318,18,18,61,time_soft
78,2009-08-04,2009-10-15,closed,34075.54308130889,6794.384046503389,0.1993918051516028,17,17,51,basket_tp
79,2009-09-03,2009-12-01,closed,37123.37718760245,6077.830574296558,0.16371976459960336,20,17,61,time_soft
80,2009-09-09,2009-12-04,closed,37543.24110967653,8511.534900756928,0.22671284229009026,20,19,61,basket_tp
81,2009-09-14,2009-12-04,closed,37515.24958614074,8427.907982647606,0.22465285652160846,19,18,58,basket_tp
82,2009-10-15,2010-01-11,closed,40470.313124147186,8114.220867307245,0.2004980994937195,19,19,59,basket_tp
83,2009-12-01,2010-03-02,closed,43600.821765564106,2574.4705584600433,0.059046376976622905,18,16,61,time_soft
84,2009-12-04,2010-03-05,closed,45308.98036569798,3451.5702352569833,0.07617850164357395,19,16,61,time_soft
85,2009-12-09,2010-03-10,closed,45412.49117007341,4889.545975276087,0.10766962677657006,19,17,61,time_soft
86,2010-01-11,2010-04-05,closed,48474.0994354205,11387.964560397815,0.2349288525838299,18,18,57,basket_tp
87,2010-03-02,2010-04-22,closed,47562.18892350845,9534.010219208527,0.20045356269328837,14,14,36,basket_tp
88,2010-03-05,2010-04-22,closed,48760.55060095494,10043.805849254324,0.20598220744984005,14,14,33,basket_tp
89,2010-03-10,2010-04-29,closed,50170.710303137916,10329.179172022936,0.20588066442776473,14,14,35,basket_tp
90,2010-04-05,2010-06-16,closed,56898.97537713456,12352.938518112785,0.21710300468920116,21,20,51,basket_tp
91,2010-04-22,2010-05-07,closed,59742.52003757665,-2115.313501842852,-0.03540716897299225,5,3,11,regime_bear
92,2010-04-27,2010-05-07,closed,59252.45101624497,-2811.13872449663,-0.04744341670736815,4,2,8,regime_bear
93,2010-04-30,2010-05-07,closed,60231.47977585478,-3693.311814110172,-0.0613186298569195,3,1,5,regime_bear
94,2010-06-04,2010-06-08,closed,58754.021016503364,-90.6696870985127,-0.001543208201410497,1,1,2,regime_bear
95,2010-07-06,2010-09-30,closed,60009.08517417041,252.2100495273089,0.004202864429532533,15,10,61,time_soft
