profile,capital_usd,usd_cagr,krw_cagr,krw_after_cagr,drag,krw_mdd,krw_after_mdd,worst_year_after
defensive,20000,0.12592780817536098,0.1412197999237068,0.12011415818335247,0.02110564174035434,-0.1803502285626204,-0.1803502285626204,-0.06488581573693364
defensive,50000,0.12592780817536164,0.14121979992370748,0.11390120026597406,0.027318599657733422,-0.1803502285626214,-0.16981448171524705,-0.06488581573693253
defensive,100000,0.12592780817536164,0.14121979992370748,0.11110212008070475,0.03011767984300273,-0.1803502285626214,-0.16843791767056238,-0.06517999691054022
defensive,300000,0.1259278081753612,0.14121979992370703,0.10899913400384564,0.03222066591986139,-0.1803502285626225,-0.16889206491409214,-0.06554747706610642
balanced,20000,0.2035753831277094,0.21992195943008142,0.1721673798876202,0.047754579542461206,-0.27305462772955724,-0.27137182822622696,-0.10928905702641833
balanced,50000,0.20357538312770895,0.21992195943008097,0.16598868154015944,0.05393327788992153,-0.2730546277295576,-0.2616001212980342,-0.10928905702641789
balanced,100000,0.20357538312770895,0.21992195943008097,0.16381740275649492,0.05610455667358605,-0.2730546277295576,-0.2582843799528891,-0.10928905702641789
balanced,300000,0.20357538312770962,0.21992195943008186,0.16214654222275726,0.0577754172073246,-0.2730546277295566,-0.2569694676556019,-0.10948261299046635
aggressive,20000,0.24365218813687273,0.2605430748000426,0.19314977782944642,0.06739329697059615,-0.5038340122407974,-0.49943250797860983,-0.32899171075855116
aggressive,50000,0.2436960949175433,0.26058757790857956,0.18430633157118836,0.0762812463373912,-0.5038340122407985,-0.4929369028324687,-0.3289917107585518
aggressive,100000,0.2436960949175433,0.26058757790857956,0.18084595480116095,0.07974162310741861,-0.5038340122407985,-0.4907340761016378,-0.3289917107585518
aggressive,300000,0.24369609491754285,0.2605875779085791,0.17845333214567738,0.08213424576290174,-0.5038340122407974,-0.4892548610545736,-0.3289917107585514
