date,usd,fx,krw_pre,krw_after
2002-05-22,100004.60317460318,1255.3835616438357,125418716.19791389,125417827.15949416
2002-05-23,100009.20656109852,1255.2739726027398,125413540.47632182,125411762.47916095
2002-05-24,100013.81015949577,1255.164383561644,125408364.01248233,125405697.13627389
2002-05-28,100018.4139698047,1254.7260273972602,125370336.89001767,125366782.14589502
2002-05-29,100023.01799203505,1254.6164383561643,125365157.4293722,125360714.19853966
2002-05-30,100027.62222619659,1254.5068493150684,125359977.22623757,125354645.58845335
2002-05-31,100032.22667229906,1254.3972602739725,125354796.2805564,125348576.31559372
2002-06-03,100036.83133035223,1254.0684931506848,125327710.61540864,125320603.64516653
2002-06-04,100041.43620036585,1253.958904109589,125322527.17618394,125314532.1936779
2002-06-05,100046.04128234967,1253.849315068493,125317342.99419414,125308460.07925546
2002-06-06,100050.64657631346,1253.7397260273972,125312158.06938182,125302387.3018568
2002-06-07,100055.25208226698,1253.6301369863013,125306972.40168957,125296313.86143945
2002-06-10,100059.85780021996,1253.3013698630136,125279876.9723417,125268332.75810169
2002-06-11,100062.98530151408,1253.1917808219177,125272837.90645538,125260418.95949082
2002-06-12,100196.32524034403,1253.0821917808219,125428802.03851587,125415478.6082452
2002-06-13,100198.91271234937,1252.972602739726,125421071.38150151,125406876.98388273
2002-06-14,100191.29577002613,1252.86301369863,125400568.19660915,125385504.37307772
2002-06-17,100484.9662360886,1252.5342465753424,125735126.35031766,125719131.16352668
2002-06-18,100487.76939799264,1252.4246575342465,125727632.54211918,125710762.64227971
2002-06-19,100140.79456088507,1252.3150684931506,125282543.45601732,125264870.46350013
2002-06-20,99767.45833657663,1252.2054794520548,124804553.44661923,124786097.46470045
2002-06-21,99458.09644512368,1252.0958904109589,124406667.1598763,124387419.6409895
2002-06-24,99937.93415504629,1251.7671232876712,124974046.29827672,124953857.25826505
2002-06-25,99350.17444862808,1251.6575342465753,124228166.21112582,124207243.96690667
2002-06-26,99317.75756719062,1251.5479452054794,124176758.6469864,124154991.4039904
2002-06-27,99743.18561852482,1251.4383561643835,124697750.49854715,124675035.30107495
2002-06-28,99598.55081237982,1251.3287671232877,124506025.76955183,124482488.90996078
2002-07-01,99208.81396625032,1251.0,123986240.03174742,123961945.03789632
2002-07-02,98938.93101028705,1250.8383561643836,123632976.8487201,123607894.75807272
2002-07-03,99173.89865005645,1250.676712328767,123910574.93754143,123884578.09688255
2002-07-05,99728.01222710162,1250.3534246575343,124570690.93151346,124543694.89483899
2002-07-08,99451.21981552515,1249.868493150685,124176769.48334464,124148998.41302046
2002-07-09,99217.36266831176,1249.7068493150684,123868748.94861779,123840186.44069706
2002-07-10,99038.83673809048,1249.545205479452,123629873.72861457,123600506.05609326
2002-07-11,99314.1555360125,1249.3835616438357,123957515.8493838,123927208.34988725
2002-07-12,99427.52053915791,1249.2219178082191,124082954.93590705,124051753.10528135
2002-07-15,99445.285382762,1248.7369863013698,124056949.02172817,124024888.79159133
2002-07-16,99548.90547900969,1248.5753424657535,124170138.61193353,124137182.76061529
2002-07-17,99574.13641439739,1248.4136986301369,124185530.39860106,124151702.79504472
