date,usd,fx,krw_pre,krw_after
2011-01-03,100000.0,1131.5397260273974,113040931.67106868,113040931.67106868
2011-01-04,100000.0,1131.4082191780822,113027794.12368454,113027794.12368454
2011-01-05,100000.0,1131.2767123287672,113014656.57630043,113014656.57630043
2011-01-06,100000.0,1131.145205479452,113001519.0289163,113001519.0289163
2011-01-07,100000.0,1131.013698630137,112988381.48153219,112988381.48153219
2011-01-10,100000.0,1130.6191780821919,112948968.83937982,112948968.83937982
2011-01-11,100000.0,1130.4876712328767,112935831.29199567,112935831.29199567
2011-01-12,100000.0,1130.3561643835617,112922693.74461158,112922693.74461158
2011-01-13,99981.25575416257,1130.2246575342465,112888392.15243988,112888392.15243988
2011-01-14,101492.8315989226,1130.0931506849315,114581772.06150013,114581772.06150013
2011-01-18,101468.01497741268,1129.5671232876712,114500433.35039599,114500433.35039599
2011-01-19,99716.08820634105,1129.4356164383562,112510391.16098933,112510391.16098933
2011-01-20,98001.68463897494,1129.304109589041,110563142.06737624,110563142.06737624
2011-01-21,96786.8898649935,1129.172602739726,109179924.41552241,109179924.41552241
2011-01-24,103416.24350122976,1128.7780821917809,116617371.6351612,116118059.79333802
2011-01-25,102611.63004893104,1128.6465753424657,115696568.27675731,115197256.43493412
2011-01-26,104301.2752921076,1128.5150684931507,117587972.85733846,117089753.17996839
2011-01-27,107379.61477811738,1128.3835616438357,121044347.8234517,119782374.86691412
2011-01-28,106407.53525656025,1128.2520547945205,119934585.71312138,118672612.75658381
2011-01-31,106791.00042295302,1127.8575342465754,120324709.70704974,119078144.86356209
2011-02-01,109002.58440953052,1127.7260273972602,122802249.24295145,121133910.09273504
2011-02-02,109124.11750243821,1127.5945205479452,122924832.12325619,121254160.1415727
2011-02-03,109130.46334417937,1127.4630136986302,122917643.44491148,121244717.3673056
2011-02-04,109475.3168054897,1127.331506849315,123291682.17496389,121511640.85628265
2011-02-07,109475.3168054897,1126.9369863013699,123248535.06010617,121468493.74142493
2011-02-08,109475.3168054897,1126.805479452055,123234152.68848695,121454111.36980571
2011-02-09,109450.74042397412,1126.6739726027397,123192108.40938082,121412067.09069958
2011-02-10,109659.07614263272,1126.5424657534247,123412193.8361279,121628222.30420712
2011-02-11,110167.09125838397,1126.4109589041095,123969449.45457827,122169372.16291773
2011-02-14,110614.166228413,1126.0164383561644,124428940.54770663,122369853.62339535
2011-02-15,110589.62453061694,1125.8849315068494,124386805.03498687,122327718.11067559
2011-02-16,111362.56442368755,1125.7534246575342,125241546.73187968,123164559.93873678
2011-02-17,112342.59705816646,1125.6219178082192,126328960.59157777,123843198.85319431
2011-02-18,112317.65024586149,1125.490410958904,126286152.18097213,123800390.44258867
2011-02-22,109323.72971288899,1124.964383561644,122862439.7653546,120376678.02697115
2011-02-23,106927.053681641,1124.8328767123287,120154910.48061325,117669148.74222979
2011-02-24,110108.04124334613,1124.7013698630137,123714949.86945517,121088757.88582225
2011-02-25,112887.24425472005,1124.5698630136985,126822770.03748697,123956060.1643672
2011-02-28,112386.13895468492,1124.1753424657534,126215510.73704964,123348800.86392987
2011-03-01,110129.01980364196,1124.0438356164384,123666179.65311132,120799469.77999154
2011-03-02,112606.41205381698,1123.9123287671232,126433301.50401169,123600673.27692476
2011-03-03,115748.25305489764,1123.7808219178082,129945721.23235098,126603104.79206328
2011-03-04,114807.31686286352,1123.6493150684933,128874288.66913894,125531672.22885124
2011-03-07,110571.05580580127,1123.2547945205479,124075393.17588946,120732776.73560177
2011-03-08,110925.44484598209,1123.123287671233,124458491.81000343,121240107.67919767
2011-03-09,105427.9114000474,1122.9917808219177,118276401.56990469,115058017.43909892
2011-03-10,99636.53311548603,1122.8602739726027,111766138.73300196,108547754.6021962
2011-03-11,102019.58997761956,1122.7287671232878,114425902.57542072,111540538.63959152
2011-03-14,101681.21572408846,1122.3342465753424,114006304.33622347,111120940.40039426
2011-03-15,98663.60437065875,1122.2027397260274,110609957.1788193,107724593.24299009
2011-03-16,92321.12006334758,1122.0712328767124,103487385.62441501,100602021.6885858
2011-03-17,95672.7814541805,1121.9397260273972,107231862.3506317,104804488.8116069
2011-03-18,96518.65523923306,1121.8082191780823,108167253.49788944,106131250.52551274
2011-03-21,100540.54896808934,1121.4136986301369,112634913.96664283,110852492.95204797
2011-03-22,98790.92392539259,1121.282191780822,110661841.8652514,108879420.85065655
2011-03-23,101249.94304554512,1121.150684931507,113403039.95483415,111832084.37320451
2011-03-24,107403.50286180568,1121.0191780821917,120281105.39589386,117987330.54782723
2011-03-25,107098.64256635943,1120.8876712328768,119925622.43597291,117631847.58790629
2011-03-28,107266.49494315713,1120.4931506849316,120071301.58020723,117891137.25540288
2011-03-29,108160.54418583991,1120.3616438356164,121057867.21498746,118957949.68764389
2011-03-30,108255.23531891206,1120.2301369863014,121149627.46332584,119119613.41984825
2011-03-31,107536.7423450266,1120.0986301369862,120331426.36369467,118501438.48673517
2011-04-01,106206.30949844628,1119.9671232876713,118828746.17779718,116998758.30083768
2011-04-04,104623.87446952617,1119.572602739726,117017006.4421197,115187018.5651602
2011-04-05,110012.14724254211,1119.441095890411,123029089.58086774,120994220.45286146
2011-04-06,111822.06121577289,1119.309589041096,125038466.91823679,122611348.04824223
2011-04-07,111716.1058051764,1119.1780821917807,124905311.73323815,122478192.86324358
2011-04-08,110918.80675420092,1119.0465753424658,123999311.52783349,121715765.70476304
2011-04-11,109779.19910973345,1118.6520547945206,122682044.61318697,120398498.79011652
2011-04-12,105675.78053156521,1118.5205479452054,118082449.49520838,115798903.67213793
2011-04-13,106389.94180104099,1118.3890410958904,118866478.51459923,117180453.24822147
2011-04-14,106501.12132904312,1118.2575342465752,118976704.62728383,117365063.0158408
2011-04-15,107509.69454858522,1118.1260273972603,120089298.37392856,118519836.8699718
2011-04-18,104970.43859297052,1117.731506849315,117211554.94820625,115642093.44424948
2011-04-19,105807.67537131411,1117.6,118132525.46951114,116643912.90838826
2011-04-20,113960.17131136364,1117.468493150685,127219681.23327018,124447555.8442624
2011-04-21,113925.62864051465,1117.33698630137,127166152.41526644,124394027.02625866
2011-04-25,113961.06127921496,1116.8109589041096,127145816.30866142,124373436.34233584
2011-04-26,114505.74593923158,1116.6794520547944,127738475.15738924,124868976.134247
2011-04-27,114504.98106505637,1116.5479452054794,127722578.74523582,124853079.72209358
2011-04-28,114383.56170087532,1116.4164383561645,127572116.44413967,124702617.42099744
2011-04-29,114844.0923205839,1116.2849315068493,128070659.07097831,125189531.26697995
2011-05-02,113917.11230474914,1115.890410958904,126992021.24375442,124110893.43975605
2011-05-03,111876.2648425902,1115.7589041095891,124702236.42022239,121821108.61622402
2011-05-04,112006.05530410714,1115.627397260274,124832191.76454681,122011941.962133
2011-05-05,112432.53412353751,1115.495890410959,125292737.02626975,122516851.88834137
2011-05-06,113842.14138303796,1115.3643835616438,126848621.22580384,124078134.74135496
2011-05-09,113330.28531253901,1114.9698630136986,126233619.07115386,123463132.58670498
2011-05-10,114087.11685642415,1114.8383561643836,127061632.18356629,124290541.89748888
2011-05-11,112831.88956109439,1114.7068493150684,125648831.28362967,122877740.99755226
2011-05-12,116027.6620196987,1114.5753424657535,129192378.75235404,125952727.44517171
2011-05-13,114915.11390944893,1114.4438356164383,127938501.81373246,124698850.50655013
2011-05-16,112629.22007854067,1114.0493150684931,125349156.32886796,122109505.02168563
2011-05-17,109806.047276523,1113.9178082191781,122192718.79268327,118953067.48550095
2011-05-18,115461.06934007158,1113.786301369863,128470486.88560201,124946598.43700778
2011-05-19,113738.28380535528,1113.654794520548,126538646.43393879,123014757.98534456
2011-05-20,112856.97061709639,1113.5232876712328,125543321.63652837,122019433.18793415
2011-05-23,105931.8971156612,1113.1287671232876,117798043.9913955,114274155.54280128
2011-05-24,103541.04939575953,1112.9972602739726,115125778.5248476,111601890.07625337
2011-05-25,106251.11457428467,1112.8657534246574,118125101.57134958,114872383.00826561
2011-05-26,108930.85084995549,1112.7342465753425,121089998.25108516,118015833.70088372
2011-05-27,112060.33264480963,1112.6027397260275,124554079.03618902,121564120.18882181
2011-05-31,115712.09463076,1112.0767123287671,128552173.60005073,125270698.67990555
2011-06-01,111915.88000752247,1111.945205479452,124320006.18519309,121038531.26504791
2011-06-02,111933.68509222442,1111.813698630137,124325079.34434272,121152250.39343327
2011-06-03,108902.56660444393,1111.682191780822,120944099.83355165,117771270.88264221
2011-06-06,106941.48947934169,1111.2876712328766,118724034.7669059,115551205.81599647
2011-06-07,108469.55046655271,1111.1561643835616,120406203.44537853,117417979.27176107
2011-06-08,102742.88806123956,1111.0246575342467,114035846.17614199,111047622.00252454
2011-06-09,103065.80428984818,1110.8931506849315,114380715.3400859,111691209.61253628
2011-06-10,98598.1505359557,1110.7616438356165,109409634.13433541,106720128.4067858
2011-06-13,95663.43844972007,1110.3671232876713,106115421.5336892,106115421.5336892
2011-06-14,97009.31733105908,1110.2356164383561,107595603.62368882,107595603.62368882
2011-06-15,95660.65242641144,1110.1041095890412,106087196.18833989,106087196.18833989
2011-06-16,94846.34273769123,1109.972602739726,105171670.2386606,105171670.2386606
2011-06-17,93832.73593408137,1109.841095890411,104035391.08838804,104035391.08838804
2011-06-20,93898.83960314238,1109.4465753424658,104071674.35198584,104071674.35198584
2011-06-21,95408.56384230964,1109.3150684931506,105732425.1084564,105732425.1084564
2011-06-22,95119.21417013454,1109.1835616438357,105399269.48450814,105399269.48450814
2011-06-23,96126.75002189573,1109.0520547945205,106503066.56593674,106503066.56593674
2011-06-24,94861.78293277996,1108.9205479452055,105089091.21765985,105089091.21765985
2011-06-27,95193.8511861316,1108.5260273972603,105419442.24576268,105419442.24576268
2011-06-28,95868.8342844099,1108.3945205479451,106154336.27588303,106154336.27588303
2011-06-29,95925.55676503392,1108.2630136986302,106204542.08904648,106204542.08904648
2011-06-30,96819.18238032941,1108.131506849315,107181205.25777532,107181205.25777532
2011-07-01,97424.51413980399,1108.0,107838523.14375906,107838523.14375906
2011-07-05,97210.78670762114,1108.207650273224,107622115.40306133,107622115.40306133
2011-07-06,96884.98598094075,1108.25956284153,107266445.7633818,107266445.7633818
2011-07-07,98049.8497626539,1108.311475409836,108561212.441718,108561212.441718
2011-07-08,97498.97793330737,1108.363387978142,107956341.16540128,107956341.16540128
2011-07-11,96573.2226641479,1108.51912568306,106946318.03402272,106946318.03402272
2011-07-12,94602.06939334722,1108.5710382513662,104768345.94216856,104768345.94216856
2011-07-13,94359.1695458057,1108.622950819672,104504236.74202284,104504236.74202284
2011-07-14,93336.65095742008,1108.6748633879781,103376622.12718192,103376622.12718192
2011-07-15,93679.03361298797,1108.7267759562842,103760692.22020833,103760692.22020833
2011-07-18,92822.59458061721,1108.8825136612022,102826525.47763188,102826525.47763188
2011-07-19,94924.78526252307,1108.9344262295083,105160202.07797734,105160202.07797734
2011-07-20,94685.50105776681,1108.9863387978141,104900027.12816124,104900027.12816124
2011-07-21,95184.75357736477,1109.0382513661202,105458074.58956613,105458074.58956613
2011-07-22,96327.32802879071,1109.0901639344263,106728963.07174501,106728963.07174501
2011-07-25,95759.93668007692,1109.2459016393443,106115202.10151695,106115202.10151695
2011-07-26,96183.96877070008,1109.2978142076502,106590076.24291159,106590076.24291159
2011-07-27,94462.14083142306,1109.3497267759562,104686863.25875235,104686863.25875235
2011-07-28,94338.19538041274,1109.4016393442623,104554394.21359563,104554394.21359563
2011-07-29,93937.9308952434,1109.4535519125684,104115655.4356096,104115655.4356096
2011-08-01,93893.11606453096,1109.6092896174864,104080593.2231133,104080593.2231133
2011-08-02,92222.30089627126,1109.6612021857923,102233276.00489135,102233276.00489135
2011-08-03,92850.18994107479,1109.7131147540983,102934139.3456741,102934139.3456741
2011-08-04,89820.65141379775,1109.7650273224044,99580237.4329165,99580237.4329165
2011-08-05,88526.59872980873,1109.8169398907103,98150168.73251665,98150168.73251665
2011-08-08,85950.46252948686,1109.9726775956285,95307357.67676052,95307357.67676052
2011-08-09,87803.8990041517,1110.0245901639344,97367119.886992,97367119.886992
2011-08-10,87803.8990041517,1110.0765027322404,97371673.45932426,97371673.45932426
2011-08-11,87803.8990041517,1110.1284153005465,97376227.0316565,97376227.0316565
2011-08-12,87803.8990041517,1110.1803278688524,97380780.60398875,97380780.60398875
2011-08-15,87803.8990041517,1110.3360655737704,97394441.32098551,97394441.32098551
2011-08-16,87803.8990041517,1110.3879781420765,97398994.89331777,97398994.89331777
2011-08-17,87803.8990041517,1110.4398907103825,97403548.46565004,97403548.46565004
2011-08-18,87803.8990041517,1110.4918032786886,97408102.0379823,97408102.0379823
2011-08-19,87803.8990041517,1110.5437158469945,97412655.61031453,97412655.61031453
2011-08-22,87803.8990041517,1110.6994535519125,97426316.32731129,97426316.32731129
2011-08-23,87803.8990041517,1110.7513661202186,97430869.89964357,97430869.89964357
2011-08-24,87803.8990041517,1110.8032786885246,97435423.47197582,97435423.47197582
2011-08-25,87803.8990041517,1110.8551912568305,97439977.04430807,97439977.04430807
2011-08-26,87803.8990041517,1110.9071038251366,97444530.61664033,97444530.61664033
2011-08-29,87803.8990041517,1111.0628415300546,97458191.33363709,97458191.33363709
2011-08-30,87803.8990041517,1111.1147540983607,97462744.90596934,97462744.90596934
2011-08-31,87803.8990041517,1111.1666666666667,97467298.47830161,97467298.47830161
2011-09-01,87803.8990041517,1111.2185792349726,97471852.05063385,97471852.05063385
2011-09-02,87803.8990041517,1111.2704918032787,97476405.62296611,97476405.62296611
2011-09-06,87803.8990041517,1111.4781420765028,97494619.91229513,97494619.91229513
2011-09-07,87803.8990041517,1111.5300546448088,97499173.48462738,97499173.48462738
2011-09-08,87803.8990041517,1111.5819672131147,97503727.05695963,97503727.05695963
2011-09-09,87803.8990041517,1111.6338797814208,97508280.6292919,97508280.6292919
2011-09-12,87803.8990041517,1111.7896174863388,97521941.34628867,97521941.34628867
2011-09-13,87803.8990041517,1111.8415300546449,97526494.91862091,97526494.91862091
2011-09-14,87803.8990041517,1111.8934426229507,97531048.49095316,97531048.49095316
2011-09-15,87803.8990041517,1111.9453551912568,97535602.06328543,97535602.06328543
2011-09-16,87803.8990041517,1111.9972677595629,97540155.63561767,97540155.63561767
2011-09-19,87803.8990041517,1112.1530054644809,97553816.35261445,97553816.35261445
2011-09-20,87803.8990041517,1112.204918032787,97558369.92494671,97558369.92494671
2011-09-21,87803.8990041517,1112.2568306010928,97562923.49727894,97562923.49727894
2011-09-22,87803.8990041517,1112.308743169399,97567477.0696112,97567477.0696112
2011-09-23,87803.8990041517,1112.360655737705,97572030.64194347,97572030.64194347
2011-09-26,87803.8990041517,1112.516393442623,97585691.35894023,97585691.35894023
2011-09-27,87803.8990041517,1112.568306010929,97590244.93127249,97590244.93127249
2011-09-28,87803.8990041517,1112.620218579235,97594798.50360474,97594798.50360474
2011-09-29,87803.8990041517,1112.672131147541,97599352.075937,97599352.075937
2011-09-30,87803.8990041517,1112.724043715847,97603905.64826925,97603905.64826925
2011-10-03,87803.8990041517,1112.879781420765,97617566.36526601,97617566.36526601
2011-10-04,87803.8990041517,1112.931693989071,97622119.93759826,97622119.93759826
2011-10-05,87803.8990041517,1112.983606557377,97626673.5099305,97626673.5099305
2011-10-06,87803.8990041517,1113.035519125683,97631227.08226278,97631227.08226278
2011-10-07,87803.8990041517,1113.0874316939892,97635780.65459505,97635780.65459505
2011-10-10,87803.8990041517,1113.2431693989072,97649441.3715918,97649441.3715918
2011-10-11,87803.8990041517,1113.295081967213,97653994.94392404,97653994.94392404
2011-10-12,87803.8990041517,1113.3469945355191,97658548.5162563,97658548.5162563
2011-10-13,87803.8990041517,1113.3989071038252,97663102.08858857,97663102.08858857
2011-10-14,87803.8990041517,1113.450819672131,97667655.6609208,97667655.6609208
2011-10-17,87803.8990041517,1113.6065573770493,97681316.37791759,97681316.37791759
2011-10-18,87803.8990041517,1113.6584699453551,97685869.95024984,97685869.95024984
2011-10-19,87803.8990041517,1113.7103825136612,97690423.52258208,97690423.52258208
