year,usd_ret,fx_end,fx_chg,krw_ret,realized_gain_krw,tax_assessed_krw,tax_paid_krw,krw_after_ret
2011,-0.12196100995848302,1117.448087431694,-0.01245350761583619,-0.1328956752079663,-14399939.511240639,0.0,0.0,-0.1328956752079663
2012,-0.3250706431970506,1110.9561643835616,-0.005809596992602306,-0.3289917107585518,-31853227.81622628,0.0,0.0,-0.3289917107585518
2013,0.5990443422606999,1073.9424657534246,-0.033316974887731,0.5457690220652318,37777453.31777179,7761039.729909794,0.0,0.4277682250042474
2014,0.07590362807015194,1092.1068493150685,0.01691373992637568,0.09410118222117436,9815374.781077432,1609382.451837035,7761039.729909794,0.09741990313680793
2015,-0.03090980433870183,1145.5,0.04889004287301901,0.016469056875001442,-3828599.871554318,0.0,1609382.451837035,0.02058515488293744
2016,0.48134439035967147,1145.5397260273974,3.4680076296256246e-05,0.4813957634961499,56089030.58931297,11789586.729648853,0.0,0.3690625971532573
2017,0.44545703792294855,1115.627397260274,-0.026111996020300454,0.4077132695011896,77127789.55974682,16418113.703144299,11789586.729648853,0.3145132595619631
2018,-0.010478901100145932,1133.0904109589042,0.01565308788715236,0.005010159627125255,-11413598.571756925,0.0,16418113.703144299,0.015437509446123654
2019,0.18873560780459853,1173.0,0.035221892847298486,0.23060512600646033,44004658.76204899,9131024.927650778,0.0,0.18096356021810123
2020,0.4794887692760528,1161.9506849315069,-0.009419705940744372,0.4655524201268384,136026503.02221555,29375830.66488742,9131024.927650778,0.33628715648575613
2021,0.6859725383152946,1218.2027397260274,0.04841174029501638,0.7675934029847442,313018919.3709272,68314162.26160398,29375830.66488742,0.575086810305095
2022,-0.13735787329164428,1298.9808219178083,0.06630922715700649,-0.08015674055653665,-106322265.76340842,0.0,68314162.26160398,-0.09216952920978438
2023,0.5129764284032328,1334.6830601092897,0.027484807773197728,0.5545602947032748,335464543.3386149,73252199.53449528,0.0,0.3795920450375041
2024,0.5919084836362491,1382.0493150684931,0.03548876611599816,0.6484033514900895,624642434.6534173,136871335.62375182,73252199.53449528,0.4627817934461331
2025,0.4405699229522606,1400.0,0.012988454706927222,0.4592807001486878,754612824.0903671,165464821.29988077,136871335.62375182,0.2554948049653547
2026,0.6544840806096659,1400.0,0.0,0.652829596529056,1597684223.3689888,350940529.14117754,165464821.29988077,0.40033430214478916
