date,usd,fx,krw_pre,krw_after
2002-05-22,100004.60317460318,1255.3835616438357,125418716.19791389,125417827.15949416
2002-05-23,100009.20656109852,1255.2739726027398,125413540.47632182,125411762.47916095
2002-05-24,100013.81015949577,1255.164383561644,125408364.01248233,125405697.13627389
2002-05-28,100018.4139698047,1254.7260273972602,125370336.89001767,125366782.14589502
2002-05-29,100023.01799203505,1254.6164383561643,125365157.4293722,125360714.19853966
2002-05-30,100027.62222619659,1254.5068493150684,125359977.22623757,125354645.58845335
2002-05-31,100032.22667229906,1254.3972602739725,125354796.2805564,125348576.31559372
2002-06-03,100036.83133035223,1254.0684931506848,125327710.61540864,125320603.64516653
2002-06-04,100041.43620036585,1253.958904109589,125322527.17618394,125314532.1936779
2002-06-05,100046.04128234967,1253.849315068493,125317342.99419414,125308460.07925546
2002-06-06,100050.64657631346,1253.7397260273972,125312158.06938182,125302387.3018568
2002-06-07,100055.25208226698,1253.6301369863013,125306972.40168957,125296313.86143945
2002-06-10,100059.85780021996,1253.3013698630136,125279876.9723417,125268332.75810169
2002-06-11,100063.47811107013,1253.1917808219177,125273454.87437262,125261031.68579343
2002-06-12,100153.90678428384,1253.0821917808219,125375701.3273352,125362379.35375042
2002-06-13,100157.16721695739,1252.972602739726,125368817.67319588,125354619.28886364
2002-06-14,100153.62477742475,1252.86301369863,125353418.75273344,125338345.01267609
2002-06-17,100350.94068083196,1252.5342465753424,125567422.45633642,125551432.99684852
2002-06-18,100354.34511881959,1252.4246575342465,125560695.62188934,125543827.38643618
2002-06-19,100124.56429482208,1252.3150684931506,125262238.35436262,125244539.16476324
2002-06-20,99877.20928338318,1252.2054794520548,124941846.89014193,124923330.19994958
2002-06-21,99672.50389787706,1252.0958904109589,124674857.65984231,124655517.80889292
2002-06-24,99993.93165065366,1251.7671232876712,125044072.09646629,125023810.06685492
2002-06-25,99603.62786323865,1251.6575342465753,124545086.16714765,124524040.12939517
2002-06-26,99583.55269651637,1251.5479452054794,124509081.67191476,124487176.89686733
2002-06-27,99868.70755568398,1251.4383561643835,124854676.53920752,124831844.17565972
2002-06-28,99773.8205805775,1251.3287671232877,124725126.77150266,124701451.35264967
2002-07-01,99515.53231619668,1251.0,124369561.36619586,124345086.88863234
2002-07-02,99337.14671597855,1250.8383561643836,124130582.72155327,124105288.79791267
2002-07-03,99495.32825030402,1250.676712328767,124312177.85031144,124285979.06649114
2002-07-05,99866.2738135384,1250.3534246575343,124743394.07646833,124716235.10906649
2002-07-08,99683.28212175335,1249.868493150685,124466527.09073976,124438559.40086918
2002-07-09,99528.91401027527,1249.7068493150684,124257707.83569579,124228918.14448884
2002-07-10,99411.43344752677,1249.545205479452,124094985.04914758,124065364.21508661
2002-07-11,99596.5161076119,1249.3835616438357,124309940.08176406,124279397.95370162
2002-07-12,99673.6296419206,1249.2219178082191,124390092.68350272,124358659.79438108
2002-07-15,99687.00980727973,1248.7369863013698,124358497.70243517,124326200.98057544
2002-07-16,99757.62687848244,1248.5753424657535,124430482.66071136,124397294.50028475
2002-07-17,99775.98457986294,1248.4136986301369,124437268.67513508,124403205.12272641
