date,usd,fx,krw_pre,krw_after
2011-01-03,100000.0,1131.5397260273974,113040931.67106868,113040931.67106868
2011-01-04,100000.0,1131.4082191780822,113027794.12368454,113027794.12368454
2011-01-05,100000.0,1131.2767123287672,113014656.57630043,113014656.57630043
2011-01-06,100000.0,1131.145205479452,113001519.0289163,113001519.0289163
2011-01-07,100000.0,1131.013698630137,112988381.48153219,112988381.48153219
2011-01-10,100000.0,1130.6191780821919,112948968.83937982,112948968.83937982
2011-01-11,100000.0,1130.4876712328767,112935831.29199567,112935831.29199567
2011-01-12,100000.0,1130.3561643835617,112922693.74461158,112922693.74461158
2011-01-13,99987.50383610837,1130.2246575342465,112895446.83403571,112895446.83403571
2011-01-14,100995.22106594843,1130.0931506849315,114019987.59094788,114019987.59094788
2011-01-18,100978.6766516085,1129.5671232876712,113948245.05369966,113948245.05369966
2011-01-19,99810.72547089407,1129.4356164383562,112617171.07830049,112617171.07830049
2011-01-20,98667.78975931669,1129.304109589041,111314625.83343041,111314625.83343041
2011-01-21,97857.9265766624,1129.172602739726,110388101.54973318,110388101.54973318
2011-01-24,102277.4956674866,1128.7780821917809,115333262.14877494,115183720.9208928
2011-01-25,101741.08669928747,1128.6465753424657,114715014.060711,114565472.83282886
2011-01-26,102867.51686140515,1128.5150684931507,115971571.26530367,115822758.14705695
2011-01-27,104919.74318541169,1128.3835616438357,118271442.06025118,117613460.08922613
2011-01-28,104271.69017104025,1128.2520547945205,117527221.47090288,116869239.49987783
2011-01-31,104527.33361530208,1127.8575342465754,117774166.58613764,117126456.6904792
2011-02-01,106001.72293968705,1127.7260273972602,119421480.42761071,118492587.66079977
2011-02-02,106082.7450016255,1127.5945205479452,119498823.1653525,118568375.1775635
2011-02-03,106086.97556278628,1127.4630136986302,119489651.5306613,118557700.81225738
2011-02-04,106316.87787032651,1127.331506849315,119734631.50156823,118731270.6224474
2011-02-07,106316.87787032651,1126.9369863013699,119692729.21094564,118689368.33182481
2011-02-08,106316.87787032651,1126.805479452055,119678761.7807381,118675400.90161727
2011-02-09,106300.49361598276,1126.6739726027397,119646353.0788726,118642992.19975178
2011-02-10,106439.38409508852,1126.5424657534247,119788697.51424265,118782716.49296212
2011-02-11,106778.06083892268,1126.4109589041095,120155822.07741484,119139103.88297449
2011-02-14,107076.11081894208,1126.0164383561644,120449011.92544968,119259620.64257549
2011-02-15,107059.74968707807,1125.8849315068494,120416542.40117517,119227151.11830097
2011-02-16,107575.04294912514,1125.7534246575342,120981991.01664233,119780666.4878804
2011-02-17,108228.39803877776,1125.6219178082192,121702554.40731303,120228713.24839073
2011-02-18,108211.76683057443,1125.490410958904,121669636.28444788,120195795.12552558
2011-02-22,106215.81980859276,1124.964383561644,119369644.61085737,117895803.45193507
2011-02-23,104618.03578776076,1124.8328767123287,117560245.90523507,116086404.74631277
2011-02-24,106738.69416223082,1124.7013698630137,119929226.31533495,118361764.992913
2011-02-25,108591.49616981344,1124.5698630136985,121996727.24489479,120268920.66281493
2011-02-28,108257.42596979006,1124.1753424657534,121578750.16388582,119850943.58180596
2011-03-01,106752.67986909476,1124.0438356164384,119874816.92546557,118147010.34338571
2011-03-02,108404.27470254478,1123.9123287671232,121715185.64360444,120010100.15887982
2011-03-03,110498.83536993184,1123.7808219178082,124052419.61336923,122007341.98651077
2011-03-04,109871.54457524244,1123.6493150684933,123333752.05543317,121288674.42857471
2011-03-07,107047.37053720093,1123.2547945205479,120121350.8458827,118076273.21902424
2011-03-08,107283.62989732147,1123.123287671233,120372370.75283065,118410114.66562681
2011-03-09,103618.60760003168,1122.9917808219177,116246598.07697012,114284341.98976627
2011-03-10,99757.68874365746,1122.8602739726027,111902043.66990694,109939787.5827031
2011-03-11,101346.39331841312,1122.7287671232878,113670840.38239138,111930597.75850524
2011-03-14,101120.81048272572,1122.3342465753424,113377970.67554243,111637728.05165629
2011-03-15,99108.6343685922,1122.2027397260274,111108872.1467925,109368629.52290636
2011-03-16,94839.61451794971,1122.0712328767124,106310492.69501299,104570250.07112685
2011-03-17,97548.49089595857,1121.9397260273972,109334192.9572406,107888920.78548528
2011-03-18,98232.14215063868,1121.8082191780823,110087536.91514109,108890910.39209208
2011-03-21,101471.47309962925,1121.4136986301369,113677822.13197172,112436819.12196885
2011-03-22,100323.75761242016,1121.282191780822,112378863.95938303,111137860.94938016
2011-03-23,101942.08943291345,1121.150684931507,114178265.12593393,113074630.92845845
2011-03-24,105991.57585584254,1121.0191780821917,118699889.36019272,117113382.43705945
2011-03-25,105793.44815856131,1120.8876712328768,118464107.63051535,116877600.70738208
2011-03-28,105902.53486284806,1120.4931506849316,118544520.43355988,117031848.61357746
2011-03-29,106483.57450741534,1120.3616438356164,119180931.64497523,117720411.95313996
2011-03-30,106545.11396148251,1120.2301369863014,119235811.79649617,117820722.14752702
2011-03-31,106077.87223183259,1120.0986301369862,118698980.39432761,117414013.66407569
2011-04-01,105202.8302985144,1119.9671232876713,117706005.2059423,116421038.47569038
2011-04-04,104157.85469458009,1119.572602739726,116495784.69150573,115210817.9612538
2011-04-05,107721.98753336129,1119.441095890411,120467951.82401514,119043335.37736832
2011-04-06,108916.1635566415,1119.309589041096,121789117.15336385,120104191.25233074
2011-04-07,108847.64731565735,1119.1780821917807,121698202.97085388,120013277.06982076
2011-04-08,108323.38506541488,1119.0465753424658,121097815.27168405,119506262.359723
2011-04-11,107573.96982660895,1118.6520547945206,120217624.76417571,118626071.85221466
2011-04-12,104876.78816445373,1118.5205479452054,117189652.9115265,115598099.99956545
2011-04-13,105345.94397572445,1118.3890410958904,117700049.21713474,116501748.32453553
2011-04-14,105418.69235051904,1118.2575342465752,117767479.49189784,116617885.52492571
2011-04-15,106078.63455302257,1118.1260273972603,118490791.45304383,117368829.05654132
2011-04-18,104417.09112577685,1117.731506849315,116593678.9259109,115471716.5294084
2011-04-19,104965.22941133389,1117.6,117191948.44166508,116122910.45171
2011-04-20,110302.66853510954,1117.468493150685,123136620.17825009,121227202.92618783
2011-04-21,110280.03667120804,1117.33698630137,123096866.95645572,121187449.70439346
2011-04-25,110303.25162931716,1116.8109589041096,123064815.40697204,121155231.38384129
2011-04-26,110660.12126582341,1116.6794520547944,123448435.14429252,121475220.64132318
2011-04-27,110659.62012516786,1116.5479452054794,123433338.12984526,121460123.62687592
2011-04-28,110580.06300318833,1116.4164383561645,123330070.02119862,121356855.51822928
2011-04-29,110881.8570668759,1116.2849315068493,123652094.12712272,121671259.30915679
2011-05-02,110274.3896848359,1115.890410958904,122931202.82083304,120950368.00286712
2011-05-03,108936.96361116301,1115.7589041095891,121425961.1746428,119445126.35667688
2011-05-04,109022.01949663961,1115.627397260274,121506445.40968521,119565505.79416128
2011-05-05,109301.50485480613,1115.495890410959,121803575.90536436,119891709.7806299
2011-05-06,110225.26606367892,1115.3643835616438,122818517.4186148,120910189.1087238
2011-05-09,109889.83023269396,1114.9698630136986,122401447.51363176,120493119.20374076
2011-05-10,110385.80641129293,1114.8383561643836,122939391.57187383,121030667.48367004
2011-05-11,109563.21518724448,1114.7068493150684,122008857.5446575,120100133.45645371
2011-05-12,111657.51591060925,1114.5753424657535,124326387.64729533,122110597.11166354
2011-05-13,110928.43295943961,1114.4438356164383,123500008.2979409,121284217.7623091
2011-05-16,109430.41073163741,1114.0493150684931,121789085.03820634,119573294.50257455
2011-05-17,107580.28559870546,1113.9178082191781,119715880.06164157,117500089.52600978
2011-05-18,111286.22789056404,1113.786301369863,123825250.90473029,121423187.90854216
2011-05-19,110157.2257622006,1113.654794520548,122554568.05310403,120152505.0569159
2011-05-20,109575.25421679925,1113.5232876712328,121892704.61828314,119490641.622095
2011-05-23,104748.77806849264,1113.1287671232876,116482395.79325883,114080332.7970707
2011-05-24,102693.33651749467,1112.9972602739726,114183218.9733913,111781155.97720316
2011-05-25,105378.18548368406,1112.8657534246574,117154619.16365972,114928126.10973854
2011-05-26,108003.92002901965,1112.7342465753425,120059600.97969504,117732165.18039241
2011-05-27,110074.43871386393,1112.6027397260275,122346775.31153819,120071948.27819802
2011-05-31,112488.63360104783,1112.0767123287671,124971018.81059797,122482392.62713161
2011-06-01,110146.97481236828,1111.945205479452,122355045.49518369,119866419.31171733
2011-06-02,110158.2272494094,1111.813698630137,122353072.99970533,119931477.45991808
2011-06-03,108242.01735191606,1111.682191780822,120210512.57997584,117788917.0401886
2011-06-06,106987.20176034418,1111.2876712328766,118774783.51246236,116353187.97267511
2011-06-07,107971.57445339215,1111.1561643835616,119853427.10498041,117547003.4141637
2011-06-08,104273.56180456477,1111.0246575342467,115734763.53026243,113428339.83944571
2011-06-09,104509.8222827774,1110.8931506849315,115983262.49074611,113865647.52472553
2011-06-10,101231.59299838386,1110.7616438356165,112331838.80817477,110214223.84215419
2011-06-13,98797.91473697135,1110.3671232876713,109592364.00930221,109592364.00930221
2011-06-14,100015.84619788743,1110.2356164383561,110930224.4326827,110930224.4326827
2011-06-15,98927.8354773634,1110.1041095890412,109710486.22993973,109710486.22993973
2011-06-16,98266.33743406383,1109.972602739726,108963978.34504296,108963978.34504296
2011-06-17,97349.39283351963,1109.841095890411,107934422.40421535,107934422.40421535
2011-06-20,97415.40042003263,1109.4465753424658,107969213.16845177,107969213.16845177
2011-06-21,98920.85708719413,1109.3150684931506,109624772.58249944,109624772.58249944
2011-06-22,98663.58211952333,1109.1835616438357,109326696.72314881,109326696.72314881
2011-06-23,99525.89385286467,1109.0520547945205,110269127.95482609,110269127.95482609
2011-06-24,98523.76569318424,1108.9205479452055,109145882.35575515,109145882.35575515
2011-06-27,98779.80994358819,1108.5260273972603,109390599.7041181,109390599.7041181
2011-06-28,99300.59662333172,1108.3945205479451,109954282.90154113,109954282.90154113
2011-06-29,99345.71647055514,1108.2630136986302,109991191.94176532,109991191.94176532
2011-06-30,100055.54990079044,1108.131506849315,110763943.33686289,110763943.33686289
2011-07-01,100471.37612374318,1108.0,111211073.67143601,111211073.67143601
2011-07-05,100341.39783282124,1108.207650273224,111088016.70074087,111088016.70074087
2011-07-06,100341.39783282124,1108.25956284153,111093220.47663388,111093220.47663388
2011-07-07,100341.39783282124,1108.311475409836,111098424.25252692,111098424.25252692
2011-07-08,100341.39783282124,1108.363387978142,111103628.02841994,111103628.02841994
2011-07-11,100341.39783282124,1108.51912568306,111119239.35609902,111119239.35609902
2011-07-12,100339.60350871841,1108.5710382513662,111122455.98340699,111122455.98340699
2011-07-13,100320.64298208154,1108.622950819672,111106660.59033173,111106660.59033173
2011-07-14,100239.0037099158,1108.6748633879781,111021442.30193602,111021442.30193602
2011-07-15,100294.45633360396,1108.7267759562842,111088061.15588917,111088061.15588917
2011-07-18,100154.2508519925,1108.8825136612022,110948349.08952254,110948349.08952254
2011-07-19,100639.22181620791,1108.9344262295083,111490806.8940467,111490806.8940467
2011-07-20,100625.19662914882,1108.9863387978141,111480487.91265726,111480487.91265726
2011-07-21,100654.45936291017,1109.0382513661202,111518127.47656755,111518127.47656755
2011-07-22,100720.56333642153,1109.0901639344263,111596589.51284668,111596589.51284668
2011-07-25,100718.81140383446,1109.2459016393443,111610318.44924021,111610318.44924021
2011-07-26,100762.44830258621,1109.2978142076502,111663899.75651373,111663899.75651373
2011-07-27,100583.84973704745,1109.3497267759562,111471195.0288386,111471195.0288386
2011-07-28,100560.65414318416,1109.4016393442623,111450703.85612379,111450703.85612379
2011-07-29,100484.58872712168,1109.4535519125684,111371612.26351528,111371612.26351528
2011-08-01,100473.44571030654,1109.6092896174864,111374893.82620811,111374893.82620811
2011-08-02,100056.97723934976,1109.6612021857923,110918427.22327004,110918427.22327004
2011-08-03,100245.55637994394,1109.7131147540983,111132675.93471046,111132675.93471046
2011-08-04,99334.91641450813,1109.7650273224044,110128287.94087452,110128287.94087452
2011-08-05,98889.99639365324,1109.8169398907103,109640153.03037725,109640153.03037725
2011-08-08,97787.53922854245,1109.9726775956285,108433063.68930353,108433063.68930353
2011-08-09,98752.88211653614,1110.0245901639344,109508618.88003534,109508618.88003534
2011-08-10,98396.10168080479,1110.0765027322404,109118082.35395975,109118082.35395975
2011-08-11,99392.93236502264,1110.1284153005465,110228689.80864835,110228689.80864835
2011-08-12,99337.50415331,1110.1803278688524,110172370.56003515,110172370.56003515
2011-08-15,99665.48992289341,1110.3360655737704,110551636.3181496,110551636.3181496
2011-08-16,99365.179013581,1110.3879781420765,110223676.54606964,110223676.54606964
2011-08-17,99232.98121418375,1110.4398907103825,110082178.63570794,110082178.63570794
2011-08-18,98016.99852923937,1110.4918032786886,108738335.11358602,108738335.11358602
2011-08-19,97622.62033273409,1110.5437158469945,108305881.65338151,108305881.65338151
2011-08-22,97799.87945101426,1110.6994535519125,108517754.90877569,108517754.90877569
2011-08-23,98697.59291581858,1110.7513661202186,109518967.19682588,109518967.19682588
2011-08-24,98689.46621784712,1110.8032786885246,109515067.57922576,109515067.57922576
2011-08-25,98281.32389880325,1110.8551912568305,109067251.60497463,109067251.60497463
2011-08-26,98656.46133167249,1110.9071038251366,109488675.05654833,109488675.05654833
2011-08-29,99169.46190098434,1111.0628415300546,110073430.70201215,110073430.70201215
2011-08-30,99169.46190098434,1111.1147540983607,110078573.7004785,110078573.7004785
2011-08-31,99070.78758776821,1111.1666666666667,109974182.62531647,109974182.62531647
2011-09-01,98845.44924791568,1111.2185792349726,109729170.50660485,109729170.50660485
2011-09-02,98551.05298669153,1111.2704918032787,109407469.65060107,109407469.65060107
2011-09-06,98472.10486050036,1111.4781420765028,109340251.9048067,109340251.9048067
2011-09-07,98974.9472108046,1111.5300546448088,109903724.75693579,109903724.75693579
2011-09-08,98915.73286280438,1111.5819672131147,109843101.8221409,109843101.8221409
2011-09-09,98787.3267170245,1111.6338797814208,109705633.63804272,109705633.63804272
2011-09-12,99231.25725031224,1111.7896174863388,110214067.47353959,110214067.47353959
2011-09-13,99448.71902038755,1111.8415300546449,110460755.16243972,110460755.16243972
2011-09-14,99704.25896571082,1111.8934426229507,110749761.98357084,110749761.98357084
2011-09-15,99780.42599625906,1111.9453551912568,110839541.68386135,110839541.68386135
2011-09-16,99784.18295544398,1111.9972677595629,110848889.92215191,110848889.92215191
2011-09-19,99747.28326001782,1112.1530054644809,110823417.44709863,110823417.44709863
2011-09-20,99666.54148789198,1112.204918032787,110738878.72742486,110738878.72742486
2011-09-21,99430.41417874492,1112.2568306010928,110481675.66414066,110481675.66414066
2011-09-22,98940.38843030477,1112.308743169399,109942316.78681763,109942316.78681763
2011-09-23,99256.32882700201,1112.360655737705,110298536.4836376,110298536.4836376
2011-09-26,99246.42749019104,1112.516393442623,110302974.59885329,110302974.59885329
2011-09-27,99543.21806669931,1112.568306010929,110637991.50783633,110637991.50783633
2011-09-28,99213.36463564956,1112.620218579235,110276518.92796978,110276518.92796978
2011-09-29,99009.39233401934,1112.672131147541,110054936.63528104,110054936.63528104
2011-09-30,98383.2376666961,1112.724043715847,109364030.02032302,109364030.02032302
2011-10-03,97607.64894178751,1112.879781420765,108517061.9573739,108517061.9573739
2011-10-04,98547.60245190696,1112.931693989071,109567182.95240994,109567182.95240994
2011-10-05,99122.7094803387,1112.983606557377,110211738.95021626,110211738.95021626
2011-10-06,99285.04916183655,1113.035519125683,110397388.8464173,110397388.8464173
2011-10-07,99353.66601033439,1113.0874316939892,110478838.09073478,110478838.09073478
2011-10-10,99672.09992194323,1113.2431693989072,110848435.9817669,110848435.9817669
2011-10-11,99652.9664871213,1113.295081967213,110832325.16838728,110832325.16838728
2011-10-12,99727.31461783008,1113.3469945355191,110920185.81704223,110920185.81704223
2011-10-13,99837.94296936822,1113.3989071038252,111048408.1814072,111048408.1814072
2011-10-14,99897.23615177204,1113.450819672131,111119539.93623479,111119539.93623479
2011-10-17,99806.49769051932,1113.6065573770493,111034136.16083881,111034136.16083881
2011-10-18,99951.54773481724,1113.6584699453551,111200687.03199472,111200687.03199472
2011-10-19,99809.2435961971,1113.7103825136612,111047543.32059929,111047543.32059929
