date,usd,fx,krw_pre,krw_after
2002-05-22,100004.60317460318,1255.3835616438357,125418716.19791389,125417827.15949416
2002-05-23,100009.20656109852,1255.2739726027398,125413540.47632182,125411762.47916095
2002-05-24,100013.81015949577,1255.164383561644,125408364.01248233,125405697.13627389
2002-05-28,100018.4139698047,1254.7260273972602,125370336.89001767,125366782.14589502
2002-05-29,100023.01799203505,1254.6164383561643,125365157.4293722,125360714.19853966
2002-05-30,100027.62222619659,1254.5068493150684,125359977.22623757,125354645.58845335
2002-05-31,100032.22667229906,1254.3972602739725,125354796.2805564,125348576.31559372
2002-06-03,100036.83133035223,1254.0684931506848,125327710.61540864,125320603.64516653
2002-06-04,100041.43620036585,1253.958904109589,125322527.17618394,125314532.1936779
2002-06-05,100046.04128234967,1253.849315068493,125317342.99419414,125308460.07925546
2002-06-06,100050.64657631346,1253.7397260273972,125312158.06938182,125302387.3018568
2002-06-07,100055.25208226698,1253.6301369863013,125306972.40168957,125296313.86143945
2002-06-10,100059.85780021996,1253.3013698630136,125279876.9723417,125268332.75810169
2002-06-11,100063.72451584814,1253.1917808219177,125273763.35833119,125261338.04894468
2002-06-12,100132.69755625373,1253.0821917808219,125349150.97174484,125335829.72784746
2002-06-13,100136.2758552359,1252.972602739726,125342667.51947863,125328467.30362293
2002-06-14,100134.65823895369,1252.86301369863,125329680.01692098,125314601.65408263
2002-06-17,100286.45425426232,1252.5342465753424,125486731.68938562,125470745.01819047
2002-06-18,100291.07061485498,1252.4246575342465,125481528.2403124,125464652.86167362
2002-06-19,100294.91674311072,1252.3150684931506,125475360.17049307,125457602.8316961
2002-06-20,100200.98731575564,1252.2054794520548,125346878.48481025,125328262.90442477
2002-06-21,100095.4488313051,1252.0958904109589,125203896.23428325,125184425.50665821
2002-06-24,100266.8012230327,1251.7671232876712,125385300.02818422,125364923.65742493
2002-06-25,100063.5871210848,1251.6575342465753,125120222.50134304,125099011.8182768
2002-06-26,100055.21522817652,1251.5479452054794,125098800.22569063,125076715.82670169
2002-06-27,100207.47840168125,1251.4383561643835,125278203.84253544,125255209.41036196
2002-06-28,100159.73511799984,1251.3287671232877,125207550.31029151,125183690.52695821
2002-07-01,100025.99790379219,1251.0,125007515.86178227,124982816.07449074
2002-07-02,99934.31157392723,1250.8383561643836,124876793.22033016,124851241.21837941
2002-07-03,100019.75225079844,1250.676712328767,124967407.50546093,124940958.22907832
2002-07-05,100217.16544137133,1250.3534246575343,125181694.3247646,125154320.29216483
2002-07-08,100123.05534309593,1249.868493150685,125015636.67464332,124987419.85883617
2002-07-09,100044.00922368372,1249.7068493150684,124900782.77700044,124871712.86808908
2002-07-10,99984.3762040302,1249.545205479452,124810187.72087888,124780259.96049894
2002-07-11,100083.97477875969,1249.3835616438357,124918354.51804058,124887521.32164398
2002-07-12,100126.75199094386,1249.2219178082191,124955577.56846635,124923855.15361999
2002-07-15,100135.98801837838,1248.7369863013698,124918593.30507483,124886000.0019004
2002-07-16,100175.34650574428,1248.5753424657535,124951516.05398121,124918033.43354207
2002-07-17,100187.202288523,1248.4136986301369,124950125.63878193,124915762.26065713
