date,usd,fx,krw_pre,krw_after
2011-01-03,100000.0,1131.5397260273974,113040931.67106868,113040931.67106868
2011-01-04,100000.0,1131.4082191780822,113027794.12368454,113027794.12368454
2011-01-05,100000.0,1131.2767123287672,113014656.57630043,113014656.57630043
2011-01-06,100000.0,1131.145205479452,113001519.0289163,113001519.0289163
2011-01-07,100000.0,1131.013698630137,112988381.48153219,112988381.48153219
2011-01-10,100000.0,1130.6191780821919,112948968.83937982,112948968.83937982
2011-01-11,100000.0,1130.4876712328767,112935831.29199567,112935831.29199567
2011-01-12,100000.0,1130.3561643835617,112922693.74461158,112922693.74461158
2011-01-13,99990.62787708128,1130.2246575342465,112898974.17483364,112898974.17483364
2011-01-14,100746.41579946132,1130.0931506849315,113739095.35567175,113739095.35567175
2011-01-18,100743.3275560277,1129.5671232876712,113682668.02985993,113682668.02985993
2011-01-19,100516.45217491405,1129.4356164383562,113413447.67669392,113413447.67669392
2011-01-20,99971.75171381266,1129.304109589041,112785724.328895,112785724.328895
2011-01-21,99505.37084066053,1129.172602739726,112246492.08664365,112246492.08664365
2011-01-24,102246.64457844611,1128.7780821917809,115298472.90489815,115289537.86615726
2011-01-25,102009.09035766016,1128.6465753424657,115017193.2926806,115008258.25393972
2011-01-26,102643.9658248919,1128.5150684931507,115719542.5807058,115701951.61067453
2011-01-27,103797.68332898489,1128.3835616438357,117006593.01212685,116620402.98216325
2011-01-28,103668.55810591453,1128.2520547945205,116847416.28429893,116461226.25433533
2011-01-31,103815.78672686941,1127.8575342465754,116972444.78884645,116586181.25398049
2011-02-01,104663.03010085835,1127.7260273972602,117913309.8411597,117312970.26146111
2011-02-02,104677.97563257102,1127.5945205479452,117916395.34998843,117315768.89034761
2011-02-03,104678.7560124389,1127.4630136986302,117903522.20180617,117302618.54472649
2011-02-04,104721.1643657436,1127.331506849315,117937530.49295558,117323454.3394463
2011-02-07,104721.1643657436,1126.9369863013699,117896257.11518633,117282180.96167706
2011-02-08,104721.1643657436,1126.805479452055,117882499.3225966,117268423.16908732
2011-02-09,104721.1643657436,1126.6739726027397,117868741.53000681,117254665.37649754
2011-02-10,104721.1643657436,1126.5424657534247,117854983.73741707,117240907.5839078
2011-02-11,104721.1643657436,1126.4109589041095,117841225.9448273,117227149.79131803
2011-02-14,104721.1643657436,1126.0164383561644,117799952.56705806,117185876.41354878
2011-02-15,104708.76381364849,1125.8849315068494,117772247.12736915,117158170.97385988
2011-02-16,105099.31875773119,1125.7534246575342,118197720.30038933,117574599.61142097
2011-02-17,105594.51456039256,1125.6219178082192,118740759.23026675,117911090.68769157
2011-02-18,105594.51456039256,1125.490410958904,118726886.70088133,117897218.15830615
2011-02-22,105583.29285927246,1124.964383561644,118658785.18065932,117829116.63808414
2011-02-23,104969.05755080761,1124.8328767123287,117954692.27837855,117125023.73580337
2011-02-24,106058.34388372011,1124.7013698630137,119164799.85157104,118203467.53943735
2011-02-25,106714.16679629307,1124.5698630136985,119887648.28744084,118782202.25591737
2011-02-28,106702.99530395662,1124.1753424657534,119833043.24470241,118727597.21317895
2011-03-01,106024.33117688049,1124.0438356164384,119056938.9457825,117951492.91425903
2011-03-02,106967.3523079678,1123.9123287671232,120101824.21029113,118990730.68578014
2011-03-03,108160.42874235577,1123.7808219178082,121427188.32274435,120036221.26586199
2011-03-04,107889.74498706518,1123.6493150684933,121109128.92870149,119718161.87181912
2011-03-07,106268.74271684026,1123.2547945205479,119247627.13722417,117856660.0803418
2011-03-08,106417.88389935702,1123.123287671233,119401002.62943201,118046967.45952335
2011-03-09,104102.56050816589,1122.9917808219177,116789530.28290376,115435495.1129951
2011-03-10,101531.96503876973,1122.8602739726027,113892317.76264708,112538282.59273842
2011-03-11,102621.60734689317,1122.7287671232878,115101129.5672203,113874710.92810468
2011-03-14,102466.8872021556,1122.3342465753424,114887209.4375144,113660790.79839878
2011-03-15,101085.83060204306,1122.2027397260274,113325470.57851532,112099051.9393997
2011-03-16,98094.37791586119,1122.0712328767124,109958920.64567885,108732502.00656323
2011-03-17,100019.84162361223,1121.9397260273972,112104129.57892026,111057806.49829526
2011-03-18,100505.77951665576,1121.8082191780823,112635573.96272187,111739375.74912442
2011-03-21,102807.72588604536,1121.4136986301369,115174817.3163071,114209025.49398442
2011-03-22,102014.17770452364,1121.282191780822,114272408.36088565,113306616.53856297
2011-03-23,102905.87558670013,1121.150684931507,115257735.16234295,114375035.1675531
2011-03-24,105140.48891160853,1121.0191780821917,117746757.70514604,116656565.52892777
2011-03-25,105003.2703940732,1120.8876712328768,117579291.93191689,116489099.75569862
2011-03-28,105078.8212436033,1120.4931506849316,117622477.00849532,116574113.52188414
2011-03-29,105481.23544288406,1120.3616438356164,118059071.26333794,117038450.12919055
2011-03-30,105523.85620097547,1120.2301369863014,118092910.97636518,117096214.33550587
2011-03-31,105199.48417750522,1120.0986301369862,117716082.03630486,116792542.06596887
2011-04-01,104565.44322980093,1119.9671232876713,116992865.78359686,116069325.81326087
2011-04-04,103795.42022747523,1119.572602739726,116090418.3581799,115166878.3878439
2011-04-05,106442.16527731976,1119.441095890411,119036697.44954154,117975394.73467481
2011-04-06,107320.4782887923,1119.309589041096,120004835.6135085,118735883.81890576
2011-04-07,107286.04826039095,1119.1780821917807,119952241.49650268,118683289.70189995
2011-04-08,107143.17872887733,1119.0465753424658,119778428.79905686,118543678.94957015
2011-04-11,106756.31715683026,1118.6520547945206,119303869.68010361,118069119.8306169
2011-04-12,105122.64769839462,1118.5205479452054,117464377.12793122,116229627.27844451
2011-04-13,105427.30850152983,1118.3890410958904,117790955.50484173,116743660.23580241
2011-04-14,105476.49034006332,1118.2575342465752,117832047.96070124,116813662.44379342
2011-04-15,105922.64698530255,1118.1260273972603,118316551.93314558,117313229.96423896
2011-04-18,104798.10812362743,1117.731506849315,117019128.17979975,116015806.21089312
2011-04-19,105183.4962537458,1117.6,117435639.7734129,116464540.18543117
2011-04-20,108934.60541697172,1117.468493150685,121609379.98728056,120005716.35594931
2011-04-21,108922.94274825114,1117.33698630137,121582050.53886874,119978386.90753749
2011-04-25,108934.90589750688,1116.8109589041096,121538158.55496864,119934042.89721148
2011-04-26,109118.35618627365,1116.6794520547944,121728497.69751045,120084462.9002968
2011-04-27,109118.17070462504,1116.5479452054794,121713955.32950033,120069920.53228669
2011-04-28,109095.25573671304,1116.4164383561645,121674062.78834775,120030027.9911341
2011-04-29,109111.72150500069,1116.2849315068493,121678092.4743298,120033250.27828273
2011-05-02,109066.40681422329,1115.890410958904,121584572.94878587,119939730.7527388
2011-05-03,108531.90001490724,1115.7589041095891,120974459.36220221,119329617.16615514
2011-05-04,108575.67833072756,1115.627397260274,121008992.42944887,119377273.08853269
2011-05-05,108719.5296140151,1115.495890410959,121155033.45838802,119531608.15402971
2011-05-06,109194.99006825623,1115.3643835616438,121670532.25324719,120042924.76823397
2011-05-09,109022.34104268881,1114.9698630136986,121435189.46833116,119807581.98331794
2011-05-10,109277.62028250145,1114.8383561643836,121705177.38391572,120071963.4050753
2011-05-11,108850.06910403304,1114.7068493150684,121214702.87580836,119581488.89696793
2011-05-12,110091.25230691131,1114.5753424657535,122582412.82962972,120712675.72856283
2011-05-13,109838.95519462437,1114.4438356164383,122287059.46773158,120417322.3666647
2011-05-16,109024.14581645328,1114.0493150684931,121336938.0347126,119467200.93364571
2011-05-17,107887.87942734073,1113.9178082191781,120058172.01310526,118188434.91203837
2011-05-18,110292.07573913095,1113.786301369863,122719084.0238676,120693171.09029816
2011-05-19,109604.0623028903,1113.654794520548,121939150.33221045,119913237.398641
2011-05-20,109238.0392025598,1113.5232876712328,121517582.96862479,119491670.03505534
2011-05-23,106814.06019011994,1113.1287671232876,118779024.10675411,116753111.17318466
2011-05-24,105682.85029316446,1112.9972602739726,117507215.61861785,115481302.6850484
2011-05-25,107295.51509914603,1112.8657534246574,119286218.031866,117345409.2475203
2011-05-26,108865.90419929964,1112.7342465753425,121017802.08486624,118946997.96257304
2011-05-27,109869.77045388668,1112.6027397260275,122119288.33173235,120074564.20985971
2011-05-31,111043.4702545898,1112.0767123287671,123365491.83446702,121249880.81976855
2011-06-01,109613.138100026,1111.945205479452,121762041.32655442,119646430.31185594
2011-06-02,109620.65328261246,1111.813698630137,121755987.98440884,119677392.82375044
2011-06-03,108339.44374986071,1111.682191780822,120318711.57258767,118240116.41192926
2011-06-06,107465.17179769938,1111.2876712328766,119305415.09061575,117226819.92995735
2011-06-07,108164.66932985056,1111.1561643835616,120067771.32304998,118059096.20878178
2011-06-08,105536.15304450854,1111.0246575342467,117136132.16159536,115127457.04732716
2011-06-09,105706.25780075457,1110.8931506849315,117311046.7286652,115425790.71107328
2011-06-10,103345.4190758269,1110.7616438356165,114677450.12542075,112792194.10782883
2011-06-13,101576.4526422839,1110.3671232876713,112674479.03514403,112385945.40782665
2011-06-14,102456.81322466496,1110.2356164383561,113637565.62317225,113364186.44174397
2011-06-15,101674.0869691301,1110.1041095890412,112756065.71742749,112482686.53599921
2011-06-16,101195.85120879633,1109.972602739726,112212409.94274698,111939030.7613187
2011-06-17,100530.21358583277,1109.841095890411,111461101.31488284,111187722.13345456
2011-06-20,100578.29006056138,1109.4465753424658,111474764.69679423,111276682.56498612
2011-06-21,101674.73769970122,1109.3150684931506,112676641.97339381,112500242.48791872
2011-06-22,101489.66656116648,1109.1835616438357,112458211.6147452,112281812.1292701
2011-06-23,102045.13756621357,1109.0520547945205,113060309.19040827,112900584.80436806
2011-06-24,101309.48306868241,1108.9205479452055,112231935.5410278,112072211.15498759
2011-06-27,101498.07391202307,1108.5260273972603,112400855.80636209,112282746.44700179
2011-06-28,101881.63140844747,1108.3945205479451,112812229.76784077,112710823.22063196
2011-06-29,101914.73707772151,1108.2630136986302,112835498.15590328,112759696.55413155
2011-06-30,102435.47044901905,1108.131506849315,113398573.64984013,113311918.96948357
2011-07-01,102731.35920986121,1108.0,113712633.37115508,113666778.64046651
2011-07-05,102731.35920986121,1108.207650273224,113733944.25507976,113688089.52439119
2011-07-06,102731.35920986121,1108.25956284153,113739271.97606091,113693417.24537234
2011-07-07,102731.35920986121,1108.311475409836,113744599.69704211,113698744.96635354
2011-07-08,102731.35920986121,1108.363387978142,113749927.41802327,113704072.6873347
2011-07-11,102731.35920986121,1108.51912568306,113765910.58096679,113720055.85027821
2011-07-12,102729.98141347364,1108.5710382513662,113769712.4426354,113723857.71194683
2011-07-13,102715.42231288197,1108.622950819672,113758915.66353247,113713060.9328439
2011-07-14,102652.7166146198,1108.6748633879781,113694791.77734111,113648937.04665254
2011-07-15,102695.57823382571,1108.7267759562842,113747589.77038556,113702662.10459931
2011-07-18,102587.1990145897,1108.8825136612022,113643507.6051551,113598579.93936884
2011-07-19,102962.88777437285,1108.9344262295083,114065025.85115626,113964280.7737583
2011-07-20,102952.16615482338,1108.9863387978141,114058487.32801381,113957742.25061585
2011-07-21,102974.53618789637,1109.0382513661202,114088610.93812375,113987419.27126165
2011-07-22,103025.06967823143,1109.0901639344263,114149941.4773081,114032206.61608486
2011-07-25,103023.70620671238,1109.2459016393443,114164459.42206953,114046724.5608463
2011-07-26,103057.66736998288,1109.2978142076502,114207437.71314795,114088936.4575344
2011-07-27,102918.67074509282,1109.3497267759562,114058740.53068265,113940239.2750691
2011-07-28,102900.6240593324,1109.4016393442623,114044076.944027,113925575.68841346
2011-07-29,102842.73265550009,1109.4535519125684,113985249.78325601,113866748.52764246
2011-08-01,102837.13026158084,1109.6092896174864,113995040.0158378,113876538.76022425
2011-08-02,102627.27101764476,1109.6612021857923,113767733.20128551,113649231.94567196
2011-08-03,102736.95249340047,1109.7131147540983,113894648.9028924,113783312.22897117
2011-08-04,102207.01878231259,1109.7650273224044,113312462.52896567,113201125.85504444
2011-08-05,101927.07096774853,1109.8169398907103,113007382.6108391,112896045.93691787
2011-08-08,101200.59231599007,1109.9726775956285,112217674.75249061,112106338.07856938
2011-08-09,101856.9218427975,1110.0245901639344,112950737.18672447,112846619.78858073
2011-08-10,101622.76267735811,1110.0765027322404,112696344.64622393,112592227.2480802
2011-08-11,102298.16783616494,1110.1284153005465,113450652.29581532,113338803.35563686
2011-08-12,102261.97802595232,1110.1803278688524,113415820.47289625,113303971.5327178
2011-08-15,102476.12425919532,1110.3360655737704,113669267.35784592,113570229.71639183
2011-08-16,102279.9102832386,1110.3879781420765,113456925.8581002,113357888.21664612
2011-08-17,102191.349145915,1110.4398907103825,113363986.59054586,113264948.94909178
2011-08-18,101499.51799879107,1110.4918032786886,112601780.99340181,112502743.35194772
2011-08-19,101263.35279463134,1110.5437158469945,112345035.05661842,112245997.41516434
2011-08-22,101369.50074152285,1110.6994535519125,112478570.5099297,112418068.48259617
2011-08-23,101906.90256392979,1110.7513661202186,113080151.08887616,113029751.49682648
2011-08-24,101902.31234124061,1110.8032786885246,113080342.31227992,113029942.72023025
2011-08-25,101671.7803170562,1110.8551912568305,112829795.17435157,112779395.5823019
2011-08-26,101883.6701106686,1110.9071038251366,113070222.66705143,113040894.01433149
2011-08-29,102173.42947678445,1111.0628415300546,113407693.19015664,113390236.8093395
2011-08-30,102173.42947678445,1111.1147540983607,113412991.97650705,113395535.59568991
2011-08-31,102117.69502314091,1111.1666666666667,113356422.36418258,113338965.98336543
2011-09-01,101990.41661757334,1111.2185792349726,113220425.42393887,113202969.04312173
2011-09-02,101824.13205739514,1111.2704918032787,113041112.19666684,113023655.81584969
2011-09-06,101779.53959420961,1111.4781420765028,113012720.84872523,112995264.46790808
2011-09-07,102063.56126864131,1111.5300546448088,113333382.45172496,113329262.31259957
2011-09-08,102030.11508365067,1111.5819672131147,113301534.50515975,113297414.36603436
2011-09-09,101958.21157436552,1111.6338797814208,113226975.33265425,113222855.19352886
2011-09-12,102152.78436413947,1111.7896174863388,113458946.10726382,113458946.10726382
2011-09-13,102279.73556652397,1111.8415300546449,113605252.43343507,113605252.43343507
2011-09-14,102429.03135145677,1111.8934426229507,113776391.90200344,113768899.93505798
2011-09-15,102478.60041343905,1111.9453551912568,113836766.96925512,113824581.19467615
2011-09-16,102480.83745120236,1111.9972677595629,113844566.67677215,113834924.12464039
2011-09-19,102458.60795236586,1112.1530054644809,113835812.95697369,113826170.40484193
2011-09-20,102401.78259634729,1112.204918032787,113777988.23075096,113768345.6786192
2011-09-21,102228.8480751624,1112.2568306010928,113591143.41266811,113581500.86053635
2011-09-22,101863.39466277503,1112.308743169399,113190354.13818158,113180711.58604982
2011-09-23,102101.60546874888,1112.360655737705,113460348.46262734,113460348.46262734
2011-09-26,102094.14011944055,1112.516393442623,113467936.62068513,113467936.62068513
2011-09-27,102317.87615220719,1112.568306010929,113721904.24105614,113708209.5118615
2011-09-28,102072.27215261525,1112.620218579235,113454219.53378816,113440524.80459352
2011-09-29,101918.25734787382,1112.672131147541,113288316.28981249,113274621.56061785
2011-09-30,101441.7828553232,1112.724043715847,112763946.87364648,112750252.14445184
2011-10-03,100848.65269428487,1112.879781420765,112120306.26073368,112106611.53153904
2011-10-04,101570.07482405979,1112.931693989071,112927627.80473281,112917483.47139823
2011-10-05,102009.6291243079,1112.983606557377,113421623.30304961,113410088.60234243
2011-10-06,102133.0050439432,1113.035519125683,113564098.19076057,113563531.6992527
2011-10-07,102185.15290272786,1113.0874316939892,113627382.0197352,113627382.0197352
2011-10-10,102427.13837902408,1113.2431693989072,113912399.76176345,113905153.99149728
2011-10-11,102412.72954075588,1113.295081967213,113901686.44211973,113894440.67185356
2011-10-12,102468.69748163491,1113.3469945355191,113969247.12801953,113953293.49987718
2011-10-13,102550.66147014838,1113.3989071038252,114065728.67496261,114050884.18917148
2011-10-14,102594.5744490623,1113.450819672131,114119893.1211008,114097919.4796595
2011-10-17,102528.6979602442,1113.6065573770493,114062567.8000588,114040594.1586175
2011-10-18,102638.45774185093,1113.6584699453551,114189997.80853218,114167587.65578505
2011-10-19,102530.74439021025,1113.7103825136612,114075479.07515633,114053068.9224092
