id,opened,closed,status,budget,pnl,ret,n_buys,n_sells,hold_days,reason
1,1999-10-11,2000-01-07,closed,25002.571428571428,3852.8313273536687,0.1540974030755447,19,31,61,time_soft
2,1999-10-14,2000-01-12,closed,24896.539192280892,4103.631174518985,0.16482737391031865,17,28,61,time_soft
3,1999-10-19,2000-01-18,closed,24276.32808311518,3659.4195294351416,0.15074024032408606,14,27,61,time_soft
4,1999-10-22,2000-01-21,closed,25084.005885375715,4071.801034262639,0.1623265858280056,14,28,61,time_soft
5,2000-01-07,2000-04-05,closed,28382.59640537818,2168.3992404983155,0.07639890338177195,19,29,61,time_soft
6,2000-01-12,2000-04-10,closed,28692.265172763815,2978.0196047974623,0.10379172180606894,18,32,61,time_soft
7,2000-01-18,2000-04-13,closed,29137.498358667395,-249.20004015384575,-0.008552554412404365,21,32,61,time_soft
8,2000-01-21,2000-04-19,closed,29158.09964288663,811.897594318446,0.027844667665662338,23,36,62,time_soft
9,2000-04-05,2000-05-11,closed,31286.793395685814,-1140.5056789092098,-0.03645326206764532,14,14,25,regime_bear
10,2000-04-10,2000-05-11,closed,32055.38345226139,-119.27885080499141,-0.003721023989079024,13,14,22,regime_bear
11,2000-04-13,2000-07-12,closed,29447.49019201017,4235.092499666849,0.14381845352701517,26,47,61,time_soft
12,2000-04-19,2000-05-11,closed,30009.85461325347,-142.88769856425654,-0.00476135924034607,8,8,15,regime_bear
13,2000-06-08,2000-09-01,closed,30999.27850111495,2479.214138671635,0.07997651102048924,19,48,60,time_soft
14,2000-06-13,2000-07-31,closed,31088.810507989503,-241.79437120714238,-0.007777536909783143,15,22,33,regime_bear
15,2000-06-16,2000-07-31,closed,30318.03349054762,-596.3080566149047,-0.0196684279275837,14,19,30,regime_bear
16,2000-07-12,2000-07-31,closed,32712.381247827445,-2331.0095850679395,-0.07125771637987224,7,4,13,regime_bear
17,2000-08-25,2000-09-11,closed,31397.526181747784,-656.6656677757106,-0.02091456708960236,4,4,10,regime_bear
18,2000-08-30,2000-09-11,closed,31407.046629370227,-942.1917069101926,-0.029999373007874742,3,3,7,regime_bear
19,2000-09-05,2001-02-28,closed,31574.82538761912,-8367.400447892443,-0.2650022714353127,32,59,121,time_hard
20,2001-02-28,2001-05-25,closed,29370.979667051437,152.9198881653915,0.005206496000436038,2,4,61,time_soft
21,2001-05-25,2001-11-21,closed,29594.22907124411,-3866.862342439254,-0.13066271579943187,43,83,121,time_hard
22,2001-11-21,2002-05-17,closed,28974.958345112776,-4280.596578796557,-0.14773434797771048,55,87,121,time_hard
23,2001-12-05,2001-12-11,closed,29118.13435455407,-463.75419123631946,-0.015926645079298786,3,1,4,regime_bear
24,2002-01-09,2002-01-14,closed,29083.85967255181,-468.38673618866324,-0.016104696607056868,2,1,3,regime_bear
25,2002-05-17,2002-11-07,closed,27858.696174387398,-1897.071607446816,-0.06809620936930053,33,75,121,time_hard
26,2002-11-07,2003-02-19,closed,27532.058262105576,327.1843174842843,0.011883757994752338,28,45,69,time_soft
27,2002-11-25,2002-11-27,closed,27707.392830685694,293.0736510345974,0.01057745320267091,1,1,2,regime_bear
28,2003-01-06,2003-01-21,closed,28067.22612091954,-1021.8329689382996,-0.03640662474218248,4,2,10,regime_bear
29,2003-01-09,2003-01-21,closed,28190.51546272514,-1898.9765113570957,-0.06736224862110145,4,2,7,regime_bear
30,2003-01-14,2003-01-21,closed,26837.48642300522,-1187.123128090667,-0.04423376725299652,3,1,4,regime_bear
31,2003-02-19,2003-05-16,closed,26727.29503988199,3916.2641408560075,0.14652676729958003,23,45,61,time_soft
32,2003-03-17,2003-03-31,closed,27105.08918485066,-1518.997531503775,-0.05604104532342804,4,3,10,regime_bear
33,2003-03-20,2003-03-31,closed,27102.935114200627,-969.0813681614404,-0.035755587506597714,3,2,7,regime_bear
34,2003-03-25,2003-03-31,closed,26040.77707953524,-1061.0189728788778,-0.04074452039730814,3,1,4,regime_bear
35,2003-04-28,2003-07-24,closed,26544.694617977813,4539.908785646445,0.17102885721547234,19,41,61,time_soft
36,2003-05-01,2003-07-29,closed,26620.903631289184,4802.168024812438,0.18039087220045208,20,43,61,time_soft
37,2003-05-06,2003-08-01,closed,23611.708195791885,3978.656967055939,0.16850356331970176,21,43,61,time_soft
38,2003-05-16,2003-08-13,closed,27465.94079116566,3643.9798834857665,0.13267267672323252,20,38,61,time_soft
39,2003-07-24,2003-10-20,closed,30979.166262382638,4346.905526077771,0.1403170598350198,19,40,61,time_soft
40,2003-07-29,2003-10-23,closed,31242.118387036237,4266.230583935006,0.1365538191451594,19,40,61,time_soft
41,2003-08-01,2003-10-28,closed,31196.20749617053,4704.574306532627,0.1508059691906503,19,37,61,time_soft
42,2003-08-13,2003-11-06,closed,31110.19848859443,4467.0808240360375,0.14358895285331438,18,39,60,time_soft
43,2003-10-20,2004-01-15,closed,35224.0952978111,4161.014680398355,0.11812978148105707,19,41,60,time_soft
