id,opened,closed,status,budget,pnl,ret,n_buys,n_sells,hold_days,reason
1,1999-12-22,2000-03-17,closed,25002.571428571428,5354.276943148861,0.2141490509664265,20,35,59,basket_tp
2,1999-12-28,2000-03-23,closed,24993.592246470555,5130.525005148843,0.20527361391491633,19,38,60,basket_tp
3,1999-12-31,2000-03-29,closed,25165.813249771407,4518.852282815303,0.17956313344478742,19,38,61,time_soft
4,2000-01-05,2000-04-03,closed,24936.613934211622,2889.0324614420524,0.11585504227093413,19,33,61,time_soft
5,2000-03-17,2000-05-11,closed,29674.66152862802,-1607.8699385224234,-0.05418326126386526,20,22,38,regime_bear
6,2000-03-23,2000-05-11,closed,30056.598997333593,-1851.120429572291,-0.061587820689110874,19,21,34,regime_bear
7,2000-03-29,2000-05-11,closed,29781.39378179959,406.11433502960426,0.013636512045241965,17,21,30,regime_bear
8,2000-04-03,2000-06-29,closed,28982.597208665382,2761.8400502911018,0.09529304880465823,25,44,61,time_soft
9,2000-06-08,2000-09-05,closed,29531.329322755995,2207.980107863704,0.07476737954231873,18,46,61,time_soft
10,2000-06-13,2000-07-31,closed,29650.57940908661,-178.4684749363039,-0.006019055225666554,13,21,33,regime_bear
11,2000-06-16,2000-07-31,closed,27977.579561131643,-485.9528817266189,-0.017369368235189926,13,22,30,regime_bear
12,2000-06-29,2000-07-31,closed,29707.497779694866,-1024.6067637593615,-0.034489837257841424,8,7,21,regime_bear
13,2000-08-25,2000-09-12,closed,29973.505268316825,-934.3449628370322,-0.0311723622069879,5,4,11,regime_bear
14,2000-08-30,2000-09-12,closed,29989.605278891497,-1292.3661172644959,-0.04309380217732114,4,3,8,regime_bear
15,2000-09-05,2000-09-12,closed,30101.711621291095,-397.6339834353285,-0.013209680181577447,3,2,5,regime_bear
16,2000-09-08,2001-03-05,closed,30015.577810202667,-2469.885869100281,-0.08228680069789415,16,57,121,time_hard
17,2001-03-05,2001-08-24,closed,29107.73513256695,-1274.9899111149743,-0.04380244307254474,22,40,121,time_hard
18,2001-08-24,2001-12-14,closed,29146.367420677027,-1495.5293611367795,-0.051311003513797075,13,41,74,regime_bear
19,2001-12-05,2001-12-14,closed,29059.879217960348,-360.87584287450886,-0.012418353158586802,3,3,7,regime_bear
20,2001-12-10,2002-01-17,closed,28994.94591747531,-156.40237587209822,-0.005394125456113861,9,16,26,regime_bear
21,2002-01-15,2002-04-17,closed,29003.43050174625,590.7712369517911,0.020369012448931575,26,46,63,time_soft
22,2002-04-17,2002-10-08,closed,29128.247940276957,-2958.9524614194665,-0.10158360597198804,38,67,121,time_hard
23,2002-10-08,2003-01-06,closed,28545.703101567466,1559.061331944873,0.05461632268778357,23,33,61,time_soft
24,2002-12-02,2002-12-04,closed,28967.875122501904,-188.33449887432707,-0.006501495124439799,1,1,2,regime_bear
25,2003-01-06,2003-01-21,closed,28965.825198277635,-1825.124364760495,-0.06300957601819059,5,3,10,regime_bear
26,2003-01-09,2003-01-21,closed,29037.010012661387,-2095.595770893866,-0.07216981948141685,4,2,7,regime_bear
27,2003-01-14,2003-03-04,closed,29064.261215956947,-1631.1080376925659,-0.056120746561314626,15,21,33,regime_bear
28,2003-02-28,2003-05-28,closed,27732.69179576735,3818.4968503764467,0.13768936958940414,20,44,61,time_soft
29,2003-03-31,2003-06-26,closed,27527.993911191097,4224.498032328393,0.15346189213631675,19,33,61,time_soft
30,2003-04-03,2003-07-01,closed,27942.58841985855,4549.580963437638,0.1628188804514721,20,37,61,time_soft
31,2003-04-08,2003-07-07,closed,27287.25893985819,5227.604134986445,0.19157674087046328,20,37,61,time_soft
32,2003-05-28,2003-08-21,closed,30381.318434189307,4652.645808058283,0.1531416688889471,19,37,60,time_soft
33,2003-06-26,2003-09-23,closed,32257.69398081845,4047.028581917463,0.1254593271398745,19,37,61,time_soft
34,2003-07-01,2003-09-26,closed,32516.93178032519,2739.8713113591766,0.08425983514892918,20,37,61,time_soft
35,2003-07-07,2003-10-01,closed,33311.57106961279,3110.4063766341906,0.09337315163353373,22,43,61,time_soft
36,2003-08-21,2003-11-17,closed,34804.09076916077,4299.265225325808,0.12352758340508938,23,48,61,time_soft
37,2003-09-23,2003-12-19,closed,36490.82053692392,5256.462925511905,0.14404891005925874,22,46,61,time_soft
38,2003-09-26,2003-12-24,closed,35492.66688968841,4290.165294153681,0.12087469525712344,19,43,61,time_soft
39,2003-10-01,2003-12-29,closed,36430.98783093663,4206.422280520005,0.11546275659722782,18,45,60,time_soft
40,2003-11-17,2004-02-19,closed,38418.222537258516,4042.892608442159,0.10523372351548296,20,38,61,time_soft
41,2003-12-19,2004-03-31,closed,40693.94598069625,85.25853604691451,0.0020951159685364037,28,39,68,time_soft
42,2003-12-24,2004-03-24,closed,40806.76894568944,-4050.3805953767646,-0.09925756682102176,27,32,60,regime_bear
43,2003-12-30,2004-03-24,closed,41023.83111311793,-4365.722422747895,-0.10641917890871716,26,31,57,regime_bear
44,2004-02-19,2004-03-24,closed,43148.180329934665,-5288.968106226287,-0.12257685181122203,12,11,24,regime_bear
45,2004-04-21,2004-05-03,closed,38051.477586011,-1630.143231079977,-0.04284047123781791,4,1,8,regime_bear
46,2004-04-26,2004-05-03,closed,38054.28832381116,-1613.5724301604307,-0.042401855381717736,4,1,5,regime_bear
47,2004-04-29,2004-07-28,closed,37592.2408858336,-291.3027881928815,-0.007749013661557408,25,36,61,time_soft
