date,close,ref_close,vol,bull,halted,exposure_cap,size_mult,interest,cash,invested,equity,n_active,exposure
1999-12-22,97.22268502062107,75.126198,0.06096794834856808,True,False,1.0,1.0,10.285714285714286,100010.28571428571,0.0,100010.28571428571,0,0.0
1999-12-23,100.67951277306473,76.021507,0.058810653949348736,True,False,1.0,1.0,10.28677224489796,100020.57248653061,0.0,100020.57248653061,1,0.0
1999-12-27,98.88117711970604,75.573853,0.059423685986868084,True,False,1.0,1.0,9.965403579688454,96895.83353943964,3131.57277789276,100027.4063173324,1,0.03130714764269692
1999-12-28,97.00123408781238,75.099861,0.05782843196335298,True,False,1.0,1.0,9.642895436308551,93760.01519288054,6214.353793001676,99974.36898588222,1,0.06215947003255635
1999-12-29,108.00199164057653,77.943764,0.05016090776105855,True,False,1.0,1.0,10.35485588282053,100682.56482774908,0.0,100682.56482774908,2,0.0
1999-12-30,104.47787783666412,77.101097,0.05173678263535574,True,False,1.0,1.0,9.60664269819927,93407.52176407998,7277.3723340332635,100684.89409811325,2,0.0722786908524904
1999-12-31,104.0292542361842,76.995789,0.05003783557361935,True,False,1.0,1.0,9.607630810019657,93417.12939489,7246.123604195633,100663.25299908563,2,0.07198380132084002
2000-01-03,115.53597410114362,79.839676,0.05263667118471365,True,False,1.0,1.0,10.435546509850361,101467.13772561056,0.0,101467.13772561056,3,0.0
2000-01-04,91.73566250837372,74.362602,0.07782211966646327,True,False,1.0,1.0,9.553345300199101,92889.29931945812,8578.81293851412,101468.11225797224,3,0.08454688618532066
2000-01-05,84.70093197349027,72.466644,0.08051321569808054,True,False,1.0,1.0,8.852052277325296,86070.47141516214,14741.807518729733,100812.27893389188,3,0.1462302774486106
2000-01-06,67.23327906455218,67.489853,0.09643138204686041,True,False,1.0,1.0,8.07915247190093,78555.3948515087,19217.28297099261,97772.67782250131,4,0.19655064583461745
2000-01-07,92.16676558983661,75.837151,0.1196317421253738,True,False,1.0,1.0,9.383365520393482,91236.54814712369,13659.565117536758,104896.11326466044,4,0.13021993563357961
2000-01-10,99.82931807395694,77.943764,0.12051862124009657,True,False,1.0,1.0,10.239767776082068,99563.5375907962,6470.118095101148,106033.65568589735,4,0.06101947587535346
2000-01-11,85.24000830473011,74.151901,0.12651935380450166,True,False,1.0,1.0,9.676176274085526,94083.61217432779,11008.676099923216,105092.28827425101,4,0.10475246357938983
2000-01-12,79.59311627202821,72.51931,0.12688356184473004,True,False,1.0,1.0,9.088068421398171,88365.30883201472,16001.054436614899,104366.36326862962,4,0.15331620203560822
2000-01-13,93.97010665949917,76.890472,0.13144688133475474,True,False,1.0,1.0,9.977243641226288,97010.95708889679,10247.026818836615,107257.9839077334,4,0.0955362616889333
2000-01-14,100.5166683084137,78.681068,0.1313578341099622,True,False,1.0,1.0,10.633601028847128,103392.86582593147,4583.2477838589175,107976.11360979038,4,0.04244686746572574
2000-01-18,102.11162413602642,79.102379,0.13132286937796966,True,False,1.0,1.0,10.682536886751059,103868.68004696649,4190.375532867253,108059.05557983374,4,0.03877856890736395
2000-01-19,109.02592357146293,80.892982,0.131757944085895,True,False,1.0,1.0,11.143370568964599,108349.46834661368,0.0,108349.46834661368,4,0.0
2000-01-20,105.81026974246602,80.102982,0.12801878190102967,True,False,1.0,1.0,11.144516744223122,108360.6128633579,0.0,108360.6128633579,4,0.0
2000-01-21,109.75477794722954,81.103615,0.12818147995849177,True,False,1.0,1.0,11.145663037373957,108371.75852639528,0.0,108371.75852639528,4,0.0
2000-01-24,93.91145754722831,77.206436,0.13293353254586984,True,False,1.0,1.0,10.61375348109243,103199.88370854639,5177.311260069932,108377.19496861633,4,0.04777122402521276
2000-01-25,98.1210020876669,78.365074,0.13329670330639165,True,False,1.0,1.0,10.67042890209474,103750.95142148984,4868.444000372505,108619.39542186234,4,0.04482112961008629
