date,close,ref_close,vol,bull,halted,interest,cash,invested,equity,n_active,exposure
2002-05-22,27.720038,17.407581,0.11674857459705504,False,False,4.603174603174604,100004.60317460318,0.0,100004.60317460318,0,0.0
2002-05-23,29.484142,17.776846,0.11758444070103607,False,False,4.603386495338877,100009.20656109852,0.0,100009.20656109852,0,0.0
2002-05-24,26.367347,17.150461,0.11610983139931846,False,False,4.603598397256916,100013.81015949577,0.0,100013.81015949577,0,0.0
2002-05-28,26.051965,17.082079,0.11608334331569696,False,False,4.60381030892917,100018.4139698047,0.0,100018.4139698047,0,0.0
2002-05-29,23.686615,16.565107,0.11655250343817626,False,False,4.604022230356089,100023.01799203505,0.0,100023.01799203505,0,0.0
2002-05-30,22.900502,16.381836,0.11647852751675289,False,False,4.6042341615381215,100027.62222619659,0.0,100027.62222619659,0,0.0
2002-05-31,22.797223,16.357214,0.11333053090276762,False,False,4.604446102475716,100032.22667229906,0.0,100032.22667229906,0,0.0
2002-06-03,19.480567,15.563982,0.11489066551207586,False,False,4.604658053169322,100036.83133035223,0.0,100036.83133035223,0,0.0
2002-06-04,20.754164,15.903157,0.11538722633371223,False,False,4.604870013619389,100041.43620036585,0.0,100041.43620036585,0,0.0
2002-06-05,21.129032,15.998888,0.11544922480911318,False,False,4.605081983826365,100046.04128234967,0.0,100046.04128234967,0,0.0
2002-06-06,18.853169,15.42447,0.09298667952484523,False,False,4.605293963790699,100050.64657631346,0.0,100050.64657631346,0,0.0
2002-06-07,17.097897,14.945794,0.09431328556565613,False,False,4.605505953512842,100055.25208226698,0.0,100055.25208226698,0,0.0
2002-06-10,16.572189,14.792614,0.08664393368869144,False,False,4.605717952993242,100059.85780021996,0.0,100059.85780021996,0,0.0
2002-06-11,14.430195,14.155287,0.08111687557408975,False,False,4.605929962232348,100064.4637301822,0.0,100064.4637301822,0,0.0
2002-06-12,15.760298,14.590202,0.07093170522204392,False,False,4.60614198123061,100069.06987216343,0.0,100069.06987216343,0,0.0
2002-06-13,15.113203,14.390525,0.07087631838094481,False,False,4.606354009988475,100073.67622617341,0.0,100073.67622617341,0,0.0
2002-06-14,15.01841,14.36043,0.06873158046818996,False,False,4.606566048506395,100078.28279222191,0.0,100078.28279222191,0,0.0
2002-06-17,17.292627,15.085297,0.0794508533563735,False,False,4.606778096784819,100082.8895703187,0.0,100082.8895703187,0,0.0
2002-06-18,16.6812,14.907497,0.07944555510346787,False,False,4.606990154824195,100087.49656047352,0.0,100087.49656047352,0,0.0
2002-06-19,13.329664,13.909103,0.08962282679557393,False,False,4.607202222624972,100092.10376269615,0.0,100092.10376269615,0,0.0
2002-06-20,11.56023,13.293661,0.09218598212984097,False,False,4.6074143001876005,100096.71117699634,0.0,100096.71117699634,0,0.0
2002-06-21,10.618287,12.932596,0.08914180291058753,False,False,4.60762638751253,100101.31880338385,0.0,100101.31880338385,0,0.0
2002-06-24,12.04663,13.512486,0.09621615423069452,False,False,4.60783848460021,100105.92664186846,0.0,100105.92664186846,0,0.0
2002-06-25,10.071368,12.773949,0.10087506042037221,False,False,4.6080505914510885,100110.53469245991,0.0,100110.53469245991,0,0.0
2002-06-26,9.948451,12.721979,0.10051609270917551,False,False,4.608262708065616,100115.14295516798,0.0,100115.14295516798,0,0.0
2002-06-27,11.353758,13.321015,0.10792304901078076,False,False,4.60847483444424,100119.75143000242,0.0,100119.75143000242,0,0.0
2002-06-28,10.801232,13.104923,0.10772350865198219,False,False,4.608686970587413,100124.36011697301,0.0,100124.36011697301,0,0.0
2002-07-01,9.34033,12.514096,0.10705721797958559,False,False,4.608899116495583,100128.96901608951,0.0,100128.96901608951,0,0.0
2002-07-02,8.323619,12.060032,0.10570898395115176,False,False,4.6091112721692005,100133.57812736167,0.0,100133.57812736167,0,0.0
2002-07-03,9.178815,12.473063,0.10967387695127796,False,False,4.609323437608712,100138.18745079928,0.0,100138.18745079928,0,0.0
2002-07-05,11.443315,13.498807,0.12278931613352553,False,False,4.609535612814571,100142.7969864121,0.0,100142.7969864121,0,0.0
2002-07-08,10.156389,12.992771,0.12355467490876194,False,False,4.609747797787224,100147.40673420989,0.0,100147.40673420989,0,0.0
2002-07-09,9.06591,12.527771,0.1250992226087001,False,False,4.609959992527123,100152.01669420241,0.0,100152.01669420241,0,0.0
2002-07-10,8.228595,12.142089,0.12354391462594899,False,False,4.610172197034714,100156.62686639944,0.0,100156.62686639944,0,0.0
2002-07-11,9.468724,12.752063,0.12664231218996377,False,False,4.610384411310451,100161.23725081075,0.0,100161.23725081075,0,0.0
2002-07-12,10.023203,13.000979,0.12788877975997467,False,False,4.6105966353547805,100165.8478474461,0.0,100165.8478474461,0,0.0
2002-07-15,10.099123,13.033801,0.1280072592585179,False,False,4.610808869168154,100170.45865631527,0.0,100170.45865631527,0,0.0
2002-07-16,10.722234,13.301865,0.12386010314080376,False,False,4.611021112751021,100175.06967742802,0.0,100175.06967742802,0,0.0
2002-07-17,10.867761,13.362042,0.12409961353683657,False,False,4.61123336610383,100179.68091079412,0.0,100179.68091079412,0,0.0
2002-07-18,10.13362,13.061155,0.11530774562417363,False,False,4.611445629227031,100184.29235642335,0.0,100184.29235642335,0,0.0
2002-07-19,9.274107,12.691888,0.11274643440003186,False,False,4.611657902121075,100188.90401432547,0.0,100188.90401432547,0,0.0
2002-07-22,8.644505,12.404679,0.11228603893115502,False,False,4.611870184786411,100193.51588451026,0.0,100193.51588451026,0,0.0
2002-07-23,7.300647,11.761878,0.11279884038323829,False,False,4.612082477223488,100198.12796698748,0.0,100198.12796698748,0,0.0
2002-07-24,8.222573,12.256973,0.11104807313428995,False,False,4.612294779432758,100202.74026176691,0.0,100202.74026176691,0,0.0
2002-07-25,5.893967,11.099936,0.13245933254619713,False,False,4.612507091414668,100207.35276885833,0.0,100207.35276885833,0,0.0
2002-07-26,5.488745,10.845545,0.12737539103104425,False,False,4.612719413169669,100211.9654882715,0.0,100211.9654882715,0,0.0
2002-07-29,6.630785,11.597758,0.1368859900093669,False,False,4.612931744698212,100216.5784200162,0.0,100216.5784200162,0,0.0
2002-07-30,7.170325,11.91232,0.1356133828641199,False,False,4.613144086000746,100221.1915641022,0.0,100221.1915641022,0,0.0
2002-07-31,6.108352,11.324226,0.1377543839632688,False,False,4.613356437077721,100225.80492053929,0.0,100225.80492053929,0,0.0
2002-08-01,5.099148,10.700577,0.13975642187093099,False,False,4.613568797929587,100230.41848933721,0.0,100230.41848933721,0,0.0
2002-08-02,4.469573,10.260188,0.12833633737441538,False,False,4.613781168556793,100235.03227050578,0.0,100235.03227050578,0,0.0
2002-08-05,3.711737,9.6803,0.13113835261397502,False,False,4.613993548959789,100239.64626405474,0.0,100239.64626405474,0,0.0
2002-08-06,4.375632,10.257453,0.1386121698878546,False,False,4.614205939139028,100244.26046999388,0.0,100244.26046999388,0,0.0
2002-08-07,4.652174,10.473541,0.13948980551414342,False,False,4.614418339094956,100248.87488833298,0.0,100248.87488833298,0,0.0
2002-08-08,5.169758,10.861953,0.13747008353091314,False,False,4.614630748828026,100253.4895190818,0.0,100253.4895190818,0,0.0
2002-08-09,5.087742,10.804518,0.1359957794890188,False,False,4.614843168338687,100258.10436225015,0.0,100258.10436225015,0,0.0
2002-08-12,4.720647,10.544661,0.13592260365165526,False,False,4.615055597627388,100262.71941784778,0.0,100262.71941784778,0,0.0
2002-08-13,4.21001,10.164453,0.13490075016700506,False,False,4.61526803669458,100267.33468588447,0.0,100267.33468588447,0,0.0
2002-08-14,4.981542,10.785367,0.14274995790920494,False,False,4.615480485540714,100271.95016637002,0.0,100271.95016637002,0,0.0
2002-08-15,5.292341,11.009668,0.14423487432460377,False,False,4.6156929441662395,100276.56585931419,0.0,100276.56585931419,0,0.0
2002-08-16,6.278484,11.693499,0.15045553406130946,False,False,4.615905412571606,100281.18176472676,0.0,100281.18176472676,0,0.0
2002-08-19,7.16409,12.243299,0.15362532674129403,False,False,4.6161178907572635,100285.79788261752,0.0,100285.79788261752,0,0.0
2002-08-20,6.246971,11.72085,0.1520354078907088,False,False,4.616330378723664,100290.41421299624,0.0,100290.41421299624,0,0.0
2002-08-21,7.034213,12.213206,0.15202527924810474,False,False,4.616542876471256,100295.0307558727,0.0,100295.0307558727,0,0.0
2002-08-22,7.152366,12.28159,0.13136672999633575,False,False,4.6167553840004905,100299.64751125671,0.0,100299.64751125671,0,0.0
2002-08-23,5.881194,11.553993,0.1381721631476054,False,False,4.616967901311817,100304.26447915802,0.0,100304.26447915802,0,0.0
2002-08-26,5.902078,11.567671,0.1311051892786593,False,False,4.617180428405687,100308.88165958643,0.0,100308.88165958643,0,0.0
2002-08-27,5.110764,11.050695,0.13300802613378412,False,False,4.6173929652825505,100313.49905255172,0.0,100313.49905255172,0,0.0
2002-08-28,4.317585,10.479011,0.13349445418427205,False,False,4.617605511942857,100318.11665806366,0.0,100318.11665806366,0,0.0
2002-08-29,4.361541,10.514573,0.1279155184240958,False,False,4.617818068387058,100322.73447613206,0.0,100322.73447613206,0,0.0
2002-08-30,4.211764,10.394219,0.12477017927482516,False,False,4.618030634615603,100327.35250676668,0.0,100327.35250676668,0,0.0
2002-09-03,3.579996,9.874506,0.123072345991679,False,False,4.618243210628942,100331.9707499773,0.0,100331.9707499773,0,0.0
2002-09-04,3.639496,9.929213,0.11683380653476456,False,False,4.6184557964275275,100336.58920577374,0.0,100336.58920577374,0,0.0
2002-09-05,3.176296,9.507976,0.11888586132568944,False,False,4.6186683920118075,100341.20787416575,0.0,100341.20787416575,0,0.0
2002-09-06,3.738267,10.068714,0.12268475871339654,False,False,4.618880997382234,100345.82675516313,0.0,100345.82675516313,0,0.0
2002-09-09,3.704749,10.03863,0.12269535537558289,False,False,4.619093612539255,100350.44584877566,0.0,100350.44584877566,0,0.0
2002-09-10,3.959141,10.26839,0.12318473772052524,False,False,4.6193062374833245,100355.06515501314,0.0,100355.06515501314,0,0.0
2002-09-11,4.15214,10.435253,0.12118113772350231,False,False,4.619518872214891,100359.68467388536,0.0,100359.68467388536,0,0.0
2002-09-12,3.358713,9.770568,0.12309790941097208,False,False,4.619731516734406,100364.3044054021,0.0,100364.3044054021,0,0.0
2002-09-13,3.212035,9.628331,0.12172899973021707,False,False,4.619944171042319,100368.92434957315,0.0,100368.92434957315,0,0.0
2002-09-16,2.787716,9.204358,0.11514916569881183,False,False,4.620156835139082,100373.54450640829,0.0,100373.54450640829,0,0.0
2002-09-17,2.611255,9.010146,0.10780639570900513,False,False,4.620369509025144,100378.16487591731,0.0,100378.16487591731,0,0.0
2002-09-18,2.470943,8.848763,0.1058859097514281,False,False,4.620582192700956,100382.78545811001,0.0,100382.78545811001,0,0.0
2002-09-19,2.289919,8.632675,0.09861257692873567,False,False,4.620794886166969,100387.40625299618,0.0,100387.40625299618,0,0.0
2002-09-20,2.18761,8.504113,0.0971657837315773,False,False,4.621007589423634,100392.0272605856,0.0,100392.0272605856,0,0.0
2002-09-23,1.892084,8.121165,0.0940364989551131,False,False,4.621220302471401,100396.64848088808,0.0,100396.64848088808,0,0.0
2002-09-24,1.911202,8.148523,0.0942669615238934,False,False,4.621433025310721,100401.26991391339,0.0,100401.26991391339,0,0.0
2002-09-25,2.307683,8.711996,0.1065274160442863,False,False,4.621645757942045,100405.89155967133,0.0,100405.89155967133,0,0.0
2002-09-26,2.166398,8.534201,0.10233884719609514,False,False,4.621858500365824,100410.5134181717,0.0,100410.5134181717,0,0.0
2002-09-27,2.012249,8.331785,0.10213409088874385,False,False,4.622071252582507,100415.13548942428,0.0,100415.13548942428,0,0.0
2002-09-30,1.827938,8.077401,0.10292779181311255,False,False,4.622284014592547,100419.75777343888,0.0,100419.75777343888,0,0.0
2002-10-01,2.138061,8.534201,0.10784603687683553,False,False,4.622496786396392,100424.38027022527,0.0,100424.38027022527,0,0.0
