date,basket,side,kind,qty,price,value,fee,pnl,reason
2003-03-24,0,BUY,MOC,7655.865691715527,2.119697,16228.115539132326,16.228115539132325,,trend_entry
2003-03-25,0,SELL,MOC,7655.865691715527,2.264922,17339.938634211714,17.339938634211716,1094.4831564451752,trend_exit
2003-04-21,0,BUY,MOC,7349.769841945526,2.367624,17401.491472266436,17.401491472266436,,trend_entry
2003-06-25,0,SELL,MOC,7349.769841945526,2.954486,21714.79210125027,21.71479210125027,4291.585836882586,trend_exit
2003-07-02,0,BUY,MOC,9254.955986286086,3.532842,32696.29721650291,32.69629721650291,,trend_entry
2003-08-28,0,SELL,MOC,3339.6243689097464,6.009887,20070.76507959389,20.07076507959389,8252.329079806448,rebalance
2003-09-25,0,SELL,MOC,5915.33161737634,5.183329,30661.109916963684,30.661109916963685,9732.516825251656,trend_exit
2003-10-02,0,BUY,MOC,5234.594043749832,5.196221,27200.107496607798,27.2001074966078,,trend_entry
2003-12-10,0,SELL,MOC,5234.594043749832,6.672422,34927.420458585344,34.927420458585345,7692.385541518958,trend_exit
2003-12-17,0,BUY,MOC,5219.184215174791,6.416946,33491.22327282901,33.49122327282901,,trend_entry
2004-02-05,0,SELL,MOC,5219.184215174791,7.636432,39855.945354655654,39.85594535465565,6324.866136471988,trend_exit
2004-02-12,0,BUY,MOC,4361.872236547185,8.567456,37370.148464239595,37.3701484642396,,trend_entry
2004-03-12,0,SELL,MOC,4361.872236547185,6.90936,30137.74555630966,30.13774555630966,-7262.540653486249,trend_exit
2004-03-19,0,BUY,MOC,5477.948034583659,5.960786,32652.87595327379,32.65287595327379,,trend_entry
2004-04-21,0,SELL,MOC,5477.948034583659,6.289655,34454.40324545928,34.45440324545928,1767.0728889400345,trend_exit
2005-02-09,0,BUY,MOC,11704.615028064387,3.134574,36688.9819469799,36.6889819469799,,trend_entry
2005-03-29,0,BUY,MOC,7327.695827972367,2.851009,20891.326754811667,20.89132675481167,,rebalance
2005-04-06,0,SELL,MOC,19032.310856036755,2.841946,54088.79970807023,54.08879970807023,-3545.5977934294033,trend_exit
2005-06-03,0,BUY,MOC,20969.315821322194,3.518051,73771.12249451836,73.77112249451837,,trend_entry
2005-07-21,0,SELL,MOC,5351.194132870358,4.312096,23074.862815573742,23.07486281557374,4226.014082419473,rebalance
2005-09-19,0,BUY,MOC,5150.204193832803,4.424477,22786.96000091678,22.786960000916782,,rebalance
2005-10-12,0,SELL,MOC,20768.32588228464,3.495928,72604.57196500358,72.60457196500357,-5200.341232057883,trend_exit
2005-10-19,0,BUY,MOC,14886.68074716562,3.643672,54242.18181138645,54.24218181138645,,trend_entry
2006-01-23,0,SELL,MOC,5649.237861815341,5.553101,31370.788419684628,31.37078841968463,10755.447812828515,rebalance
2006-05-18,0,SELL,MOC,9237.44288535028,4.486651,41445.18235899972,41.44518235899972,7745.525183690691,trend_exit
2006-11-15,0,BUY,MOC,12374.927942976134,4.620275,57175.57020173406,57.17557020173406,,trend_entry
2006-12-22,0,BUY,MOC,5707.4903107429645,3.929681,22428.616231810724,22.428616231810725,,rebalance
2007-06-22,0,SELL,MOC,5599.291940852429,5.01598,28085.936389476967,28.085936389476966,3408.1009947269213,rebalance
2007-08-06,0,SELL,MOC,12483.126312866669,4.614103,57598.43056957704,57.59843056957704,2586.395163823241,trend_exit
2007-08-13,0,BUY,MOC,12541.641700411852,4.674383,58624.43675649625,58.62443675649625,,trend_entry
2007-10-26,0,SELL,MOC,12541.641700411852,4.081662,51190.74234618644,51.19074234618644,-7484.885152656,trend_exit
2009-05-04,0,BUY,MOC,121077.65796273656,0.319776,38717.729152692045,38.717729152692044,,trend_entry
2009-05-13,0,SELL,MOC,121077.65796273656,0.207555,25130.273298455784,25.130273298455784,-13612.586127534716,trend_exit
2009-05-20,0,BUY,MOC,116368.68611824902,0.261352,30413.188854376614,30.413188854376614,,trend_entry
2009-07-09,0,SELL,MOC,116368.68611824902,0.278783,32441.61142210382,32.44161142210382,1995.9809563050985,trend_exit
2009-07-16,0,BUY,MOC,108035.34682904664,0.383956,41480.819627093435,41.48081962709344,,trend_entry
2009-10-28,0,SELL,MOC,108035.34682904664,0.39175,42322.84712027902,42.322847120279015,799.704646065307,trend_exit
2009-11-04,0,BUY,MOC,111544.01136151042,0.376795,42029.22576096032,42.02922576096032,,trend_entry
2010-01-25,0,SELL,MOC,111544.01136151042,0.521823,58206.23064069745,58.206230640697456,16118.798649096441,trend_exit
2010-02-02,0,BUY,MOC,82816.07224456985,0.493148,40840.58039526513,40.840580395265135,,trend_entry
2010-03-09,0,BUY,MOC,49682.678955794094,0.578693,28751.01853296535,28.75101853296535,,rebalance
2010-04-15,0,SELL,MOC,45519.37620408581,0.821014,37372.04513482131,37.37204513482131,13426.77853551293,rebalance
2010-05-06,0,SELL,MOC,86979.37499627813,0.560685,48768.0308697882,48.7680308697882,3035.5584648614913,trend_exit
2010-05-13,0,BUY,MOC,56293.50955775528,0.604655,34038.15202164452,34.03815202164452,,trend_entry
2010-06-08,0,SELL,MOC,56293.50955775528,0.448942,25272.52076787777,25.27252076787777,-8790.903774534629,trend_exit
2010-07-16,0,BUY,MOC,85294.20128557764,0.493366,42081.2589114603,42.0812589114603,,trend_entry
2010-08-12,0,SELL,MOC,85294.20128557764,0.396179,33791.77137111886,33.79177137111886,-8323.27931171256,trend_exit
