id,opened,closed,status,budget,pnl,ret,n_buys,n_sells,hold_days,reason
1,1993-11-19,1994-02-24,closed,25002.571428571428,1305.7718625397697,0.052225502735595127,21,44,61,time_soft
2,1993-11-24,1994-03-01,closed,25036.423894463354,1229.5128899858569,0.049108966007631615,21,42,61,time_soft
3,1993-11-30,1994-03-04,closed,25045.943543282177,1271.3107918230928,0.05075914946570594,23,41,61,time_soft
4,1993-12-06,1994-03-09,closed,25013.996381743462,1633.7633318367461,0.0653139669049106,24,43,61,time_soft
5,1994-02-24,1994-06-01,closed,26327.554558259064,-16.13142330267935,-0.0006127201547330517,22,45,65,regime_bear
6,1994-03-01,1994-03-30,closed,26339.411276955332,-1335.5754661136332,-0.050706352244180346,7,10,20,regime_bear
7,1994-03-04,1994-03-30,closed,26404.43267702536,-1472.6876957343443,-0.05577426009291757,6,7,17,regime_bear
8,1994-03-09,1994-03-30,closed,26601.892257059626,-1584.5745535136612,-0.05956623454458003,5,5,14,regime_bear
9,1994-05-26,1994-08-24,closed,25496.471812964668,772.3303247777047,0.030291654878499052,18,48,61,time_soft
10,1994-07-29,1994-10-05,closed,25604.172805405004,-498.25937460876344,-0.019460084822720054,18,23,47,regime_bear
11,1994-08-03,1994-10-28,closed,25620.507770631888,1796.1066193335564,0.07010425536500826,24,41,61,time_soft
12,1994-08-08,1994-10-05,closed,25625.534536703264,-732.0960792901789,-0.028569007145650097,16,18,41,regime_bear
13,1994-08-24,1994-10-05,closed,26349.200682467424,-1286.1272768963936,-0.04881086498203241,13,13,29,regime_bear
14,1994-11-01,1994-11-23,closed,25748.420353665133,-1488.0996652861859,-0.05779382365389898,8,8,16,regime_bear
15,1994-11-04,1994-11-23,closed,25732.751733579273,-1418.24578566387,-0.05511442384193867,6,3,13,regime_bear
16,1994-11-09,1994-11-23,closed,25800.742216380368,-1421.993041950179,-0.055114423841938334,6,3,10,regime_bear
17,1994-11-14,1995-02-15,closed,25797.308983622555,732.4077224834884,0.02839085747077178,14,46,60,time_soft
18,1994-12-22,1995-03-27,closed,24717.66443045815,1605.3837223064227,0.0649488436426947,12,37,60,time_soft
19,1994-12-28,1995-03-31,closed,24731.55345003242,1502.8396580504952,0.06076608414780048,12,31,61,time_soft
20,1995-01-03,1995-04-05,closed,23772.096149296704,1637.6956711825142,0.06889151301160984,13,31,61,time_soft
21,1995-02-15,1995-05-18,closed,25498.459617724293,1916.630885709158,0.07516653611408292,16,40,61,time_soft
22,1995-03-27,1995-06-28,closed,26459.085661942452,2242.4599954805412,0.084751983652481,18,38,61,time_soft
23,1995-03-31,1995-07-05,closed,26386.501667348843,2125.7390417370984,0.08056160943712853,16,36,61,time_soft
24,1995-04-05,1995-07-07,closed,26569.586356136835,2397.601559800194,0.09023857306857978,16,38,60,time_soft
25,1995-05-18,1995-08-17,closed,27532.71831181885,1769.8538790934574,0.06428184311658468,19,31,61,time_soft
26,1995-06-28,1995-09-25,closed,28657.049229537686,1661.058246026307,0.05796333853920326,18,39,61,time_soft
27,1995-07-05,1995-09-29,closed,28764.624660264475,1584.38447231687,0.05508100630652562,18,37,61,time_soft
28,1995-07-10,1995-10-04,closed,28949.049438139846,1324.1432090772867,0.0457404728230127,20,38,61,time_soft
29,1995-08-17,1995-11-13,closed,29522.804071057708,2115.0992980390874,0.07164289994095098,18,45,61,time_soft
30,1995-09-25,1995-12-20,closed,30346.394841144785,2241.5243542316243,0.07386460124721245,21,47,61,time_soft
31,1995-09-29,1995-12-27,closed,30489.999676424086,2523.996091056987,0.08278111242515451,20,48,61,time_soft
32,1995-10-04,1996-01-02,closed,30315.652100979634,2447.168926100401,0.08072295189128795,18,43,61,time_soft
33,1995-11-13,1996-02-08,closed,31951.835851179043,1974.1688305992006,0.061785771552978,16,43,60,time_soft
