date,equity
2006-01-03,100000.0
2006-01-04,100014.53968253969
2006-01-05,100029.08147910306
2006-01-06,100043.62538999747
2006-01-09,100058.17141553038
2006-01-10,100072.71955600921
2006-01-11,100087.26981174147
2006-01-12,100088.3962429389
2006-01-13,99810.51055913272
2006-01-17,98719.96753520744
2006-01-18,97775.86722287997
2006-01-19,101495.6873571957
2006-01-20,99958.65424033828
2006-01-23,100254.49991215907
2006-01-24,100832.34444715297
2006-01-25,100884.38036846904
2006-01-26,101673.9764904083
2006-01-27,101805.86107710414
2006-01-30,101813.81861832505
2006-01-31,101675.25068661947
2006-02-01,102111.12309952668
2006-02-02,101594.20884453738
2006-02-03,101070.15101162107
2006-02-06,102064.84272313569
2006-02-07,102219.87253950644
2006-02-08,102884.49328392517
2006-02-09,102895.98247322878
2006-02-10,102848.35701261506
2006-02-13,102738.46782671295
2006-02-14,103196.35465893899
2006-02-15,103307.06296625345
2006-02-16,103620.05030677805
2006-02-17,103563.3775003516
2006-02-21,102789.83460563436
2006-02-22,103487.4024900334
2006-02-23,102819.28926337203
2006-02-24,103018.92750697638
2006-02-27,103363.01801997838
2006-02-28,102932.51272752509
2006-03-01,106798.93191550876
2006-03-02,106814.46014116505
2006-03-03,106815.5366614435
2006-03-06,106457.50307072091
2006-03-07,104450.51483295091
2006-03-08,104052.71173622207
2006-03-09,102640.27213385809
2006-03-10,102192.63299765893
2006-03-13,101640.39487199277
2006-03-14,104729.47310000431
2006-03-15,105605.17284557925
2006-03-16,103961.40757049677
2006-03-17,103996.25944267528
2006-03-20,104133.88101240988
2006-03-21,104152.20488470835
2006-03-22,104169.83903748314
2006-03-23,104522.25256683603
2006-03-24,104897.63765777781
2006-03-27,104893.35385030028
2006-03-28,104653.16049513349
2006-03-29,106038.92794831473
2006-03-30,106069.00398198848
2006-03-31,106076.46322199877
2006-04-03,106101.44386431135
2006-04-04,106120.34535539194
2006-04-05,106154.138011897
2006-04-06,106177.62686112444
2006-04-07,106174.92641547574
2006-04-10,105708.75946234725
2006-04-11,104978.15271733295
2006-04-12,105939.96469963084
2006-04-13,106333.51803682298
